"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","147/5112","158/9397",0.930379746835443,1.71024618173174,9.83368926898286,3.16705203708436e-27,1.09896705686827e-24,4.53388502151024e-25,"990/1870/7027/5925/898/5515/1869/1030/8454/996/5519/11200/1111/7531/9134/10274/8900/5529/80174/1017/114799/9133/5885/4998/2033/10971/10926/1031/25906/9232/1871/23594/1647/57082/7272/3066/10735/2932/23047/7534/890/25/545/55869/9587/5525/23063/8318/546/23244/10393/993/1387/7532/23595/4085/8243/9700/1021/983/9978/902/595/8555/113130/4087/27085/25836/701/51433/51434/4173/90381/26271/29945/1874/27127/9319/7529/1029/699/991/151648/64682/5347/5528/9212/29882/4193/9126/23383/157570/891/7029/8697/5933/5516/3065/894/1027/51343/8317/1875/7709/5000/5527/4089/4175/472/4999/6500/6502/7040/4616/2810/7465/5526/10403/995/5111/7042/7043/7533/9088/9184/1022/1663/4088/8556/246184/10459/5001/4176/5934/4171/4172/4174/5591/1019/1032/81620/119504/8881/7157/1026/4609/85417",147
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","122/5112","142/9397",0.859154929577465,1.57931902841147,7.59740481699171,7.52491486352873e-16,1.30557272882224e-13,5.38625484968373e-14,"7324/4734/389898/140739/7328/7332/9886/7189/55120/6921/51465/8065/7319/55236/8454/7314/996/7428/9320/25898/8453/89910/3093/57154/7334/331/26091/25906/7337/329/1643/27338/4214/51366/672/8450/10393/65264/8554/7318/7316/8452/9690/26272/8945/9063/9039/8451/6477/9978/10401/9616/7325/8925/83737/57448/4591/51433/23759/51434/7329/10277/55294/7326/29945/867/10055/23291/134111/55585/92912/63893/8924/991/64682/29882/9040/23327/4193/1642/9354/1161/8697/7311/7323/997/10054/8916/27339/51343/7317/64750/10477/868/55958/54926/5371/6500/6502/10075/26259/7322/6233/11060/11059/10273/9820/84447/330/7327/23221/51619/55284/11065/246184/9021/119504/8881/118424/51588/64326/55070",122
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","96/5112","108/9397",0.888888888888889,1.6339766997044,7.2375604905268,8.11384875683176e-15,9.38501839540207e-13,3.8718716874706e-13,"23534/55308/3839/9818/51194/8480/3838/51068/53371/55916/11269/81929/9631/5411/7341/6613/57187/3837/6612/3842/7514/80145/4116/59343/10482/2733/10921/10526/3840/10284/23039/23633/11097/22985/4686/26019/55110/10073/4927/9883/79023/10189/9688/79902/10250/9972/5903/7919/7329/100101267/11260/22916/7175/1434/23279/129401/79228/25909/55746/55161/22794/64328/30000/10762/5905/23165/5901/3843/3841/57510/3836/9984/4928/8086/402569/57122/55705/9670/23214/10527/8563/23511/8021/55706/6396/65109/84321/5976/9939/1915/23225/23636/9775/348995/65110/51808",96
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","130/5112","157/9397",0.828025477707006,1.52209612950171,7.20536238016632,3.75620463403878e-14,3.25850752002865e-12,1.34432586902441e-12,"4893/1870/5925/5296/898/1869/28996/1030/7046/11200/5290/1111/5608/9261/9134/8900/204851/1017/3364/9133/5970/5532/1871/7417/1647/5534/890/545/4790/5481/5604/3845/5054/5291/993/7419/2305/824/8945/4605/132660/808/1021/6009/983/54822/83593/595/3709/5928/4087/6237/208/22808/286826/10114/7416/10758/3708/5501/144715/91860/1874/10111/1432/23291/5293/4683/5883/5295/1029/2308/823/4193/5810/3569/891/59341/2309/5933/91750/894/2475/3805/1875/7248/5603/5594/472/4775/4361/22800/292/5894/7249/5533/7040/4616/90550/7042/55957/7043/3486/3265/23411/207/4088/10000/5600/801/8503/5605/5934/7048/3133/1019/3135/5595/7157/291/1026/163688/4773/5728/4609/2626/6300/3710/5530/85417",130
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","137/5112","169/9397",0.810650887573965,1.49015774462687,7.02290739648997,2.09164536522485e-13,1.45160188346604e-11,5.98871094043325e-12,"55255/4893/5296/10652/7189/5515/140775/57724/55823/7314/5290/7405/598/23339/64689/10325/84971/440275/4218/22863/9711/9842/83452/3916/8897/9110/9342/6198/83734/11337/115201/29110/55014/5604/3845/3146/5291/51100/7316/8837/9451/23001/57617/1508/5861/5562/64601/79065/6009/5580/6885/8417/5602/9706/53349/57448/6237/208/22808/5170/55578/3708/84557/5293/8678/64798/5295/55054/6199/84938/9140/8887/5289/9821/55102/1514/10241/57521/8673/10645/7311/56270/5516/55062/5599/84335/2475/10010/58528/55626/7248/10133/5601/3476/4077/5566/5594/22800/5894/7249/9776/8660/26003/9474/3667/26100/6233/6794/8471/30849/1965/5588/3265/207/2081/10000/58476/23710/60673/1612/8503/5567/7879/5605/81631/64223/643246/11152/116442/5595/65082/3091/572/596/5728/1509/3480",137
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","190/5112","251/9397",0.756972111553785,1.39148414168054,6.86636601485348,1.28788478222007e-12,7.44826699050609e-11,3.07284790143737e-11,"1499/3320/84790/9475/3799/3839/10787/23191/7189/81873/55207/10392/63916/10376/3071/55823/84516/382/51164/10097/5290/29108/1147/5608/10640/7280/1783/127829/23339/257397/54205/8517/23265/5294/4636/1639/140735/653857/51807/8976/57180/578/51626/5970/3606/84617/3831/1785/840/9842/64746/5420/329/10671/3326/10540/197259/3840/4790/83439/10096/4671/5604/10810/203068/5291/302/8737/57617/836/10006/5609/81027/64601/1778/23207/114548/7100/6990/6885/5788/2597/998/9267/5602/5286/23118/6237/208/1781/6934/51135/5868/89953/58484/55770/1432/1434/9265/5293/4792/114609/257364/113146/5289/3569/10398/7184/79443/5599/4074/5898/112574/5869/11035/79659/5601/9844/3836/51429/837/10121/60412/5603/5594/10627/79026/834/2316/5894/8797/6500/6281/9367/9266/83658/7099/113457/8795/25828/3551/581/7097/5058/3725/55860/4646/330/64837/26263/3265/8655/207/10333/10454/10109/6993/10000/5600/9648/5879/3654/399/841/26999/10383/27128/7879/4615/5287/93408/10120/5605/260334/55845/3798/6416/5595/347733/3800/5585/65082/596/4609/375/5288/6300/5217/51209/6188",190
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","172/5112","224/9397",0.767857142857143,1.41149326514643,6.80804719124859,1.78258115060574e-12,8.83650941800272e-11,3.64557949597564e-11,"4893/3600/1870/10524/5925/706/5296/898/1869/6722/1030/7046/113/996/112/11200/5290/1111/1147/9134/598/8061/1386/8900/2224/8517/331/64764/8850/1017/9133/2033/5970/1031/5532/25906/9232/1871/8829/7417/196883/7094/7514/5534/4214/890/811/545/6688/4790/5902/5604/3845/5291/10393/6513/821/1387/3718/7419/4791/4085/9700/55697/6908/3683/595/5602/1739/4087/108/208/701/51433/51434/8295/7416/2874/3108/64784/6776/29945/1388/5293/468/5295/1029/4792/991/64682/29882/3716/2114/3601/2002/3569/958/3122/8697/6777/3115/8498/2005/3113/5599/4215/894/5901/5601/3109/2648/4089/109/5566/4801/5594/472/4775/292/1385/5533/9586/7040/3123/90993/3551/581/115/7042/5423/7043/3725/9020/23373/9184/3265/3117/3561/207/9519/4088/10000/3112/3554/3111/8503/3120/5567/148327/6929/246184/1959/5605/7048/3133/1019/6416/119504/200186/8881/3135/5595/7157/291/1026/4773/3118/5728/4609/4487/1958/5530",172
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","70/5112","77/9397",0.909090909090909,1.67111253378859,6.4583900403955,2.92287877259136e-12,1.126932148988e-10,4.64925746283538e-11,"1870/5925/5296/1950/1869/7046/5290/1147/598/8517/51426/578/5970/1871/1647/1643/6198/369/4790/673/5604/3845/5291/9459/5337/1021/998/6774/595/5602/4087/208/675/1956/5293/5295/1029/6199/3716/5338/5888/5599/5898/2475/5601/4089/5594/5894/7422/7040/4616/3551/581/7039/7042/7043/207/4088/10000/5879/8503/7048/1019/5881/5595/7157/1026/572/6772/5880",70
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","70/5112","77/9397",0.909090909090909,1.67111253378859,6.4583900403955,2.92287877259136e-12,1.126932148988e-10,4.64925746283538e-11,"4893/1870/5925/861/5296/1869/7046/5290/1147/598/8517/51426/5781/578/5970/1871/1647/1399/1643/3066/6464/369/25/4790/673/5604/3845/5291/1021/9846/595/6654/208/6776/1488/867/5293/5295/1029/4792/4193/6777/6655/3065/1027/1487/4089/5594/5894/7040/4616/3551/581/7042/613/7043/3265/207/4088/10000/8503/2885/5605/7048/1019/5595/7157/1026/572/4609",70
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","136/5112","171/9397",0.7953216374269,1.46197915236709,6.65894183256397,3.99726832003872e-12,1.38705210705344e-10,5.72240517395016e-11,"3320/55432/4287/9695/64374/79139/29979/51726/5034/165324/5887/51465/9373/6745/10484/8454/6747/55757/23190/573/4217/7415/29927/578/6185/56886/9632/7993/51128/6238/56605/2923/7095/3326/10130/258010/10956/811/23471/23480/55666/10427/29978/22872/821/9451/824/5609/9871/58505/200185/51009/80267/267/55768/84061/54431/9978/22926/3301/5602/5886/7841/8720/64215/23640/6400/1650/11253/9601/7353/51360/10277/11231/7326/10802/1388/7494/27248/10808/10905/201595/468/3998/30001/5589/10299/80700/56681/55829/823/23193/10961/7184/7323/10483/5599/1603/55968/3300/5601/4780/9532/10294/81567/4121/3703/3312/6500/55741/91445/10525/7322/22824/581/9709/10273/23645/6396/1965/84447/85479/3309/7327/2081/80331/51619/10970/55176/91319/6748/25956/118424/596/51035/56893",136
