"Pathway","Adjusted_Pvalue","Genes"
"catalytic activity, acting on RNA",2.4733887642515e-06,"AGO2/AGO3/ALKBH1/ALKBH3/ALKBH5/ANKZF1/AQR/CARS1/CARS2/CMTR2/CNOT6/CNOT7/CNOT8/DALRD3/DBR1/DDX10/DDX17/DDX18/DDX23/DDX28/DDX3X/DDX46/DDX49/DDX5/DDX50/DDX51/DDX55/DDX56/DDX59/DHX16/DHX34/DHX40/DHX57/DICER1/DIMT1/DIS3/DTD1/DUS1L/DUS2/DXO/EIF4A2/EIF4A3/ENDOV/ERN1/EXOSC3/EXOSC5/FANCM/FARS2/GATB/GATC/GGT1/HARS1/HARS2/HENMT1/IGHMBP2/INTS11/ISG20/ISG20L2/LCMT2/LRRC47/MARF1/MARS1/MARS2/MBLAC1/MED20/METTL1/METTL14/METTL15/METTL16/METTL2B/METTL3/METTL4/METTL6/MTFMT/NARS1/NOB1/NSUN2/NSUN4/NUDT12/OSGEP/PARN/PARS2/PCIF1/PIWIL2/POLR1B/POLR1D/POLR1H/POLR2B/POLR2C/POLR2E/POLR2F/POLR2H/POLR2I/POLR2K/POLR3A/POLR3B/POLR3G/POLR3K/POP1/POP4/POP5/POP7/PPP1R8/PRIMPOL/PRORP/PRORSD1P/PTRH2/PUS1/PUS10/QTRT1/QTRT2/RARS1/RARS2/REXO2/RLIG1/RNASE2/RNASE3/RNASE6/RNASET2/RNGTT/RPP14/RPP21/RPP30/RPP40/RTCA/SARS1/SEPSECS/SKIC2/SLU7/SNRNP200/TARBP1/TARS2/TARS3/TDP2/TDRD9/TFB1M/TGS1/THG1L/TOE1/TRMO/TRMT10A/TRMT10B/TRMT10C/TRMT12/TRMT1L/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMU/TRNT1/TRPT1/TSEN2/TSEN34/TSR3/TUT1/UPF1/XRN2/YARS2/YBEY/ZC3H12D/ZCCHC4"
"catalytic activity, acting on a tRNA",2.76376054697185e-05,"ALKBH1/ANKZF1/CARS1/CARS2/DALRD3/DTD1/DUS1L/DUS2/FARS2/GATB/GATC/GGT1/HARS1/HARS2/LCMT2/LRRC47/MARS1/MARS2/METTL1/METTL2B/METTL6/MTFMT/NARS1/NSUN2/OSGEP/PARS2/POP1/POP4/POP5/POP7/PRORP/PRORSD1P/PTRH2/PUS1/PUS10/QTRT1/QTRT2/RARS1/RARS2/RPP14/RPP21/RPP30/RPP40/SARS1/SEPSECS/TARBP1/TARS2/TARS3/THG1L/TRMO/TRMT10A/TRMT10B/TRMT10C/TRMT12/TRMT1L/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMU/TRNT1/TRPT1/TSEN2/TSEN34/YARS2"
"small GTPase binding",4.4170369309634e-05,"ABCA1/ALS2CL/AP3M1/ARFIP2/ARHGAP1/ARHGDIB/ARHGEF2/ATP7A/BICD1/BICD2/BICDL1/BIRC5/BRK1/C15orf62/C9orf72/CDC42SE1/CDC42SE2/CDKL5/CHM/CIMAP3/CORO1C/CYFIP2/CYRIA/DAAM2/DAPK3/DENND10/DENND5A/DIAPH1/DIAPH3/DMXL2/DOCK11/DOCK2/DOCK5/DOCK7/DVL1/DVL2/EHD1/EPS8/EVI5/EXOC2/FGD3/FLNA/FMNL1/FMNL3/GAPVD1/GARRE1/GCC1/GCC2/GDI1/GDI2/GGA3/GIT1/GOLGA5/HPS6/IPO7/IPO8/IQGAP2/IQGAP3/KCTD13/KIF3B/LSM2/MAP3K11/MYO5A/MYO9B/NCF2/NOX1/NUTF2/PAK1/PAK2/PARD6A/PDE6D/PEX5/PFN1/PICALM/PKN1/PKN2/PLEKHG3/PPP6R1/PRKCH/RAB11FIP1/RAB11FIP3/RAB11FIP4/RAB29/RABGAP1/RABGAP1L/RABGGTA/RALBP1/RANGRF/RAP1A/RAPGEF6/RCC1/RCC2/RHOBTB3/RILP/RIMS3/RIN2/RINL/RNF41/RPH3A/SGSM2/SGSM3/SIKE1/SPHK2/SYTL1/SYTL5/TBC1D30/TBC1D7/TMEM127/TNFAIP1/TNPO2/TRIOBP/TSC2/ULK1/UNC13D/USP33/WAS/XPO7"
"ubiquitin protein ligase binding",4.4170369309634e-05,"ACTG1/AMBRA1/ANAPC2/ANKRA2/APC/ARRB1/ARRDC1/AUP1/AXIN1/BAG1/BAG6/BECN1/BID/BOK/CAMLG/CASC3/CASP8/CDKN1B/CKB/CRK/CUL2/CUL3/CUL4B/CUL7/CUL9/CXCR4/DAXX/DAZAP2/DBT/DET1/EIF4E2/ELOB/ERBB3/ERLIN1/FOXO1/FZD5/GABARAPL2/GPI/GSK3B/HDAC6/HLTF/HM13/HSPA1L/HSPA5/HSPA6/HSPA7/IKBKG/JAK1/JKAMP/KDM4A/LAPTM5/LTBR/LYN/MAP1LC3A/MAP3K7/MC1R/NDUFS2/NEDD8/NFKBIA/NLK/NPLOC4/OTUB1/PATZ1/PDLIM2/PER3/PINK1/PRKACA/PRKACB/PRKAR1A/PRKN/PRR5L/PSMA3/PYHIN1/RAD18/RALA/RB1/RFFL/RHOBTB3/RIPK1/RNF20/RNF34/RPA2/RPL11/RPL23/RPS27A/RRAGA/RTN4/SH3KBP1/SKI/SMAD2/SMAD7/SMG5/SPART/SPOP/SPOPL/SQSTM1/SUMO2/TMBIM6/TNFRSF14/TNFRSF1B/TNK2/TP53/TRAF1/TRAF2/TRAF3/TRIB2/TRIM28/TRIOBP/TSG101/TXNIP/UBA52/UBC/UBE2B/UBE2D2/UBE2D3/UBE2J2/UBE2K/UBE2L5/UBE2W/UBOX5/UBXN1/USP13/WBP1L/WRAP53/XRCC5/YWHAZ"
"GTPase binding",0.000100766478339208,"ABCA1/ALS2CL/AMBRA1/AP3M1/ARFIP2/ARHGAP1/ARHGDIB/ARHGEF2/ATP7A/BECN1/BICD1/BICD2/BICDL1/BIRC5/BRK1/C15orf62/C9orf72/CDC42SE1/CDC42SE2/CDKL5/CHM/CIMAP3/CLTA/CORO1C/CYFIP2/CYRIA/DAAM2/DAPK3/DENND10/DENND5A/DIAPH1/DIAPH3/DMXL2/DOCK11/DOCK2/DOCK5/DOCK7/DVL1/DVL2/EHD1/EPS8/EVI5/EXOC2/FGD3/FLNA/FMNL1/FMNL3/GAPVD1/GARRE1/GCC1/GCC2/GDI1/GDI2/GGA3/GIT1/GNB1/GNB2/GOLGA5/HPS6/IPO7/IPO8/IQGAP2/IQGAP3/KCTD13/KIF3B/LAMTOR1/LSM2/MAP3K11/MYO5A/MYO9B/NCF2/NOX1/NUTF2/PAK1/PAK2/PARD6A/PDE6D/PEX5/PFN1/PICALM/PKN1/PKN2/PLEKHG3/PPP6R1/PREB/PRKCH/RAB11FIP1/RAB11FIP3/RAB11FIP4/RAB29/RABGAP1/RABGAP1L/RABGGTA/RALBP1/RANGRF/RAP1A/RAPGEF6/RASA1/RCC1/RCC2/RHOBTB3/RILP/RIMS3/RIN2/RINL/RNF41/RPH3A/RRAGC/SGSM2/SGSM3/SIKE1/SPHK2/SYTL1/SYTL5/TBC1D30/TBC1D7/TMEM127/TNFAIP1/TNPO2/TRIOBP/TSC2/ULK1/UNC13D/USP33/WAS/XPO7"
"ubiquitin-like protein ligase binding",0.000124755869379563,"ACTG1/AMBRA1/ANAPC2/ANKRA2/APC/ARRB1/ARRDC1/AUP1/AXIN1/BAG1/BAG6/BECN1/BID/BOK/CAMLG/CASC3/CASP8/CDK5RAP3/CDKN1B/CKB/CRK/CUL2/CUL3/CUL4B/CUL7/CUL9/CXCR4/DAXX/DAZAP2/DBT/DET1/EIF4E2/ELOB/ERBB3/ERLIN1/FOXO1/FZD5/GABARAPL2/GPI/GSK3B/HDAC6/HGS/HLTF/HM13/HSPA1L/HSPA5/HSPA6/HSPA7/IKBKG/ITCH/JAK1/JKAMP/KDM4A/LAPTM5/LTBR/LYN/MAP1LC3A/MAP3K7/MC1R/NDUFS2/NEDD8/NFKBIA/NLK/NPLOC4/OTUB1/PATZ1/PDLIM2/PER3/PINK1/PRKACA/PRKACB/PRKAR1A/PRKN/PRR5L/PSMA3/PYHIN1/RAD18/RALA/RB1/RFFL/RHOBTB3/RIPK1/RNF20/RNF34/RPA2/RPL11/RPL23/RPS27A/RRAGA/RTN4/SH3KBP1/SKI/SMAD2/SMAD7/SMG5/SPART/SPOP/SPOPL/SQSTM1/SUMO2/TMBIM6/TNFRSF14/TNFRSF1B/TNK2/TP53/TRAF1/TRAF2/TRAF3/TRIB2/TRIM28/TRIOBP/TRIP4/TSG101/TXNIP/UBA52/UBC/UBE2B/UBE2D2/UBE2D3/UBE2J2/UBE2K/UBE2L5/UBE2W/UBOX5/UBXN1/USP13/WBP1L/WRAP53/XRCC5/YWHAZ"
"DNA-binding transcription factor binding",0.00103812340732522,"ACTB/ACTN4/ADD1/AIP/ARID1A/ARNT2/ASXL1/ATF2/BBS4/BBS5/BCAS3/BCOR/BEX1/BRD8/BRMS1/C1D/CARM1/CDK5RAP3/CENPF/CGGBP1/CHCHD2/CNOT7/COMMD6/CPNE1/CREB1/CRKL/CRTC1/CRY2/CTBP1/CTBP2/DAPK3/DAXX/DAZAP2/DDIT3/DDX5/DGKQ/DHRS7B/DNMT3A/E4F1/ELK1/EOMES/ETS2/FBP1/FIZ1/FLNA/FLT3/FOS/FOXC1/FOXP1/GATA1/GATA2/GSK3B/GTF2A1/GTF2A2/GTF2B/GTF2H1/HCLS1/HDAC1/HDAC11/HDAC2/HDAC3/HDAC5/HDAC7/HES6/HEY1/HEY2/HHEX/HIF1AN/HIRA/ID3/IFI27/KAT2B/KAT8/KEAP1/KLF5/LDB1/LMO2/LMO4/LRIF1/LYAR/MAP3K7/MAPK3/MAX/MED1/MED14/MED16/MED25/MED30/MEF2C/MEF2D/METTL23/MKKS/MLX/MMS19/MTA1/NAAA/NCOR2/NFATC1/NFKBIA/NFYB/NIF3L1/NKX3-1/NLK/NOTCH2/PAGR1/PARK7/PBX2/PBXIP1/PDCD11/PHB2/PKN1/PPARD/PPARG/PRAME/PRKCB/PRKDC/PRMT2/PSMC5/PSMD10/PURA/RAD21/RB1/RNF14/RNF25/RPS3/RUNX2/RXRA/SDR16C5/SETD3/SETD6/SIRT1/SIRT2/SKI/SLC30A9/SMAD2/SMAD4/SMARCD3/SOX8/SP3/SRC/STAT5A/STAT5B/STK4/TADA3/TAF1/TAF11/TAF12/TAF4/TAF7/TBP/TBX6/TDG/THRAP3/TLE4/TOB2/TP53/TPT1/TRERF1/TRIB2/TRIM24/TRIM68/TRIP4/USF1/VDR/WBP2/WIPI1/WWP2/XPC/YWHAZ/YY1/ZBTB49/ZFPM2/ZNF764/ZNHIT3"
"protein-macromolecule adaptor activity",0.00103812340732522,"AMBRA1/ANAPC7/AP1M1/AP1M2/AP1S2/AP2A1/AP2B1/AP2M1/AP4E1/APH1A/APPBP2/ARPC4/ARRDC1/AXIN1/BAIAP2/BBS4/BECN1/BET1/BET1L/BFAR/BICD1/BICD2/BRD1/BRD4/CAPRIN1/CARD8/CD3E/CDC42SE2/CDYL/CNKSR1/CRADD/CRK/CRKL/CUL2/CUL3/DAXX/DCAF12/DCAF7/DDX3X/DEDD2/DET1/DGCR8/DOK2/DTL/DVL2/EPC1/FBXL19/FBXW11/FEM1A/FMR1/FSCN1/FUS/GAB1/GAB3/GAS2L2/GATAD2A/GET1/GLYR1/GNB1/GNB2/GOSR1/GRB10/GRB2/HNRNPA2B1/HOMER1/HRAS/HSH2D/IFNAR2/IKBKG/KEAP1/KHDRBS1/KLHDC1/KLHDC10/KLHDC2/KLHDC3/KLHL22/KLHL25/KRAS/LAMTOR1/MAP2K1/MAP2K2/MAPT/MARK4/MECP2/MMS19/MORC3/NCK1/NCK2/NDC1/NEAT1/NEFL/NHERF1/NHERF4/NLRP1/NMNAT1/PCMTD1/PDCD6/PEF1/PHF14/POLD3/PRAME/PSMC6/PSMD10/PTPN11/RAPSN/RETREG2/RETREG3/RGS14/RRAGA/RRAGC/SCRIB/SDCBP/SEC22A/SERINC1/SH2B1/SH2B2/SH2B3/SH3RF1/SHANK3/SHC1/SLA2/SLC4A1/SMAD7/SNAP29/SNAP47/SOS1/SPAG9/SPSB2/SPTBN4/SQSTM1/SRRT/STX10/STX12/STX16/STX17/STX1A/STX2/STX4/STX5/STX6/STX7/SUN2/SYNE2/TIRAP/TRADD/TRAF2/TRPC4AP/TSNARE1/TUT1/USE1/VAMP2/VAMP7/WDR59/WIPI1/WNK1/WNK3"
"transcription coactivator activity",0.00108963624199321,"ABL1/ABT1/ACTN4/AIP/ARID1A/ARID1B/ARRB1/ASXL1/ATXN7L3/BCL9L/BRD4/BRD8/CALCOCO1/CAMTA2/CARM1/CBFB/CNOT6/COPS5/CTBP1/CTBP2/DAXX/DCAF6/DDX17/DYRK1A/DYRK1B/EDF1/ELK1/FIZ1/FUS/GPS2/HYAL2/ING4/JADE1/KAT2B/KAT8/LDB1/LMO2/LPIN2/MAML1/MAML2/MED1/MED12L/MED14/MED16/MED20/MED27/MED30/MED6/MED7/MID2/MMS19/MRTFA/MTA1/MYCBP/NCOA4/NOTCH1/NPAT/PARK7/PBXIP1/PHF2/PKN1/PMF1/PQBP1/PRKCB/PRMT2/RBM14/RERE/RNF14/RNF20/RNF4/RUVBL1/SETD3/SETD4/SIRT1/SLC30A9/SMARCC1/SMARCD2/SMARCD3/SRA1/SRCAP/SS18L1/SS18L2/SSBP3/SUPT3H/TADA2A/TADA3/TAF11/TAF11L2/TAF12/TAF6L/THRAP3/TOX2/TRERF1/TRIM13/TRIM24/TRIM27/TRIM28/TRIM31/TRIM62/TRIM8/TRIP4/USP21/USP22/WBP2/WWTR1/XPC/ZBED1/ZFPM2/ZMIZ1/ZMIZ2"
"ubiquitin-protein transferase activity",0.00108963624199321,"ANAPC11/ANAPC4/AREL1/ARIH2/ARK2C/ASB2/BCOR/BFAR/BIRC6/CBL/CDC34/CHFR/COP1/CUL2/CUL3/CUL9/DTL/DTX2/DTX4/ERCC8/FBXL14/FBXO2/FBXO22/FBXO44/GID4/HERC4/HLTF/HUWE1/IRF2BP1/ITCH/KCMF1/KCTD10/KCTD13/KLHL21/KLHL42/KLHL9/LMO7/LONRF3/LTN1/MAEA/MALT1/MARCHF2/MARCHF8/MARCHF9/MARVELD3/MED1/MED11/MED18/MED27/MED30/MED31/MED6/MED7/MED8/MEFV/MGRN1/MIB1/MIB2/MKRN2/MSL2/NEURL4/NHLRC1/NOSIP/NSMCE1/OBI1/PCGF5/PEX12/PJA1/PPIL2/PPP1R11/PRKN/PRPF19/RAD18/RBCK1/RC3H2/RFFL/RING1/RMND5A/RMND5B/RNF111/RNF113A/RNF114/RNF121/RNF122/RNF123/RNF130/RNF14/RNF141/RNF144A/RNF146/RNF166/RNF167/RNF181/RNF183/RNF185/RNF2/RNF20/RNF215/RNF216/RNF220/RNF227/RNF25/RNF34/RNF38/RNF4/RNF41/RNF44/RNF5/RNFT1/RPGR/RSPRY1/SH3RF1/SHARPIN/SMURF2/TAF1/TMEM129/TNFAIP1/TNFAIP3/TOPORS/TRAF2/TRAF3/TRAF7/TRIM13/TRIM23/TRIM24/TRIM27/TRIM28/TRIM31/TRIM39/TRIM4/TRIM50/TRIM55/TRIM56/TRIM58/TRIM62/TRIM65/TRIM68/TRIM7/TRIM8/UBA7/UBE2B/UBE2D2/UBE2D3/UBE2E3/UBE2J2/UBE2K/UBE2L5/UBE2O/UBE2Q1/UBE2QL1/UBE2R2/UBE2W/UBE3B/UBE3C/UBE3D/UBE4B/UBOX5/UBR2/UBR7/WDR24/WWP1/WWP2/XIAP/ZNRF1"
