"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","72/2413","137/8773",3.82307264330402e-10,1.29984469872337e-07,9.21561721385916e-08,"920/3678/6416/4772/23396/3551/5879/207/5599/6347/5293/3661/7409/1398/6195/29108/10552/208/5605/5594/10094/387/10095/3586/9138/7456/60/23118/5601/2353/5585/10093/3553/7454/10458/7186/71/2932/3676/1399/926/4210/382/8394/5586/51135/57180/5595/9844/5604/27330/8517/8935/5606/10097/10092/5609/10096/10109/6885/6196/4775/4792/10000/10163/7535/8503/644150/925/5602/6714/3984",72
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","112/2413","250/8773",2.16742058820318e-09,3.6846149999454e-07,2.61231218262383e-07,"408/55048/7048/57403/57132/51324/23396/2869/9230/9266/23550/7251/58513/51160/11021/51652/118813/3134/79720/84440/4087/50855/55738/381/64411/10552/10617/3305/156/10094/1211/9267/387/64750/3105/10095/116988/5869/28964/3106/5338/58533/3107/7852/116985/832/1173/1212/10193/7456/116983/5878/91782/10093/27243/160/93343/84364/29924/8766/83737/22905/10254/27183/51028/382/8394/3561/112936/80223/163/3310/377/57180/3560/867/84313/51699/79643/10890/3579/2870/10938/116986/3265/10097/10092/11267/9727/51534/9146/10096/10109/3133/11059/5584/6643/51019/137492/30011/55680/10015/23527/23111/644150/9525/27128/3577/6642/26286/6714/3800",112
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","105/2413","247/8773",1.91658933005342e-07,2.17213457406055e-05,1.53999633888503e-05,"8717/3678/5330/30849/5289/3551/9252/5879/64121/26100/207/5599/9266/23048/7322/25851/5293/103910/3661/1398/7132/581/29108/10552/208/10801/7157/5594/10094/9267/387/10095/7311/6199/23291/2931/5333/29895/60/23118/7316/5601/5217/10093/929/3553/7186/71/2932/2308/84557/718/8678/55964/1399/5216/8878/10670/3020/23157/382/80201/6233/3021/8358/81/8355/9474/84335/4735/57180/5595/9844/472/9181/10892/989/8517/55752/4636/10097/10092/81858/3059/10096/10109/6885/1729/2475/10616/7323/10241/4792/10000/10163/9140/3710/8503/27128/8737/7336/3708/55062/5602/6714",105
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","56/2413","114/8773",6.57168111827362e-07,5.58592895053258e-05,3.96030256864384e-05,"8717/6416/7133/3551/9252/8809/2919/207/5599/9020/6347/5293/1385/7132/6372/208/6364/5594/7187/4318/1388/10488/1906/90993/7128/23118/5743/5601/2353/4049/3553/7186/7185/83737/841/5595/5604/8986/8517/3627/5606/5609/6885/1386/3726/836/4792/10000/7424/4217/8503/331/8737/1540/5602/192111",56
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","45/2413","86/8773",8.83453341464074e-07,6.0074827219557e-05,4.25917505674259e-05,"7048/5366/5879/332/207/5599/5293/4087/842/581/208/2956/5605/7157/5594/387/6199/4089/5601/2353/10018/27113/2932/8312/4292/3845/324/2885/4436/5898/5595/5604/2069/3265/5900/6654/2475/836/7040/6932/10000/1647/8503/369/5602",45
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","93/2413","222/8773",2.06059320374823e-06,0.0001167669482124,8.27852357295341e-05,"8900/7048/920/6416/4801/4772/3551/25847/207/5599/9020/7850/5293/3716/1385/3134/51434/4087/7132/581/208/5605/7157/5594/890/9133/3105/701/3106/1388/10488/3107/90993/8498/4089/23373/246184/5601/2353/29882/4049/3689/119504/1870/3845/3561/9519/3683/6776/29945/9184/10744/5534/8850/6908/567/3560/5595/472/8379/5604/8517/3265/9232/4215/5567/4055/916/4085/3133/51529/1386/2874/5423/5925/7040/4775/6777/2002/111/2114/4792/8881/10000/5566/8503/8061/331/7419/9700/996/5602/991",93
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","101/2413","247/8773",2.82923059640562e-06,0.000137419771825416,9.74276400867499e-05,"8795/388/27072/8717/6416/5289/3551/5879/51143/207/5599/9266/8677/5058/64601/5293/103910/7132/581/29108/10552/208/6281/5605/65082/5594/10094/9267/387/55860/10095/5869/114609/2316/79443/29895/60/23118/64746/5601/2353/5585/5878/7846/5217/10093/25828/10121/929/3553/7186/71/10120/26999/5216/89953/382/55845/51135/11258/841/60412/57180/5898/5595/9844/140735/3836/5604/23339/8517/3265/55770/4636/5606/10097/10092/6188/5609/10096/10109/8655/6885/79792/51209/79659/836/6932/4792/10000/83547/26263/27128/8737/3840/1639/9648/5788/64837/5602/3800",101
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","120/2413","306/8773",4.13937035769037e-06,0.000175923240201841,0.000124725764725144,"5330/6874/10126/30849/5289/4712/26100/10975/5599/5434/2878/4695/6507/5432/9776/1385/842/5710/581/5435/6392/7157/1211/4899/55860/4707/5684/27089/4717/10488/5689/3065/4711/90993/1337/5433/7381/1173/1212/7385/6390/1340/5719/5601/5693/7846/27113/10121/5431/5468/160/514/539/7186/10476/10120/8678/513/5686/89953/4716/3066/1329/5682/9519/126328/5688/11258/29796/163/841/5437/5692/506/4720/5436/6804/127602/2081/4719/9706/6908/5691/125965/4705/11047/55626/4710/1351/4694/5609/25981/5706/4702/509/1349/4723/83544/2475/836/1347/517/5440/5438/8408/1327/4217/7419/5705/5704/1639/3708/515/4709/55062/522/64837/5602/10105/3800",120
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","43/2413","85/8773",4.9008622125901e-06,0.000185143683586737,0.000131262859261185,"6416/1027/207/5599/5058/2064/5293/1398/4690/208/5605/5594/6199/2549/5601/2932/5062/1399/818/3845/5579/6776/2885/5595/867/5604/2069/3265/5609/6654/8440/2475/25/2065/6777/2002/10000/6464/145957/8503/369/5602/6714",43
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","39/2413","76/8773",8.64747013770546e-06,0.000255218729400032,0.000180944548088568,"7048/3551/1027/207/1488/5293/1398/581/208/5605/7157/5594/3065/4089/1399/3066/1870/3845/6776/2885/1487/5595/867/5604/8517/3265/6654/5925/7040/25/6777/613/4792/10000/1647/6464/8503/369/5781",39
