"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","51/905","192/8773",9.95705961388282e-11,3.25595849373968e-08,2.25343980735243e-08,"408/6347/5330/5058/207/5293/5579/9560/7409/23533/1794/58191/7852/2932/4067/6351/5336/5294/2791/3845/7454/5829/2782/2869/2885/3055/5894/5566/6655/2771/9844/208/6464/5594/59345/6774/57580/5879/6777/2919/54331/1398/8517/156/673/5906/3551/2185/6372/998/2793",51
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","40/905","137/8773",5.19165597859309e-10,8.4883575249997e-08,5.87476860735534e-08,"6347/3553/207/920/5293/6416/7409/3678/5586/6195/5599/7456/4210/2932/23118/9815/10458/7454/5829/23396/147179/3676/3937/9844/208/5594/5879/8394/10096/1398/8517/4615/3551/2185/10109/10097/10163/5606/9138/998",40
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","44/905","162/8773",9.15432550048961e-10,9.97821479553367e-08,6.90589467580795e-08,"7048/207/5293/6554/5579/6416/1387/3716/637/6778/1654/5599/332/7297/890/1385/114609/23118/3845/10488/6776/2885/7187/842/5894/6655/4214/208/5594/6774/6777/317/8517/673/4615/3551/2185/369/1870/8900/2033/1960/5606/841",44
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","24/905","69/8773",3.83582849623522e-08,3.13578979567229e-06,2.17027138602782e-06,"2889/5058/207/2549/5293/1387/112398/5062/7030/3845/2885/2271/3082/5894/6655/208/5594/5879/1398/673/5906/369/2033/998",24
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","37/905","141/8773",5.43041395079341e-08,3.55149072381889e-06,2.45797684088544e-06,"3553/11024/7048/207/7006/5293/8878/3716/1436/10288/5599/11027/7297/1385/6850/5336/23118/9020/4791/3455/2885/4688/2213/7132/9846/3937/208/5594/5879/11025/487/8517/3460/3551/140885/10326/6688",37
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","61/905","299/8773",1.04122127685638e-07,5.67465595886725e-06,3.92741358814247e-06,"408/3315/3553/4208/5058/7048/207/9252/5579/6416/6789/9693/5921/51347/6195/1436/3312/5062/5599/2872/115727/4217/4215/23118/9020/1848/4296/3845/2316/5871/4791/2885/57551/3082/7132/9448/5894/5566/785/6655/4214/7867/208/5594/5494/284/5879/10746/1398/8517/673/4615/5906/3551/9175/369/80824/5606/1944/998/4763",61
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","40/905","167/8773",2.33858587698938e-07,1.09245368825076e-05,7.56084155718372e-06,"1612/10533/207/5293/5289/8878/89849/9842/27072/203228/5599/26100/7249/4077/23710/3845/84557/9776/58476/7316/2081/64689/30849/5894/5566/8417/81671/8678/23339/9342/208/5594/116442/3920/53349/23130/23604/8673/64419/10645",40
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","28/905","97/8773",2.70339112731616e-07,1.10501112329048e-05,7.64775121543387e-06,"5058/207/5293/5579/7409/5338/6850/4067/5336/3635/65108/7454/23396/2213/3055/5894/5788/9846/208/5594/5879/8394/10096/1398/10109/10097/10163/998",28
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","44/905","194/8773",3.10986654465091e-07,1.12991817788983e-05,7.82013224678298e-06,"207/5293/5289/6416/1387/718/3716/23533/637/5599/7297/1385/2932/6850/4067/5336/5294/2791/3845/84557/2782/6934/7316/3455/7132/7187/842/3055/5894/8678/208/5594/59345/6774/57580/5879/2919/54331/8517/3551/1870/2033/841/2793",44
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","52/905","250/8773",4.95621182805855e-07,1.62068126777515e-05,1.12166899266588e-05,"408/58513/7048/51324/79720/84440/116985/55048/64411/80223/57403/11021/23550/3312/7456/5338/7852/51652/23527/9815/9146/30011/57132/3482/23396/2869/147179/867/9922/7251/118813/23325/64750/4087/27128/9267/9765/160/58533/9266/22905/29924/8394/10096/377/156/10617/5869/10109/10193/10097/998",52
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","44/905","198/8773",5.70278586239421e-07,1.69528270636628e-05,1.17330044058828e-05,"8795/4629/3553/5058/4542/4644/5062/5599/7456/114609/23118/4628/10458/8737/147179/5777/7132/3059/842/7846/27128/9267/9266/5594/10006/5879/257397/10096/8517/10672/4615/81027/3551/10427/9170/9826/10109/7122/10097/10163/841/9138/998/9368",44
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","48/905","225/8773",6.31471342885865e-07,1.72075940936398e-05,1.19093279579352e-05,"6347/3553/5330/207/5293/5579/9560/3716/637/3570/1385/7852/2932/7249/6351/2791/3845/8737/5829/10488/2782/5732/2885/7132/842/6667/5894/5566/6655/2771/208/5594/59345/6774/5879/6891/54331/1398/8517/10672/3551/2185/9826/1870/340061/841/9138/2793",48
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","25/905","85/8773",7.97308940333754e-07,1.76128095962369e-05,1.21897764789665e-05,"5058/207/2549/5293/5579/6416/5062/5599/2932/5336/3845/818/6776/867/2885/5894/1027/6655/208/6464/5594/6777/1398/673/369",25
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","51/905","247/8773",8.07927045698941e-07,1.76128095962369e-05,1.21897764789665e-05,"3553/5330/207/5293/5289/9252/8878/718/3678/5599/26100/2932/5336/23118/87/23048/84557/55072/7094/8737/5829/81/7316/7132/3059/30849/8678/27128/9267/9844/208/9266/5594/5879/257397/10096/1398/8517/4636/4615/3551/10318/3020/10109/4303/340061/25851/7323/10097/10163/998",51
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","51/905","247/8773",8.07927045698941e-07,1.76128095962369e-05,1.21897764789665e-05,"8795/3553/5058/207/5293/3326/5289/6416/9842/27072/5599/114609/5294/23118/388/2316/8737/6934/7132/10333/5894/5788/7846/27128/23339/9267/9844/208/8677/9266/5594/10006/79443/5879/257397/51143/10096/8517/4636/4615/81027/5869/3551/3840/10109/10097/64746/5606/1639/841/998",51
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","23/905","76/8773",1.26224907003189e-06,2.57972153687768e-05,1.78541809247932e-05,"7048/207/5293/3716/5599/5338/10928/3845/5888/842/9459/5894/4087/208/5594/6774/5879/8517/673/3551/369/1870/998",23
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","21/905","67/8773",1.93628652371894e-06,3.72450407797702e-05,2.57771890154534e-05,"207/5293/1436/890/1848/3845/6934/6776/2885/5894/6655/208/5594/6774/6777/8517/673/3551/369/8900/6688",21
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","30/905","119/8773",2.44421342989461e-06,4.44032106430854e-05,3.07313384460433e-05,"10019/2889/207/2549/5293/10603/9252/6195/5599/2932/4217/5663/5336/4215/3845/818/2885/5894/6655/4214/208/6464/5594/5879/1398/673/5906/3551/397/998",30
