"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","231/6202","252/9397",0.916666666666667,1.38889336773084,8.71848261529857,2.9310876310341e-22,1.01708740796883e-19,4.04181557542597e-20,"11267/8723/57180/382/27183/163/64145/5867/3312/51019/10015/29934/3265/81873/84364/6643/51699/51028/80230/9897/84552/1173/112936/377/11021/2868/1213/6642/160/55738/10097/55737/27131/51534/387680/8395/55680/4087/2060/56904/11311/7046/57132/57403/100287171/29924/8394/161/93343/9267/83737/1956/137492/8766/3799/10565/9266/253725/116984/26052/84313/10617/1234/1601/2869/91782/56288/116983/8411/9744/23111/118813/10193/9265/30845/1175/9559/6714/5869/30011/156/28964/23550/414189/8853/642517/10096/9372/11059/58533/2350/3561/653857/832/8976/1785/4088/8724/10564/7456/440073/9525/26286/5584/157/29082/128866/51160/64750/274/9727/119016/23325/1212/3305/3800/1759/4734/23362/116988/8729/409/9798/22841/868/10254/7048/7189/26119/8027/51324/5338/1211/2870/9135/867/26056/23327/408/147179/30844/116986/23396/9230/23096/5878/10095/51652/25978/3106/79643/23527/3798/89853/84249/3949/3559/10552/79720/138429/9101/3105/60682/3133/10890/9765/7037/10109/57154/84440/6455/84612/378/2264/55616/80223/3560/7879/5337/5868/4193/9922/9829/9146/5590/387/3134/3482/5119/51510/116987/729092/8218/998/55048/858/131890/27128/3310/4218/3135/51100/64411/10092/2263/7251/375/3303/254122/830/58513/64744/829/9815/10093/11031/6456/381/3579/7852/3304/857/6011/155382/3480/55040/116985/10094/50807/2348/3577",231
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","151/6202","158/9397",0.955696202531646,1.448029218831,7.91269364840497,8.20612100983433e-20,1.42376199520626e-17,5.65790448572788e-18,"11200/10971/10393/51434/9978/3066/23595/29945/7531/5516/5519/1017/119504/5925/996/51433/898/4999/7027/1874/3065/7529/25906/9184/23244/7532/545/5885/5001/5000/27085/1027/1030/9134/8454/8555/4087/5529/7157/6502/1019/8697/5528/29882/25/5933/1875/7534/23063/8243/8317/4172/4085/80174/8379/27127/5111/64682/55869/4089/2932/7533/4176/9126/4609/7043/8881/5526/5934/5525/472/246184/10735/894/5518/1869/5515/1031/595/51343/10926/4088/4175/9232/1870/902/1663/10274/114799/994/8556/5527/546/26271/23047/1871/990/1021/7465/1029/23594/23383/7029/891/85417/10459/4174/1111/10403/6500/9319/9587/25836/1022/4173/5347/890/7709/7040/4998/9133/896/57082/10744/4193/1647/157570/5591/1028/983/699/991/4171/151648/993/7042/8318/1387/7272/2033/2810/9212/113130/90381/1026/1032/9700/995/494551/701/25847",151
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","220/6202","251/9397",0.876494023904382,1.32802553089801,7.3388981917807,1.71851239330588e-15,1.98774600159047e-13,7.89912714116036e-14,"57180/51626/3320/382/5898/10640/64601/140735/10376/1499/3839/55207/3326/5604/3265/81873/84516/329/55770/54205/23191/10787/8655/203068/10540/10392/6885/55860/9367/10120/1781/64746/581/65082/10097/84790/55823/6990/578/60412/3551/1434/25828/5605/6237/9267/5420/257364/5600/9475/840/3071/51135/3799/23339/26263/23265/8517/208/9266/836/55845/10454/5601/302/6188/6281/5290/1639/4636/51209/64837/10121/5289/9265/5869/3831/89953/4609/399/1147/10096/5599/83439/5879/5609/5594/653857/8976/1785/23118/7184/5585/7186/5287/257397/5293/3840/1778/10627/79443/4074/8797/3606/5291/3800/27072/71/81027/3836/5286/7189/114609/10810/6416/7280/79659/51807/103910/197259/5294/8795/8737/4790/3654/51143/11258/5788/8717/10006/26999/2316/9844/834/11035/5216/5058/10000/3569/5970/5878/10671/113146/1783/112574/330/10095/6500/23207/79026/5217/207/2597/596/841/9648/83658/4646/51164/3798/9842/51429/10552/51176/29109/10109/84617/6932/63916/113457/127829/5595/7879/57617/6993/5868/10382/10383/58484/388/387/5603/5608/5288/6934/837/83547/93408/57381/10398/3725/998/29895/27128/5063/8677/10092/79792/375/6300/10333/4615/10093/112714/7099/5894/1432/338382/29108/5602/375189/60/347733/10094/7124/7277/83657/3553/3576/114548",220
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","156/6202","171/9397",0.912280701754386,1.38224794491873,7.02810826519597,6.57782117864157e-15,5.70625987247157e-13,2.26761730105802e-13,"7993/165324/6747/3320/9978/55768/10808/7322/58505/6185/6745/3312/10961/10484/200185/23480/64215/3326/51128/27248/7841/4287/7494/573/29927/29978/9695/55829/267/1603/7415/23640/29979/51009/1650/55666/9532/581/84061/56605/79139/8454/11253/8720/10113/51360/578/1388/51619/23193/54431/10483/258010/3300/1965/6048/3703/5589/2923/55757/5886/22872/824/64374/5601/80267/10273/201595/118424/23190/9601/6748/10130/821/468/811/23471/9451/5034/7326/56886/5599/5887/7095/5609/10956/7184/9871/7186/55741/57134/6184/3998/4217/91445/10294/10905/823/10277/80700/10952/51726/3305/10134/6396/56893/6400/9373/7327/55432/7466/11231/3301/25956/10802/30001/4121/3309/9632/10427/10299/6238/85479/80331/7323/55968/51035/51465/10525/6500/10960/84447/81567/596/22926/26232/56681/6746/2081/9709/4780/91319/7353/3337/3310/54788/55176/746/3303/80343/7321/3304/5602/5071/5611/100506742",156
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","132/6202","142/9397",0.929577464788732,1.40845524614958,6.83285796102704,1.70519823615937e-14,1.1834075758946e-12,4.70275724077636e-13,"7428/10393/51434/9978/140739/7314/7311/7322/7334/29945/26272/25898/3093/10055/119504/7332/89910/6233/996/55236/10477/26091/51433/329/55958/8945/8451/23291/6921/7324/7319/1643/25906/8065/65264/27339/7318/55120/63893/9616/9886/8453/4591/8454/9690/6502/23759/7337/51619/8697/331/83737/1642/9039/29882/7317/9820/9040/92912/10273/55585/10054/118424/8450/7316/7329/64682/8881/9320/1161/55070/7326/246184/7328/11059/27338/57448/51343/7325/997/8924/64750/23221/22954/9063/10277/9817/8452/4734/868/7327/7189/8925/51366/4214/10401/672/22888/867/23327/26259/7323/9354/64326/54926/330/51465/6500/84447/10075/26232/90293/55294/55284/378884/57154/6477/4193/991/8554/11060/51588/389898/326/79444/6923/11065/7321/7320/5071/8916/25847",132
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","389/6202","483/9397",0.805383022774327,1.22028124234285,6.92495126579308,3.44508856790935e-13,1.99240955510757e-11,7.91765969116008e-12,"6391/4724/4710/55255/4711/7419/4701/4718/1767/5707/1350/506/539/7314/4722/7311/509/7417/5690/498/518/10452/1020/515/4720/5532/3028/1349/7385/10376/1499/517/5693/11315/55967/4704/7332/5701/6233/5704/5604/3265/5709/84516/4697/1345/4725/5705/7388/4715/4287/4706/54205/7494/5686/778/7381/292/440567/4698/4702/5715/4705/7416/7482/7979/10213/5706/23435/7415/5534/4294/5714/203068/10540/4719/6647/815/7386/4893/1347/1856/6622/10476/55860/4696/10120/7318/5481/4723/5702/4700/581/4708/2904/8321/84790/5719/79139/4731/4744/5718/83544/1616/51079/6389/516/801/30849/53349/9896/578/55669/1454/5605/1537/1457/54539/5694/5600/55081/5717/840/1965/1327/5695/5708/3799/1340/598/9217/9706/4726/10280/824/836/808/7317/351/4707/5684/5601/4714/5685/5682/2521/1742/1639/9167/64837/10121/118424/7316/9973/5289/514/22863/10133/10126/468/2932/3831/55626/7384/89953/5692/10131/1133/9377/2906/9776/26100/9451/4717/817/522/1536/1855/4842/7326/2882/5599/5533/2475/3845/5879/1460/64446/5609/317/5689/5621/5594/4728/369/5331/8678/3708/3064/9861/5713/1459/5579/80208/7186/126328/8312/177/91860/27429/291/11273/4694/4217/8313/23236/823/3800/81027/6311/488/7480/7327/5700/163688/5664/143471/6392/2776/55102/7479/55062/116442/7280/6261/1452/6310/81029/51807/775/60673/489/54361/57679/4790/3309/2911/11258/89832/140775/51384/7976/487/293/6804/324/673/2891/6263/5687/4040/3569/5970/10671/2903/5683/7476/342371/51465/5688/25978/5578/25981/8323/80326/596/1770/2535/5335/22926/841/10023/51164/3798/3709/5710/4709/5330/7222/4716/1857/779/3552/2905/23401/84617/7471/2876/356/847/1346/113457/8322/201625/4741/2081/27035/7855/5595/1768/3710/374291/818/84557/9821/84134/5743/5868/10382/10297/2890/10383/4747/11047/5603/29110/8324/5608/6712/10010/3092/90550/1337/2877/81631/10105/283106/513/8701/6390/65018/7484/5861/5530/7481/4218/4137/1329/27089/2878/637/7802/146754/8325/842/7472/7477/4695/7133/7474/627/196385/6300/5663/55567/5413/29982/8851/120892/816/112714/5894/2915/5173/50507/1432/441925/5602/1128/5071/347733/6531/4713/7124/100506742/805/7277/3553/83447",389
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","131/6202","144/9397",0.909722222222222,1.37837144827833,6.37470770320813,1.76636643230643e-12,8.75613074300472e-11,3.47960906213747e-11,"7419/5707/115209/7417/5690/116444/25814/5693/4976/5701/5704/5709/5705/4287/54205/7494/5686/292/5296/5715/7416/7979/10213/5706/5714/23369/6908/9698/5702/2904/5719/5718/9519/30849/116443/5694/5717/10528/5695/5708/208/9706/5684/5601/5685/5682/8503/5290/5289/22863/55626/5692/2906/9776/26100/5599/2475/5689/5331/8678/3708/9861/10939/5713/5579/7186/5293/10524/291/11273/4217/23236/5291/6311/488/56652/5700/143471/2776/55102/55062/4800/6261/6310/60673/6667/489/2911/487/293/2891/2959/5687/10000/2903/6511/5683/342371/5688/5578/207/5295/3709/3752/5710/5649/5330/7222/7436/6315/3748/2905/11317/2081/23152/3710/9821/2890/11047/6712/2259/6095/90550/3516/10105/1600/29982/5173/441925/5602/83447",131
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","113/6202","122/9397",0.926229508196721,1.40338256828839,6.24801461429088,2.74927841187585e-12,1.18808127149311e-10,4.72133009451227e-11,"7006/5532/5516/5519/5604/3265/5296/4690/5781/5534/28227/4893/6885/55844/5170/5529/5520/1019/3551/8440/5605/6654/5600/5528/8517/208/4793/10892/5601/8503/5290/2932/27040/5526/1147/5525/1739/5599/5533/3845/5518/5609/5515/5594/10298/5293/9020/5588/5527/5291/926/9402/868/7410/917/5062/4772/3458/925/56924/4790/10451/5788/940/920/915/5058/10000/5970/5523/4773/959/4775/3932/29851/207/5295/5335/2534/7535/10125/927/1493/5133/84433/3937/7409/919/3702/3565/5595/2885/387/5603/4794/5521/916/3725/998/5530/5777/8915/5063/55012/57144/5522/6655/6300/1326/5894/1432/5602/7124",113
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","141/6202","157/9397",0.898089171974522,1.3607455577305,6.35062964246563,3.0814788021435e-12,1.18808127149311e-10,4.72133009451227e-11,"11200/7419/7417/5928/5532/5501/5883/1017/5925/5604/3265/91750/898/8945/23291/5810/292/5296/1874/7416/286826/5534/4893/545/144715/5481/1030/6009/2308/9134/4087/7046/7157/801/1019/3364/5605/6237/5600/208/5933/824/55957/808/1875/54822/8503/5290/10111/4609/7043/5934/472/5533/2475/3845/894/22800/1869/4361/5594/595/132660/3708/4088/7249/1870/5293/91860/291/10758/23411/823/1871/5291/7248/22808/1021/1029/204851/7048/9261/163688/5499/3486/10114/28996/59341/4772/83593/4790/891/85417/293/1111/10000/3569/5970/4773/4775/2113/3106/207/5295/2305/1978/890/3709/7040/3105/3133/3552/5054/9133/896/3805/5595/3710/4193/4605/1647/3134/5603/5608/678/983/90550/993/7042/2626/5530/3135/6300/1026/5894/1432/5500/5728/805/3576/83447",141
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","318/6202","391/9397",0.813299232736573,1.23227553854008,6.53623768861363,5.44882314772423e-12,1.89074163226031e-10,7.51364034054604e-11,"6391/4724/4710/4711/7419/4701/4718/5707/1350/506/539/4722/509/7417/5690/498/518/201266/51107/1020/515/4720/5532/3028/1349/7385/10376/1499/517/5693/55967/4704/5701/5704/5604/3265/5709/4697/1345/4725/5705/7388/55334/4715/4706/54205/7494/5686/778/7381/292/5296/440567/4698/4702/5715/4705/7416/7482/7979/10213/5706/5534/5714/203068/4719/23516/7386/4893/1347/1856/6622/10476/4696/5481/4723/5702/4700/4708/3416/2904/8321/84790/5719/4731/5718/51079/6389/516/7922/801/30849/3551/1454/5605/1537/1457/54539/5694/5717/840/1965/25800/1327/102/5695/5708/3799/8517/1340/208/9706/4726/824/836/808/351/4707/5684/5601/4714/5685/5682/8503/8883/5290/9167/64837/5289/514/22863/468/57142/2932/3831/55626/7384/89953/5692/1133/9377/2906/3667/9776/26100/1147/9451/91252/4717/522/1536/1855/4842/5599/5533/2475/3845/1460/5609/317/5689/5594/4728/57181/369/5331/8678/3708/9861/5713/1459/7186/126328/8312/5293/4891/177/91860/291/4694/4217/64116/8313/23236/823/23385/322/5291/29985/3800/3643/81027/488/7480/5700/163688/5664/143471/6392/283375/2776/55102/7479/55062/7280/1452/81029/51807/775/60673/489/54361/23621/4790/27173/89832/51384/7976/487/293/324/348/673/83464/6263/5687/4040/10000/3569/5970/2903/5683/7476/5688/8323/207/2597/80326/5295/2535/22926/841/10023/3798/3709/5710/4709/5330/4716/1857/779/3552/2905/23401/84617/7471/8471/1346/113457/8322/2081/27035/7855/5595/3710/374291/9821/5743/10382/5610/10297/10383/11047/8324/4035/90550/1337/25825/10105/283106/513/6390/7484/5530/7481/4137/1329/27089/637/6868/4023/8325/842/7472/29986/7477/4695/7474/221074/5663/55630/29982/8851/112714/5894/2915/50507/441925/5602/1128/347733/4713/7124/100506742/805/7277/3553/83447",318
