"Pathway","Adjusted_Pvalue","Genes"
"small GTPase mediated signal transduction",4.9872610748931e-12,"ABR/ARAP1/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP30/ARHGAP33/ARHGAP4/ARHGAP9/ARHGDIB/ARHGEF1/ARHGEF11/ARHGEF18/ARHGEF40/ARRB1/CBL/CCDC125/CCNA2/CDC42/CDC42SE1/CRK/CUL3/CYTH1/CYTH2/CYTH4/DBNL/DEF6/DENND4A/DOCK11/DOCK2/DOCK4/DOCK5/DOCK7/DOCK8/ELMO1/F11R/F2RL2/FAM13B/FBXO8/FGD3/FOXM1/GARRE1/GIT2/GMIP/GNA13/GNB1/GPR65/GRB2/IQSEC1/ITPKB/KCTD13/KPNB1/KRAS/LIPA/LPAR2/MAP4K4/MYO9B/NF1/NOTCH1/NOTCH2/P2RY10/PIK3CG/PLD2/PLEKHG3/PLEKHG6/PREX1/PSD4/RAB21/RAB35/RAB39B/RAC1/RAF1/RALBP1/RALGAPB/RAP1A/RAP1BL/RAPGEF1/RAPGEF2/RAPGEFL1/RASA3/RASGRP4/RGL2/RHOB/RHOQ/RIN2/RIPOR1/SDCBP/SH2B2/SH2D3C/SIPA1/SIPA1L1/SOS2/SQSTM1/SRGAP2/STAMBP/TIAM2/TNK2/TSC2/VAV1/WAS/WASF2"
"regulation of small GTPase mediated signal transduction",1.65703070852861e-10,"ABR/ARAP1/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP30/ARHGAP4/ARHGAP9/ARHGDIB/ARHGEF1/ARHGEF11/ARHGEF18/ARHGEF40/ARRB1/CBL/CCDC125/CDC42SE1/CRK/CUL3/CYTH1/CYTH2/CYTH4/DEF6/DENND4A/DOCK2/DOCK8/F11R/F2RL2/FAM13B/FBXO8/FGD3/FOXM1/GIT2/GMIP/GNA13/GPR65/IQSEC1/ITPKB/KCTD13/KRAS/LPAR2/MAP4K4/MYO9B/NF1/NOTCH1/NOTCH2/P2RY10/PIK3CG/PLEKHG3/PLEKHG6/PREX1/PSD4/RAC1/RAF1/RALBP1/RALGAPB/RASA3/RASGRP4/RGL2/SH2B2/SIPA1/SIPA1L1/SOS2/SQSTM1/SRGAP2/STAMBP/TIAM2/TSC2/VAV1"
"cellular component disassembly",1.72984643656874e-07,"ACIN1/ADAM10/ADAM15/ADAM8/APAF1/APC/ARID1A/ATG13/ATG2A/ATG7/ATXN7/BECN1/BNIP3L/C3/CAMKK2/CHMP1B/CHMP3/CLN3/CST3/CTSS/DCTN1/DEDD2/DHX8/DICER1/DYRK3/EIF2D/EXOC8/FBXL4/FIS1/FKBP8/FLII/FSCN1/FYCO1/GABARAPL1/GSK3B/HDGFL3/HSPA8/HUWE1/IQSEC1/KDM4A/LAMP2/LCP1/MAP1LC3A/MAP4K4/MARK2/MICAL2/MID1IP1/MMP8/NEDD9/NEK6/PBXIP1/PIK3C3/PIK3R4/PINK1/PLK1/PLXNC1/PPP1R9B/PRKCB/RETREG2/RNF41/RUBCNL/SCAF8/SETX/SMARCC1/SNAP29/SPAST/SPTB/SQSTM1/SREBF1/ST20/STING1/SVIL/TAOK1/TECPR1/TFIP11/TIGAR/TMOD2/TOP2A/TRIOBP/TSC2/TSG101/UBA5/UPF1/VAMP8/VMP1/WDR1/WDR47/WIPI2/WNK1"
"peptidyl-serine phosphorylation",1.72984643656874e-07,"AKT1/AKT2/ANGPT1/APP/ARAF/BRAF/CAMK1D/CDC7/CSNK1D/CSNK1G2/DOCK7/DYRK1A/DYRK3/ERN1/GRK2/GSK3B/HCLS1/HGF/HIPK3/HSP90AB1/IKBKB/INPP5K/LRRK2/MAP3K13/MAPK1/MAPK8/MAPKAPK3/MARK2/MAST3/MKNK2/NEK6/NEK7/NSD1/PAK1/PAK2/PINK1/PKN2/PLK1/PPM1F/PRKACA/PRKCB/PRKD2/PRKDC/RAF1/RAMP3/RASSF2/RICTOR/RIPK1/RPS6KA1/RPS6KA5/SGK1/SH2D3C/SMAD7/SRPK2/STK38/STK38L/STK4/TAF1/TGFBR2/TLK2/VRK3/WNK1"
"myeloid cell differentiation",1.72984643656874e-07,"ABI1/ACIN1/ACTN1/ADAR/AP3B1/APP/ARID4A/BRD1/CASP8/CASP9/CBFA2T3/CD4/CDC42/CREB1/CSF1R/DYRK3/EP300/FECH/FLI1/FLNA/FLVCR1/FSTL3/GAB2/GP9/GPR68/H4C3/H4C9/HCLS1/INPP5D/ITPKB/KAT6A/KAT8/KCNQ1/KMT2E/LDB1/LILRB3/LIPA/LRRK1/LYN/MAEA/MEF2C/MPIG6B/MYD88/NBEAL2/NCOA6/NEDD9/NF1/NOTCH2/NR3C1/PIK3CD/PRKDC/PSEN1/PTBP3/PTK2B/PTPN6/RASGRP4/RASSF2/RCOR1/RIPK1/RNF41/SFXN1/SH2B3/SIRT1/SNRK/SP3/SPI1/STAT3/STAT5A/STAT5B/TET2/TFE3/TGFBR2/THOC5/TIRAP/TNFAIP6/TSPAN2/TUBB1/UBA5/WASF2/WDR1"
"regulation of autophagy",1.72984643656874e-07,"AKT1/ATF6/ATG13/ATG2A/ATP6V0A1/ATP6V0D1/ATP6V1A/ATP6V1G2/BECN1/BMF/BNIP3L/C9orf72/CAMKK2/CCNY/CISD1/CLN3/DAP/DAPK1/DAPK2/DHRSX/EIF4G2/ELAPOR1/EP300/ERN1/EXOC8/FEZ2/FKBP8/FYCO1/GSK3B/HGF/HMOX1/HSPB1/IKBKG/KAT8/KDM4A/KLHL22/LRRK2/MAPK8/MEFV/MTM1/PIK3C3/PIK3R4/PINK1/PRKACA/PSAP/RAB39B/RNF31/RNF41/SESN3/SETD2/SIRT1/SNRNP70/SNX6/SQSTM1/SREBF1/STAT3/STING1/STK38L/TAB2/TAB3/TBC1D14/TECPR1/TFEB/TIGAR/TLK2/TP53INP1/TPCN2/TRIM8/TSC2/WNK1"
"peptidyl-serine modification",2.56445193704375e-07,"AKT1/AKT2/ANGPT1/APP/ARAF/BRAF/CAMK1D/CDC7/CSNK1D/CSNK1G2/DOCK7/DYRK1A/DYRK3/ERN1/GALNT1/GRK2/GSK3B/HCLS1/HGF/HIPK3/HSP90AB1/IKBKB/INPP5K/LRRK2/MAP3K13/MAPK1/MAPK8/MAPKAPK3/MARK2/MAST3/MKNK2/NEK6/NEK7/NSD1/PAK1/PAK2/PINK1/PKN2/PLK1/PPM1F/PRKACA/PRKCB/PRKD2/PRKDC/RAF1/RAMP3/RASSF2/RICTOR/RIPK1/RPS6KA1/RPS6KA5/SGK1/SH2D3C/SMAD7/SRPK2/STK38/STK38L/STK4/TAF1/TGFBR2/TLK2/VRK3/WNK1"
"Ras protein signal transduction",3.73201464642602e-07,"ARHGAP4/ARHGDIB/ARHGEF1/ARHGEF11/ARHGEF18/ARRB1/CBL/CCDC125/CCNA2/CDC42/CDC42SE1/CRK/CUL3/CYTH1/CYTH2/CYTH4/DBNL/DENND4A/DOCK5/ELMO1/F11R/F2RL2/FBXO8/FOXM1/GARRE1/GIT2/GNA13/GNB1/GPR65/GRB2/IQSEC1/ITPKB/KCTD13/KPNB1/KRAS/LPAR2/MAP4K4/MYO9B/NF1/NOTCH1/NOTCH2/P2RY10/PIK3CG/PSD4/RAB21/RAB35/RAB39B/RAC1/RAF1/RALBP1/RAP1A/RAP1BL/RAPGEF1/RAPGEF2/RAPGEFL1/RASA3/RASGRP4/RGL2/RHOB/RIPOR1/SDCBP/SH2B2/SOS2/SQSTM1/STAMBP/WAS/WASF2"
"macroautophagy",6.14999736469581e-07,"AKT1/ATG13/ATG16L2/ATG2A/ATG7/ATP6V0A1/ATP6V0D1/ATP6V1A/ATP6V1G2/BECN1/BNIP3L/C9orf72/CHMP1B/CHMP3/CLN3/ELAPOR1/ERN1/EXOC8/FEZ2/FYCO1/GABARAPL1/HGS/HMOX1/HUWE1/IFT88/IKBKG/LAMP2/LRRK2/MAP1LC3A/MAPK8/MTM1/MTMR14/NBR1/PIK3C3/PIK3R4/PINK1/PLEKHM1/PRKACA/PSEN1/RETREG2/RNF31/RNF41/RUBCNL/SESN3/SIRT1/SNAP29/SNX6/SQSTM1/STING1/TBC1D14/TECPR1/TIGAR/TP53INP1/TP53INP2/TSC2/TSG101/UBA5/VAMP8/VMP1/VPS37B/VPS37C/VPS39/VPS41/WIPI2/ZFYVE1"
"mitotic cell cycle phase transition",6.52945154541981e-07,"AKT1/ANLN/APC/APP/APPL2/ARID1A/BACH1/BID/BIRC5/BRD4/CACNB4/CCL2/CCNA1/CCNA2/CCNB1/CCNB2/CCNH/CCNI/CCNJL/CCNY/CDC23/CDC7/CDCA5/CDK17/CDKN1B/CDKN3/CENPF/CHFR/CKS1B/CRLF3/CTDSP2/CUL3/CUL4B/DDX3X/DPF2/DYNC1LI1/E2F2/FBXO5/FOXM1/FOXN3/FOXO4/GFI1/GPR132/HYAL1/INCENP/JADE1/KLHL22/KMT2E/KNL1/LSM10/MAD2L1/MECP2/NABP1/NACC2/NEK6/NOP53/PIAS1/PKMYT1/PLK1/PPM1D/PPP1R9B/PPP6C/PRKDC/PSME1/PSME3/PTPN6/RAD21/RCC2/RGCC/RRM1/RRM2/RRM2B/SDE2/SMARCC1/SPAST/SPC24/SPC25/TACC3/TAOK1/TAOK3/TPR/TRIM39/XPC"
