"Pathway","Adjusted_Pvalue","Genes"
"secretory granule membrane",1.45350263303281e-08,"ACP3/ADAM10/ADAM8/ADGRE3/ADGRE5/ANPEP/ATP11A/ATP6V0A1/C5AR1/CD46/CD93/CLEC4C/CMTM6/CYB561/DYNC1LI1/ENPP4/EXOC3/GLIPR1/HMOX2/HVCN1/HYAL3/IGF2R/IQGAP1/IQGAP2/IRAG2/ITGAX/LAMP2/LILRB2/LILRB3/LPCAT1/MANBA/MGST1/MME/MOSPD2/NBEAL2/NCSTN/NFAM1/PECAM1/PLAUR/PRCP/PSAP/PSEN1/PTAFR/PTPRC/PTPRN2/RAB37/RAB3D/RAB5B/RAC1/RAP1A/SIGLEC9/SIRPA/SIRPB1/SLC44A2/SNAP23/SNAP29/SPARC/STING1/STK10/SYT2/TMBIM1/TMEM30A/TNFRSF1B/VAMP8/VPS13B"
"chromosome, centromeric region",1.45350263303281e-08,"AHCTF1/APC/BAZ1A/BIRC5/CCNB1/CDCA5/CENPF/CENPH/CENPM/CENPW/CHMP1B/CHMP3/CLIP1/CTCF/DCTN1/DNMT1/DNMT3A/DYNC1LI1/FMR1/GTF2B/H3-3A/H4C3/H4C9/HJURP/INCENP/KANSL1/KAT8/KDM4A/KMT5B/KNL1/LRWD1/MAD2L1/MIS18A/NDE1/NDEL1/NSL1/NUP98/PDS5B/PHF2/PLK1/PPP1R12A/PSEN1/RAD21/RASSF2/RCC2/SEC13/SKA2/SMARCC1/SPAG5/SPC24/SPC25/STAG2/TOP2A/TPR/TRAPPC12/WAPL/ZNF276"
"ruffle",6.53875096012806e-08,"ACAP2/ACTN1/ADGRE2/AKT2/APC/APPL2/ARAP3/BAIAP2/CDKL5/CLIP1/CORO1C/DBNL/FGD3/FSCN1/INPP5K/IQGAP1/ITGA5/LCP1/MEFV/MKLN1/MTM1/MTMR14/MYO5A/MYO9B/NHERF1/PACSIN2/PAK1/PALLD/PDLIM7/PIP5K1A/PIP5K1C/PLCG2/PLEKHO1/PPP1R9B/PSD4/RAB22A/RAC1/RASA1/SH2B2/SH2D3C/TIRAP/TLN1/WASF2/WIPF1"
"chromosomal region",6.53875096012806e-08,"AHCTF1/APC/BAZ1A/BIRC5/CCNB1/CDCA5/CENPF/CENPH/CENPM/CENPW/CHMP1B/CHMP3/CLIP1/CTCF/DCTN1/DNMT1/DNMT3A/DYNC1LI1/ERCC1/EZH1/FMR1/GATAD2B/GTF2B/H3-3A/H4C3/H4C9/HJURP/INCENP/KANSL1/KAT8/KDM4A/KMT5B/KNL1/LRWD1/MAD2L1/MEN1/MIS18A/NABP1/NDE1/NDEL1/NSL1/NSMCE4A/NUP98/PDS5B/PHF2/PLK1/PPP1R12A/PRKDC/PSEN1/RAD21/RAD51/RASSF2/RCC2/RECQL4/RIF1/SEC13/SETX/SKA2/SMARCC1/SMCHD1/SPAG5/SPC24/SPC25/STAG2/TEP1/TFIP11/THOC5/TOP2A/TPR/TRAPPC12/UPF1/WAPL/WDR82/ZNF276"
"autolysosome",1.86724118141847e-07,"CLN3/FTH1/FTL/LAMP2/LRRK2/MAP1LC3A/NCOA4/PIK3C3/PLEKHM1/SQSTM1"
"vacuolar membrane",1.97918750502438e-07,"ACP3/ANKFY1/ANPEP/AP1M2/AP2A1/AP3B1/AP3M1/AP5B1/ARRB1/ATG16L2/ATP11A/ATP11C/ATP6V0A1/ATP6V0D1/ATP6V1A/ATP6V1G2/CCZ1B/CHMP1B/CHMP3/CLCN4/CLCN5/CLN3/CMTM6/CYB561/ECE1/ELAPOR1/GABARAPL1/GDAP2/GLIPR1/GNB1/GNB4/GPR155/HPSE/HSPA8/IRAG2/LAMP2/LAMTOR4/LAPTM5/LITAF/LMBRD1/LPCAT1/LYN/MANBA/MAP1LC3A/MARCHF8/MGST1/NCSTN/NFAM1/PLEKHM1/PRCP/PSAP/PSEN1/RAB37/RAB3D/RUBCNL/SBF2/SEC13/SLC12A4/SLC15A3/SLC44A2/SLC49A4/SNAP29/SPAG9/STARD3/STARD3NL/STING1/STX7/TAB2/TASL/TECPR1/TFE3/TFEB/TM6SF1/TMBIM1/TMEM30A/TPCN2/TSC2/UBA1/VAMP8/VMP1/VPS13B/VPS39/VPS41"
"secondary lysosome",2.02689524501479e-07,"ADAM8/CLN3/FTH1/FTL/LAMP2/LRRK2/MAP1LC3A/NCF2/NCOA4/PIK3C3/PLEKHM1/SQSTM1"
"autophagosome",2.26515874355948e-07,"ATG16L2/BECN1/C9orf72/CHMP1B/CHMP3/CLN3/DAPK2/FTH1/FTL/FYCO1/GABARAPL1/HSPA8/LAMP2/LRRK2/MAP1LC3A/MEFV/NBR1/NCOA4/PIK3C3/PIK3R4/PLEKHM1/RUBCNL/SNAP29/SQSTM1/STING1/TBC1D14/TBC1D17/TECPR1/TP53INP1/TP53INP2/VMP1/ZFYVE1"
"early endosome",2.75176865959635e-07,"AKT2/ANKFY1/AP3B1/AP3M1/AP3S2/APP/APPL2/ARRDC3/ATP11A/ATP11C/ATP13A3/ATP6V0D1/ATP7A/BLTP3B/CD4/CHMP3/CLCN4/CLCN5/CLN3/CMTM6/CXCR4/DBNL/EPHB1/FKBP15/GPR107/HGS/HYAL3/IGF2R/INPP4A/KCNQ1/LITAF/MAPK1/MARCHF8/MGRN1/MME/MYO5A/NCSTN/NUMB/PACSIN2/PICALM/PLEKHA3/PPP1R21/PSEN1/PTP4A3/RAB21/RAB22A/RAB5B/RABGAP1L/RAP1A/RAPGEF1/RCC2/RCSD1/RHOB/SLC31A1/SNX13/SNX6/SORL1/STAMBP/STX6/STX7/TBC1D2B/TM9SF4/TMEM127/TMEM30A/TSG101/VAMP8/VPS13B/VPS41/VPS8/WASF2/WASHC4/WDFY2/WDFY4/WDR91/ZFYVE16"
"kinetochore",3.84684515115767e-07,"AHCTF1/APC/BIRC5/CCNB1/CENPF/CENPH/CENPM/CENPW/CHMP1B/CHMP3/CLIP1/DCTN1/DYNC1LI1/GTF2B/H3-3A/HJURP/INCENP/KANSL1/KAT8/KNL1/LRWD1/MAD2L1/NDE1/NDEL1/NSL1/NUP98/PHF2/PLK1/PPP1R12A/PSEN1/RASSF2/SEC13/SKA2/SMARCC1/SPAG5/SPC24/SPC25/TPR/TRAPPC12/ZNF276"
