"Pathway","Adjusted_Pvalue","Genes"
"protein serine/threonine kinase activity",6.46462179090591e-12,"AATK/AKT1/AKT2/ARAF/BMP2K/BRAF/BRD4/CAMK1D/CAMK2G/CAMKK1/CAMKK2/CASK/CDC7/CDK17/CDK19/CDKL5/CSNK1D/CSNK1G2/DAPK1/DAPK2/DYRK1A/DYRK3/ERN1/GRK2/GRK5/GSK3B/HIPK3/IKBKB/LRRK1/LRRK2/MAP2K3/MAP2K4/MAP3K1/MAP3K11/MAP3K13/MAP3K14/MAP3K2/MAP3K3/MAP3K5/MAP4K2/MAP4K4/MAPK1/MAPK8/MAPKAPK3/MARK2/MARK4/MAST3/MKNK2/NEK6/NEK7/NUAK2/OXSR1/PAK1/PAK2/PHKA2/PIK3CG/PIK3R4/PINK1/PKMYT1/PKN2/PLK1/PPM1D/PRKACA/PRKAG2/PRKCB/PRKD2/PRKDC/PSKH1/PTK2B/RAF1/RIPK1/RPS6KA1/RPS6KA5/SGK1/SIK3/SNRK/SQSTM1/SRPK2/STK10/STK38/STK38L/STK4/STK40/SYK/TAF1/TAOK1/TAOK3/TGFBR2/TLK2/TNK2/VRK3/WNK1"
"protein serine kinase activity",1.35882870642713e-11,"AATK/AKT1/AKT2/ARAF/BMP2K/BRAF/CAMK1D/CAMK2G/CAMKK1/CAMKK2/CASK/CDC7/CDK17/CDK19/CDKL5/CSNK1D/CSNK1G2/DAPK1/DAPK2/DYRK1A/DYRK3/ERN1/GSK3B/HIPK3/IKBKB/LRRK1/LRRK2/MAP2K3/MAP2K4/MAP3K1/MAP3K11/MAP3K13/MAP3K14/MAP3K2/MAP3K3/MAP3K5/MAP4K2/MAP4K4/MAPK1/MAPK8/MAPKAPK3/MARK2/MARK4/MAST3/MKNK2/NEK6/NEK7/NUAK2/OXSR1/PAK1/PAK2/PIK3CG/PIK3R4/PINK1/PKMYT1/PKN2/PLK1/PRKACA/PRKCB/PRKD2/PRKDC/PSKH1/RAF1/RIPK1/RPS6KA1/RPS6KA5/SGK1/SIK3/SNRK/SRPK2/STK10/STK38/STK38L/STK4/STK40/TAF1/TAOK1/TAOK3/TLK2/TNK2/WNK1"
"GTPase regulator activity",2.82958309371424e-10,"ABR/ACAP2/ADAP1/AGAP7P/ALDH1A1/ARAP1/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP30/ARHGAP33/ARHGAP4/ARHGAP9/ARHGDIB/ARHGEF1/ARHGEF11/ARHGEF18/ARHGEF40/ARHGEF6/ARRB1/C9orf72/CDC42SE1/CPEB2/CYTH1/CYTH2/CYTH4/DEF6/DENND4A/DENND5A/DOCK11/DOCK2/DOCK4/DOCK5/DOCK7/DOCK8/ELMO1/EVI5/FAM13B/FBXO8/FGD3/GAPVD1/GIT2/GMIP/GNA13/GPSM3/GRB2/IQGAP1/IQGAP2/IQSEC1/ITSN2/LAMTOR4/LRRK2/MCF2L2/MYO9B/NF1/PLEKHG3/PLEKHG6/PREX1/PSD4/RABGAP1/RABGAP1L/RALBP1/RALGAPB/RANBP1/RAP1A/RAPGEF1/RAPGEF2/RAPGEFL1/RASA1/RASA3/RASGRP4/RCBTB2/RCC2/RGL2/RGS2/RIN2/RPGR/SBF2/SH2D3C/SIPA1/SIPA1L1/SIRPA/SOS2/SRGAP2/TBC1D1/TBC1D14/TBC1D17/TBC1D22A/TBC1D2B/TBC1D30/TIAM2/TNK2/TSC2/VAV1/WAS"
"nucleoside-triphosphatase regulator activity",2.82958309371424e-10,"ABR/ACAP2/ADAP1/AGAP7P/ALDH1A1/ARAP1/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP30/ARHGAP33/ARHGAP4/ARHGAP9/ARHGDIB/ARHGEF1/ARHGEF11/ARHGEF18/ARHGEF40/ARHGEF6/ARRB1/C9orf72/CDC42SE1/CPEB2/CYTH1/CYTH2/CYTH4/DEF6/DENND4A/DENND5A/DOCK11/DOCK2/DOCK4/DOCK5/DOCK7/DOCK8/ELMO1/EVI5/FAM13B/FBXO8/FGD3/GAPVD1/GIT2/GMIP/GNA13/GPSM3/GRB2/IQGAP1/IQGAP2/IQSEC1/ITSN2/LAMTOR4/LRRK2/MCF2L2/MYO9B/NF1/PLEKHG3/PLEKHG6/PREX1/PSD4/RABGAP1/RABGAP1L/RALBP1/RALGAPB/RANBP1/RAP1A/RAPGEF1/RAPGEF2/RAPGEFL1/RASA1/RASA3/RASGRP4/RCBTB2/RCC2/RGL2/RGS2/RIN2/RPGR/SBF2/SH2D3C/SIPA1/SIPA1L1/SIRPA/SOS2/SRGAP2/TBC1D1/TBC1D14/TBC1D17/TBC1D22A/TBC1D2B/TBC1D30/TIAM2/TNK2/TSC2/VAV1/WAS"
"small GTPase binding",1.44381572803437e-09,"ANKFY1/AP3M1/ARHGDIB/ATP7A/BICD2/BIRC5/C9orf72/CDC42SE1/CDKL5/CORO1C/CYRIA/DAAM1/DENND5A/DMXL2/DOCK11/DOCK2/DOCK4/DOCK5/DOCK7/DVL3/EVI5/EXOC8/FGD3/FLNA/FMNL1/FMNL3/GAPVD1/GARRE1/GIT2/IQGAP1/IQGAP2/KCTD13/KPNB1/LRRK2/MAP3K11/MEGF9/MYO5A/MYO9B/NCF2/PAK1/PAK2/PICALM/PKN2/PLEKHG3/RAB11FIP1/RAB11FIP4/RABGAP1/RABGAP1L/RALBP1/RANBP1/RAP1A/RCC2/RIMS3/RIN2/RNF41/SORL1/SRGAP2/TBC1D30/TMEM127/TRIOBP/TSC2/UNC13D/WAS/XPO6"
"GTPase binding",2.62171669460444e-09,"ANKFY1/AP3M1/ARHGDIB/ATP7A/BECN1/BICD2/BIRC5/C9orf72/CDC42SE1/CDKL5/CORO1C/CYRIA/DAAM1/DENND5A/DMXL2/DOCK11/DOCK2/DOCK4/DOCK5/DOCK7/DVL3/EVI5/EXOC8/FGD3/FLNA/FMNL1/FMNL3/GAPVD1/GARRE1/GIT2/GNB1/IQGAP1/IQGAP2/KCTD13/KPNB1/LCP1/LRRK2/MAP3K11/MEGF9/MYO5A/MYO9B/NCF2/PAK1/PAK2/PICALM/PKN2/PLEKHG3/RAB11FIP1/RAB11FIP4/RABGAP1/RABGAP1L/RALBP1/RANBP1/RAP1A/RASA1/RCC2/RIMS3/RIN2/RNF41/SORL1/SRGAP2/TBC1D30/TMEM127/TRIOBP/TSC2/UNC13D/WAS/XPO6"
"histone modifying activity",2.77474346854148e-06,"ASH1L/BRD1/BRPF3/CARM1/CREBBP/DYRK1A/EHMT1/EP300/EYA3/EZH1/GTF2B/HDAC5/HUWE1/ING3/JADE1/JARID2/KAT6A/KAT8/KDM2A/KDM4A/KDM4B/KDM5C/KDM6B/KDM7A/KMT2C/KMT2D/KMT5B/METTL22/NCOA1/NCOA3/NSD1/PCGF5/PHF2/PRKCB/RIOX1/RIOX2/RPS6KA5/SETD1B/SETD2/SETDB1/SIRT1/SRCAP/TAF1/UBR2/VCPKMT"
"ubiquitin protein ligase binding",5.81354224977105e-06,"APC/ARRB1/BAG1/BECN1/BID/CACYBP/CAMLG/CASC3/CASP8/CDKN1B/CRK/CUL3/CUL4B/CXCR4/GABARAPL1/GPI/GSK3B/HAPSTR1/HSP90AB1/HSPA8/IKBKG/JAK1/KDM4A/LAPTM5/LYN/MAP1LC3A/NEK6/PDLIM2/PIAS1/PINK1/POLR2A/PRKACA/PRKAR1A/PRR5L/PSMA3/PTK2B/RFFL/RIPK1/RNF31/RNF40/SH3KBP1/SKI/SMAD2/SMAD7/SPOP/SPOPL/SQSTM1/STING1/TNFRSF14/TNFRSF1B/TNK2/TRAF3/TRIB2/TRIOBP/TSG101/UBC/UBE2D3/UBE2W/WBP1L"
"GTPase activator activity",5.81354224977105e-06,"ABR/ACAP2/ADAP1/AGAP7P/ALDH1A1/ARAP1/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP30/ARHGAP33/ARHGAP4/ARHGAP9/ARHGDIB/ARHGEF1/ARHGEF11/ARHGEF6/ARRB1/DOCK2/DOCK4/DOCK5/EVI5/FAM13B/GAPVD1/GIT2/GMIP/IQGAP1/IQGAP2/LRRK2/MYO9B/NF1/PLEKHG6/PREX1/RABGAP1/RABGAP1L/RALBP1/RALGAPB/RANBP1/RAPGEF2/RASA1/RASA3/RGS2/RIN2/SIPA1/SIPA1L1/SRGAP2/TBC1D1/TBC1D14/TBC1D17/TBC1D22A/TBC1D2B/TBC1D30/TIAM2/TSC2"
"guanyl-nucleotide exchange factor activity",7.15477079958133e-06,"ABR/ARHGEF1/ARHGEF11/ARHGEF18/ARHGEF40/ARHGEF6/C9orf72/CYTH1/CYTH2/CYTH4/DEF6/DENND4A/DENND5A/DOCK11/DOCK2/DOCK4/DOCK5/DOCK7/DOCK8/ELMO1/FBXO8/FGD3/GAPVD1/GNA13/IQSEC1/ITSN2/LAMTOR4/MCF2L2/PLEKHG3/PLEKHG6/PREX1/PSD4/RAP1A/RAPGEF1/RAPGEF2/RAPGEFL1/RASGRP4/RCBTB2/RCC2/RGL2/RIN2/RPGR/SBF2/SH2D3C/SOS2/TIAM2/VAV1"
