"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","hsa03010","Ribosome","127/4024","170/8773",1.12400107051699e-14,3.82160363975776e-12,3.33650844090306e-12,"64979/64981/63875/29074/79590/6176/51318/51373/65008/55052/6181/54460/2197/63931/6137/6183/6217/6234/6208/6134/51263/6223/51264/6157/29088/6206/6187/6144/6142/64928/6189/6193/6209/23521/6224/6228/6202/64965/6132/6233/51023/51021/6227/6169/6164/6194/6161/6232/6165/6188/6160/6143/28998/25873/51116/6128/64963/6210/6141/6235/6171/6168/6154/7311/6229/11224/65003/6167/6231/6129/6158/6136/6122/9045/64968/6155/9349/6201/6138/6207/6150/6170/6135/6222/51081/4736/6133/3921/51121/6159/6218/9801/6146/6125/6156/6166/6230/6130/140032/6152/9553/200916/51069/6191/6205/64983/6147/55168/11222/51065/6175/6203/6139/6124/124995/55173/51073/6182/29093/219927/6173/140801/10573/6192/64969/54948/65005",127
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","150/4024","232/8773",4.18006785481198e-09,7.10611535318037e-07,6.2041007108262e-07,"90993/125965/4718/5468/126328/4702/284184/29796/3265/29078/28958/148327/10975/1353/388753/51241/27089/788/4711/3991/23305/51287/4717/10476/5600/4706/54539/126129/285521/9377/1351/1337/86/7381/51103/6392/4708/498/1350/111/6194/539/5571/513/55967/1345/4716/112/4724/509/9551/4723/4707/4713/6604/1537/84987/522/4712/1352/1347/5346/64223/493753/71/1340/7386/25915/4725/1329/4696/91942/514/4731/516/1355/4695/5565/4710/10632/517/7384/518/4728/515/4729/4714/4722/506/6391/4697/656/65260/5564/27330/1327/6199/1375/10063/51703/57521/63976/6390/116228/521/84699/7385/2181/4705/1376/2180/196883/4720/6597/4878/60/7388/1374/4709/6598/4700/1432/53632/90639/4719/9586/6009/2641/5567/8110/51079/1349/4694/6603/10891/4701/4879/2475/6655/4726/137682/115/4698/5593/374291/6654/2778/23028/6389/7350",150
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","94/4024","134/8773",8.94769323531565e-09,1.01407190000244e-06,8.85350699073338e-07,"125965/4718/126328/4702/29796/10975/1353/90423/27089/155066/4711/4717/10476/4706/54539/9377/1351/1337/7381/6392/4708/498/51606/1350/539/513/55967/1345/4716/4724/509/9551/4723/4707/4713/1537/522/4712/1352/1347/534/1340/7386/5464/4725/1329/4696/514/4731/516/1355/245973/4695/4710/10632/9296/517/7384/27068/518/4728/515/4729/4714/4722/506/6391/4697/1327/10063/529/8992/6390/521/7385/51382/4705/4720/7388/23545/4709/4700/64077/4719/51079/1349/10312/4694/4701/4726/4698/54205/374291/6389",94
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","185/4024","306/8773",1.29971589415831e-07,1.10475851003457e-05,9.64526005664853e-06,"90993/6507/125965/5437/4718/5468/126328/4702/29796/64446/148327/10975/2882/5693/27089/10126/6647/4711/4717/7186/10476/9001/4706/54539/7157/5438/10120/5435/5441/9377/1351/1337/7381/5686/6392/5705/4708/498/1350/6506/539/513/55967/1345/6874/4716/4724/143471/5688/509/4723/1211/4294/4707/4713/64837/1537/522/4712/5433/1347/5436/1768/581/292/7419/1340/7386/5432/2033/7416/7052/5710/4725/27113/55860/1329/4696/514/4731/516/1175/4695/5440/4710/11258/3065/517/9519/7384/518/4728/291/515/293/4729/10213/4714/4722/506/5332/6391/4697/5714/2892/7979/5434/3066/30849/5601/2876/3800/11047/774/5707/5602/5430/1327/1212/4899/7417/5694/5689/8632/10382/83544/6390/1387/55567/5719/84699/7385/1173/4705/5715/6908/4720/7388/4709/5692/4700/163/5687/196385/5702/5704/4719/9586/51164/51079/5691/8218/5709/23130/2877/5701/1349/4694/6875/548644/60673/10891/4701/161/203068/10121/2475/9706/84617/4726/55626/4698/5690/3092/54205/5431/1769/374291/26100/5684/9776/842/6389/55081/7350",185
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","41/4024","53/8773",2.74263610552713e-06,0.000186499255175845,0.000162825975107084,"56052/1798/57171/54344/10195/746/57134/199857/29880/79053/4248/22845/7841/8818/58505/6480/6184/79868/85365/3703/1603/4245/29929/23193/11282/79087/11320/6185/7991/1650/79644/11253/79796/8703/201595/4122/8704/2530/144245/84061/84620",41
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","58/4024","83/8773",7.66725858121104e-06,0.000396164792255837,0.000345877620483424,"1891/8800/11264/10478/5191/10455/6647/4598/23305/5830/570/5264/3155/10654/2053/283927/84769/10901/5193/8443/23600/26061/8504/5824/26063/54677/5826/5194/8799/225/9409/5195/196743/5825/390916/5190/6342/5189/4358/83594/5827/5192/3295/847/1962/51703/373156/2181/2180/3418/10005/5052/8310/25961/30/4843/55670/1384",58
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","97/4024","153/8773",8.1563339582084e-06,0.000396164792255837,0.000345877620483424,"102157402/8630/79001/1728/51805/1371/54995/203/84274/9054/11019/219/326625/158067/4351/4338/7372/4832/26289/154807/195814/587/51601/7358/79717/50808/80308/23475/5498/2937/6470/224/29926/790/55163/10243/6472/27430/1352/133686/124454/349565/29968/29922/200895/1355/387787/29925/51109/9249/125061/212/53354/1723/7390/2058/6697/158/10327/4830/122622/7360/5373/129607/80347/4831/51004/79799/112724/25902/5372/51727/7389/55312/10201/2990/205/4833/210/56474/23057/2235/93100/2729/54490/2677/204/122481/217/554235/2356/159/4522/493911/4337/249/3620",97
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","156/4024","266/8773",1.46602482460825e-05,0.000623060550458505,0.000543972369130955,"4128/125965/4718/126328/4702/29796/9817/10975/5693/27089/6647/4711/4129/4717/10476/4706/54539/7157/9377/1616/1351/1337/23516/7381/5686/6392/5705/4708/498/6233/135/1350/111/539/513/11315/55967/1965/1345/4716/4724/7311/143471/5688/509/4723/4707/4713/64837/1537/522/4712/7494/29986/1347/805/581/292/7419/1340/801/7386/283375/163688/7416/5710/4725/1329/4696/514/5071/4731/516/4695/4710/118424/517/7384/518/4137/4728/291/515/91252/293/4729/10213/4714/4722/506/6391/4697/25828/5714/7979/5335/5601/3800/11047/5707/5602/27429/1327/10131/7417/55630/5694/5689/10382/6390/5719/7385/2774/7314/4705/5715/4720/7388/4709/5692/29985/4700/6571/5687/5702/7327/5704/4719/5567/120892/57181/9627/51079/5691/5709/5701/1349/4694/2770/4701/203068/84617/4726/51465/4698/9927/5690/201266/54205/374291/7318/2778/5684/842/7317/6389",156
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","75/4024","115/8773",2.03215850157519e-05,0.000767704322817293,0.000670255786484448,"2747/80201/84693/2805/35/2653/4329/132158/2027/2806/84532/2098/6392/5723/4594/6470/4191/275/2271/5162/729020/5096/1892/6472/1737/283871/2026/4190/128/5631/229/25796/29968/8801/5211/26275/38/5213/6120/230/2645/8803/441531/26007/6391/5214/847/7167/5223/39/5634/5091/6390/387712/22934/8802/84076/3418/2746/4199/2203/4967/8310/6888/10873/3420/5160/414328/5226/48/5095/2875/8277/7086/6389",75
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","33/4024","43/8773",3.53893222762979e-05,0.00115670098621726,0.00100987516443736,"1632/10455/2639/35/219/23305/10449/126129/223/224/1892/128/113612/3033/34/38/36/1962/3030/39/1375/51703/2181/1376/2180/1374/8310/37/501/33/3032/30/217",33
