"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","161/4249","235/9397",0.685106382978723,1.5151670230292,7.26578333330791,2.54194635071911e-13,8.8205538369953e-11,6.36824454180155e-11,"90993/125965/4718/10975/5468/126328/27089/284184/29796/28958/388753/4702/29078/4711/788/10476/4717/51241/3991/3265/54539/9377/1353/6392/1337/148327/4706/51103/23305/539/513/4707/126129/4716/7381/111/51287/1351/498/1350/71/4695/1347/514/7386/509/1537/1340/9551/4723/55967/522/285521/84987/6194/5600/7384/1345/4713/493753/4710/25915/10632/86/4708/4712/506/1355/6391/4724/4696/4728/5346/517/518/515/64223/4725/4697/4722/6390/112/1327/516/6199/1329/5564/4731/4714/27330/521/4720/1352/4709/10063/60/4700/1376/7385/6604/51703/5571/1349/5565/4705/6598/4729/91942/90639/5567/84699/4694/4878/656/57521/4719/1374/7388/6597/1375/65260/6009/116228/6603/8110/63976/4726/53632/137682/4698/7249/374291/5593/2778/6654/2475/2180/4701/51079/2641/51548/55471/1385/6389/10891/1432/6198/4704/115/1386/4715/2181/7350/9167/4879/353500/10488/23028/7248/6196/9586",161
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","201/4249","311/9397",0.646302250803859,1.42934861162717,6.99518962212297,1.97624102095889e-12,3.42877817136368e-10,2.4755019104643e-10,"90993/6507/125965/4718/10975/5468/126328/27089/29796/10126/4702/4711/64446/5437/10476/5693/4717/5435/2882/54539/9377/6392/1337/148327/4706/6647/5686/7186/1211/539/513/4707/10120/5688/7157/4716/7381/5441/1351/498/1350/5705/9001/5432/4695/5438/1347/55860/514/7386/11258/509/5710/1537/1340/4723/292/55967/522/6506/27113/7384/1345/4713/9519/4710/7419/1175/143471/5436/4708/581/4712/6874/1768/506/6391/4724/4696/5434/30849/5433/4728/3065/517/518/515/5689/4725/4697/4722/6390/5440/5714/1327/1212/293/516/64837/5719/4899/1329/11047/7417/5694/3066/4731/291/4714/7416/4294/4720/4709/2876/5692/7052/4700/1173/3800/7385/5707/5715/1349/2892/10213/4705/4729/5601/5704/163/26100/7979/5332/55567/83544/10121/6908/774/10382/84699/4694/4719/5691/9776/842/7388/5702/203068/55626/5684/4726/8632/5709/5602/4698/10540/5690/60673/5701/2033/5289/5431/374291/2475/5599/4701/5682/51079/6875/55081/260334/9706/54205/161/5695/1769/1385/6389/196385/10891/10376/7802/4704/23130/89953/5330/4715/84516/3798/8218/7350/9167/10488/5687/836/160/5706/2893/9586/8678/7019",201
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","101/4249","138/9397",0.731884057971015,1.61861955583752,6.65084377295744,1.79127108332703e-11,2.07190355304826e-09,1.49586848362047e-09,"125965/4718/10975/126328/27089/29796/4702/4711/10476/4717/51606/54539/9377/1353/6392/1337/4706/155066/539/513/4707/4716/7381/1351/498/1350/4695/90423/1347/514/7386/509/1537/1340/9551/4723/55967/522/7384/1345/4713/4710/27068/10632/4708/4712/506/1355/6391/4724/4696/4728/5464/9296/534/517/518/515/4725/4697/4722/6390/245973/1327/516/529/1329/51382/4731/8992/4714/521/4720/1352/4709/10063/4700/7385/1349/4705/4729/64077/4694/4719/7388/23545/10312/4726/4698/374291/4701/51079/54205/6389/526/4704/523/4715/9167/9550/9114",101
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","227/4249","371/9397",0.611859838274933,1.35317648864899,6.30560373981132,2.14997947792093e-10,1.82605639865648e-08,1.31837228236082e-08,"125965/4718/10975/126328/27089/29796/400916/10126/4702/4711/64446/10476/5693/4717/56000/2882/54539/9377/6392/1337/348995/1616/10280/4706/6647/5686/7186/9973/539/513/4707/10120/5688/7157/4716/7381/1351/498/1350/71/5705/9001/4695/1347/55860/514/7386/11258/509/5710/1537/1340/4723/55967/522/79023/5600/6506/7384/1345/4713/129401/4710/143471/5216/4708/581/4712/55706/1768/23636/4747/506/6391/4724/4696/30849/5071/9217/4728/283/517/518/515/5689/1965/79902/4725/4697/4722/6390/10452/7494/100506742/847/5714/1327/57122/6432/56893/516/64837/55746/5719/1329/11047/5694/4731/4714/7416/4720/4709/2876/5692/60/4700/3800/7385/5707/145957/5715/5879/1349/10213/9688/4741/4705/6428/5532/4729/5704/26100/7979/55567/83544/10121/23279/116442/10382/29978/91181/4694/8021/4719/5691/9776/842/7388/5533/5702/10133/203068/55626/23165/5684/4726/8632/5709/23225/4698/23511/10540/643246/5690/5217/10013/60673/4218/5534/5701/5289/10189/7132/374291/6396/311/5608/2475/7133/4927/4701/5682/596/51079/4744/260334/9706/54205/2733/5695/468/440738/1769/6389/4843/196385/10376/7802/1432/4704/23130/55255/29107/3309/2903/89953/23435/3181/4715/10482/84516/3798/7415/9167/5687/836/5706/637/10762/375189/8480/4686/3178/7124/8678/9542/55916",227
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","108/4249","154/9397",0.701298701298701,1.55097761734617,6.26301484388728,2.63120518538398e-10,1.82605639865648e-08,1.31837228236082e-08,"8630/79001/102157402/1728/54995/51805/84274/9054/79717/4832/158067/11019/203/326625/219/26289/1371/195814/51601/27430/7358/587/4351/7372/5498/4338/80308/23475/6470/154807/2937/50808/51117/6472/29926/1355/790/55163/29922/224/80347/200895/387787/29968/5372/5373/7360/10243/29925/349565/4830/9249/10201/6697/133686/124454/122622/212/1352/158/53354/112724/2990/7389/51109/10327/125061/2058/7390/25902/1723/4831/210/4833/55312/51727/51004/129607/79799/93100/204/159/2235/2677/27235/217/205/56474/2356/80025/23057/54490/10229/4522/64802/122481/493911/2729/8564/3145/554235/55191/1738/249/10720/3620/1503/221264",108
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","172/4249","271/9397",0.634686346863469,1.40365912014027,6.12568672839408,6.77191219440553e-10,3.9164225524312e-08,2.82757035485705e-08,"4128/125965/4718/10975/9817/126328/27089/29796/4702/4711/10476/5693/4717/54539/9377/6392/1337/1616/4706/6647/5686/539/7311/513/4707/6233/5688/7157/11315/4716/4129/7381/111/1351/498/1350/5705/4695/1347/514/7386/509/5710/1537/1340/4723/292/55967/805/522/801/7384/1345/4713/4710/118424/23516/7419/143471/4708/581/4712/91252/506/6391/4724/4696/5071/29986/283375/4728/4137/517/518/515/5689/135/1965/4725/4697/4722/6390/25828/7494/163688/5714/1327/293/516/64837/27429/5719/1329/11047/7417/5694/4731/291/4714/7416/4720/4709/5692/4700/3800/7385/5707/5715/29985/1349/10213/55630/4705/7317/4729/5601/5704/7979/2774/5567/10382/4694/5335/4719/7314/5691/2770/842/10131/7388/5702/203068/5684/4726/5709/5602/201266/4698/7318/57181/5690/5701/7327/374291/2778/55334/9627/5599/4701/5682/51079/260334/54205/1843/5695/55669/468/6389/10376/4704/3309/89953/4715/808/3798/9167/7922/5687/836/5706/25800/7326",172
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","233/4249","391/9397",0.595907928388747,1.31789757662251,5.8331779454002,3.98202558650371e-09,1.9739469693097e-07,1.42514599938028e-07,"125965/4718/10975/27035/126328/27089/29796/4702/4711/10476/5693/4717/80326/3265/54539/9377/6392/1337/4706/5686/7186/7476/7474/539/513/4707/5688/3552/4716/7381/1855/1351/10023/498/1350/5705/4695/1347/514/7386/509/5710/1537/7480/1340/5605/4723/292/55967/805/522/801/7471/1856/7384/1345/4713/4710/23516/7419/143471/4708/4712/7473/91252/8503/506/6391/4724/4696/30849/51384/29986/283375/4728/4137/3028/27123/8325/517/518/515/5689/1020/1965/4725/4697/4722/6390/3551/322/7494/100506742/2535/163688/5714/1327/55851/293/516/5610/64837/51107/89832/5719/1329/11047/10297/7417/5694/4731/291/4714/7416/23401/4720/4709/5692/775/4700/27121/489/3800/7385/8312/5707/5715/29985/8313/1349/10213/55630/4705/5604/3667/25825/7475/5532/4729/5601/5704/26100/7979/8323/5332/10382/4694/7483/1454/4719/5691/9776/842/8883/7388/5533/5702/1133/3416/203068/5743/7855/55626/778/5684/4726/283106/83464/5709/5602/201266/7482/4698/8660/4041/81029/57181/8324/8321/5690/177/60673/5534/5594/5701/5289/7132/374291/5481/2475/55334/23621/5599/4701/5682/208/51079/22943/5664/260334/9706/54205/5695/468/1457/6389/4843/10376/4704/23130/2903/89953/5330/4715/808/3798/9167/7922/824/5687/1131/836/5706/10000/637/1139/25800/5296/7124/8678/102/122011/6868",233
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","41/4249","48/9397",0.854166666666667,1.88905722915196,5.61000640309716,8.57400694251802e-09,3.71897551131719e-07,2.68501796357801e-07,"35/84693/223/4329/219/3155/10449/594/4594/587/1892/5096/26275/11112/3028/224/316/3712/3033/39/38/3030/34/1962/36/3032/30/65985/56922/64087/1629/501/5019/217/5095/593/197322/18/1738/27034/64064",41
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","106/4249","157/9397",0.67515923566879,1.49316811898791,5.66114703486743,1.11614806779646e-08,4.30337088361524e-07,3.10693848111763e-07,"125965/4718/10975/5468/126328/27089/29796/4702/4711/4717/54539/9377/6392/1337/4706/7186/4707/3552/4716/7381/1351/1571/1350/4695/1347/7386/1537/1340/4723/55967/5600/7384/1345/4713/4710/4708/581/4712/8503/6391/4724/4696/51085/4728/1965/4725/4697/4722/6390/356/3551/7494/1327/1329/5564/4731/6256/4714/4720/4709/4700/2353/7385/10062/5571/5879/1349/5565/4705/3667/4729/5601/4694/4719/7388/3952/4726/53632/2931/5602/4698/8660/7132/374291/83737/5465/5599/4701/208/51079/54205/468/6389/1432/79602/4704/4715/1050/9167/6945/3570/836/10000/637/5296/7124",106
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","275/4249","483/9397",0.56935817805383,1.25918070114659,5.31294734027062,7.5086553659674e-08,2.60550341199069e-06,1.88111576536868e-06,"125965/4718/10975/27035/126328/27089/29796/10126/4702/4711/64446/10476/5693/4717/80326/3265/2882/54539/9377/6392/1337/1616/10280/4706/6647/5686/7186/9973/7476/7474/539/7311/513/4707/10120/6233/5688/11315/3552/4716/7381/1855/1351/10023/498/1350/5705/9001/4695/1347/55860/514/7386/11258/509/5710/1537/7480/1340/5605/4723/292/55967/805/522/801/5600/7471/1856/7384/1345/4713/4710/118424/7419/143471/4708/581/4712/6261/7473/1768/4747/506/6391/4724/4696/30849/5071/51384/9217/4728/4137/3028/27123/8325/517/518/515/5689/1020/1965/4725/4697/4722/6390/356/10452/7494/100506742/2535/847/163688/5714/1327/293/516/64837/27429/89832/5719/1329/11047/10297/7417/5694/4731/291/4714/7416/4294/23401/4720/4709/2876/5692/775/4700/27121/489/3800/7222/7385/8312/5707/5715/5879/8313/1349/2892/10213/4741/4705/5604/7475/5532/7317/4729/5601/5704/26100/7979/8323/5332/55567/83544/10121/116442/774/10382/4694/7483/1454/5335/4719/7314/5691/9776/842/10131/7388/5533/5702/10133/5173/1133/203068/5743/7855/55626/778/5684/4726/283106/8632/5709/5602/53349/7482/4698/7318/10540/643246/4041/81029/8324/8321/5690/177/60673/4218/5534/5594/5701/7327/5289/7132/374291/5481/5608/2475/7133/9627/5599/4701/5682/596/51079/22943/4744/5664/55081/260334/9706/54205/5582/5695/55669/468/440738/1769/1457/6389/4843/196385/10376/7802/1432/4704/23130/55255/3309/2903/89953/5330/23435/5578/4715/808/84516/3798/7415/9167/824/5687/1131/836/5706/637/1139/7326/2893/7124/8678/122011",275
