"Pathway","Adjusted_Pvalue","Genes"
"mitochondrial gene expression",1.15263242384283e-26,"AARS2/ALKBH1/AURKAIP1/C1QBP/CDK5RAP1/CHCHD1/CHCHD10/COA3/DAP3/DARS2/EARS2/ELAC2/FASTK/FASTKD1/FASTKD2/FASTKD3/FOXO3/GADD45GIP1/GATB/GATC/GFM1/GFM2/HARS1/HSD17B10/IARS2/LRPPRC/MALSU1/METTL4/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF1/MTERF2/MTERF3/MTERF4/MTG1/MTG2/MTIF2/MTIF3/MTO1/MTRES1/MTRF1/NDUFA7/POLRMT/PRORP/PTCD3/PUS1/QRSL1/RARS2/RCC1L/RMND1/RPUSD3/RPUSD4/SARS2/SHMT2/TARS2/TBRG4/TEFM/TFB1M/TFB2M/THAP11/TRIT1/TRMT10C/TRMT5/TRMT61B/TRNT1/TRUB2/TSFM/TUFM/TWNK/UQCC2/WARS2/YARS2"
"ribosome biogenesis",2.27354775989303e-26,"ABCE1/ABT1/AFG2A/AIRIM/BMS1/BOP1/BYSL/C1orf131/C1QBP/CHD7/CUL4A/DCAF13/DDX10/DDX18/DDX21/DDX28/DDX31/DDX49/DDX51/DDX56/DHX30/DHX37/DIMT1/DROSHA/EBNA1BP2/EFL1/EIF1AX/EIF2A/EIF4A3/EIF5B/EIF6/EMG1/ERAL1/ERCC2/ERI2/ERI3/ESF1/EXOSC1/EXOSC2/EXOSC3/EXOSC5/EXOSC6/EXOSC7/EXOSC8/FASTKD2/FBL/FCF1/FDXACB1/FTSJ3/GAR1/GEMIN4/GNL2/GRWD1/GTF2H5/GTF3A/GTPBP10/HABP4/HEATR3/IMP3/IMP4/KRI1/LAS1L/LSM6/LTO1/LTV1/LYAR/MALSU1/MDN1/METTL15/METTL16/METTL17/METTL18/METTL25B/METTL5/MPHOSPH10/MPHOSPH6/MPV17L2/MRM1/MRM2/MRM3/MRPL20/MRPS2/MRPS7/MRTO4/MTERF3/MTERF4/MTG2/MTREX/MYBBP1A/NAT10/NHP2/NIFK/NLE1/NOA1/NOB1/NOC2L/NOC4L/NOL11/NOL6/NOL7/NOL8/NOL9/NOLC1/NOM1/NOP10/NOP14/NOP16/NOP2/NOP53/NOP56/NPM1/NPM3/NSA2/NSUN5/NSUN5P1/NSUN5P2/NUP88/NVL/PA2G4/PAK1IP1/PDCD11/PELP1/PES1/PIH1D1/PIN4/POP4/POP5/POP7/PWP1/PWP2/RAN/RBFA/RBIS/RCL1/REXO4/RIOK1/RIOK2/RIOK3/RIOX2/RPF1/RPF2/RPL10/RPL10A/RPL10L/RPL11/RPL14/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPLP0/RPLP0P6/RPP25/RPP30/RPP38/RPP40/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27L/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPUSD1/RPUSD2/RPUSD4/RRN3/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SDAD1/SERBP1/SHQ1/SIRT7/SLX9/SNU13/SRFBP1/SURF6/SUV39H1/TBL3/TFB1M/TFB2M/TMA16/TRAF7/TRMT112/TRMT2B/TRMT61B/TSR2/TSR3/URB1/URB2/UTP11/UTP14A/UTP18/UTP20/UTP23/UTP25/UTP3/UTP4/UTP6/VCX/WDR12/WDR18/WDR3/WDR36/WDR46/WDR75/XPO1/XRCC5/YBEY/YTHDF2/ZCCHC4/ZNF622/ZNF658/ZNHIT3/ZNHIT6"
"mitochondrial translation",1.83369759044571e-24,"AARS2/ALKBH1/AURKAIP1/C1QBP/CDK5RAP1/CHCHD1/COA3/DAP3/DARS2/EARS2/FASTKD2/FASTKD3/GADD45GIP1/GATB/GATC/GFM1/GFM2/HARS1/IARS2/LRPPRC/MALSU1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTG1/MTG2/MTIF2/MTIF3/MTRF1/NDUFA7/PTCD3/QRSL1/RARS2/RCC1L/RMND1/RPUSD3/RPUSD4/SARS2/SHMT2/TARS2/TRMT10C/TRUB2/TSFM/TUFM/UQCC2/WARS2/YARS2"
"ncRNA processing",1.83369759044571e-24,"AARS1/ABT1/ADAR/ADAT2/ALKBH1/ALKBH8/ANKRD16/ANKRD34A/BCDIN3D/BMP4/BMS1/BOP1/BYSL/CDK5RAP1/CDKAL1/CHD7/CTU1/CTU2/DALRD3/DCAF13/DDX1/DDX10/DDX18/DDX21/DDX49/DDX51/DDX56/DGCR8/DHX37/DIMT1/DROSHA/DTWD1/DTWD2/DUS1L/DUS2/DUS4L/EBNA1BP2/EIF4A3/EIF6/ELAC1/ELAC2/ELP1/ELP2/ELP3/ELP4/ELP5/ELP6/EMG1/ERCC2/ERI2/ERI3/ESF1/EXOSC1/EXOSC2/EXOSC3/EXOSC5/EXOSC6/EXOSC7/EXOSC8/FAM98A/FAM98B/FARS2/FBL/FCF1/FDXACB1/FKBP6/FTSJ1/FTSJ3/GAR1/GEMIN4/GON7/GRSF1/GTF2H5/GTPBP3/HENMT1/HSD17B10/IMP3/IMP4/INTS10/INTS11/INTS13/INTS14/INTS2/INTS5/INTS6L/INTS7/INTS8/INTS9/KARS1/KRI1/KTI12/LAGE3/LAS1L/LCMT2/LSM6/LYAR/METTL1/METTL15/METTL16/METTL18/METTL25B/METTL2A/METTL2B/METTL3/METTL5/METTL6/MOCS3/MPHOSPH10/MPHOSPH6/MRM1/MRM2/MRM3/MRTO4/MTERF4/MTFMT/MTO1/MTREX/NAT10/NCBP2/NHP2/NIFK/NOB1/NOC4L/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NOP53/NOP56/NPM3/NSA2/NSUN2/NSUN5/NSUN5P1/NSUN5P2/NSUN6/NVL/OSGEP/OSGEPL1/PA2G4/PARN/PDCD11/PELP1/PES1/PIH1D1/PIN4/PIWIL2/PIWIL4/PLD6/PNLDC1/POP1/POP4/POP5/POP7/PRORP/PUM2/PUS1/PUS3/PUS7/PUSL1/PWP1/PWP2/QNG1/QTRT1/RBFA/RCL1/REXO4/RIOK1/RIOK2/RIOK3/RNF113A/RPF1/RPF2/RPL10A/RPL11/RPL14/RPL26/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPL7L1/RPP14/RPP21/RPP25/RPP25L/RPP30/RPP38/RPP40/RPS14/RPS15/RPS16/RPS17/RPS19/RPS21/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPS8/RPUSD1/RPUSD2/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/RTCB/RTRAF/SAGE1/SARS1/SEPSECS/SHQ1/SIRT7/SLX9/SMAD2/SMAD3/SNU13/SRFBP1/SRSF3/SSB/STAT3/SUV39H1/TARBP1/TARBP2/TBL3/TDRD1/TDRD12/TDRD9/TDRKH/TERT/TFB1M/TFB2M/THG1L/THUMPD3/TP53/TP53RK/TPRKB/TRIM71/TRIT1/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT112/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN15/TSEN2/TSEN34/TSEN54/TSN/TSR2/TSR3/TUT1/TUT7/TYW1/TYW3/URB1/URM1/USB1/UTP11/UTP14A/UTP18/UTP20/UTP23/UTP25/UTP3/UTP4/UTP6/WDR12/WDR18/WDR3/WDR36/WDR4/WDR46/WDR6/WDR75/YBEY/YRDC/YTHDF2/ZBTB8OS/ZC3H7B/ZCCHC4/ZNHIT3/ZNHIT6"
"tRNA metabolic process",1.50510586539824e-22,"AARS1/AARS2/AARSD1/ADAT2/ALKBH1/ALKBH8/ANG/ANKRD16/BCDIN3D/BRF1/CDK5RAP1/CDKAL1/CTU1/CTU2/DALRD3/DARS1/DARS2/DDX1/DTD1/DTD2/DTWD1/DTWD2/DUS1L/DUS2/DUS4L/EARS2/ELAC1/ELAC2/ELP1/ELP2/ELP3/ELP4/ELP5/ELP6/EPRS1/EXOSC2/EXOSC3/EXOSC7/EXOSC8/FAM98A/FAM98B/FARS2/FARSA/FARSB/FTSJ1/GATB/GATC/GON7/GRSF1/GTF3C1/GTF3C2/GTF3C3/GTF3C4/GTF3C5/GTF3C6/GTPBP3/HARS1/HARS2/HSD17B10/IARS1/IARS2/KARS1/KTI12/LAGE3/LARS1/LCMT2/LRRC47/LSM6/MARS2/METTL1/METTL2A/METTL2B/METTL6/MOCS3/MTFMT/MTO1/NARS1/NARS2/NAT10/NSUN2/NSUN6/OSGEP/OSGEPL1/PARS2/POLR2F/POLR2L/POP1/POP4/POP5/POP7/PRORP/PRORSD1P/PUS1/PUS3/PUS7/PUSL1/QARS1/QNG1/QRSL1/QTRT1/RARS1/RARS2/RPP14/RPP21/RPP25/RPP25L/RPP30/RPP38/RPP40/RPUSD4/RTCB/RTRAF/SARS1/SARS2/SEPSECS/SSB/TARBP1/TARS1/TARS2/TARS3/THG1L/THUMPD3/TP53RK/TPRKB/TRIT1/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT112/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN15/TSEN2/TSEN34/TSEN54/TYW1/TYW3/URM1/VARS1/WARS2/WDR4/WDR6/YARS2/YRDC/ZBTB8OS/ZCCHC7"
"rRNA metabolic process",1.25967865910054e-20,"ABT1/ANG/BMS1/BOP1/BRF1/BYSL/CAVIN1/CHD7/DCAF13/DDX10/DDX11/DDX18/DDX21/DDX49/DDX51/DDX56/DHX37/DIMT1/DIS3L/DROSHA/EBNA1BP2/EIF4A3/EIF6/EMG1/ERCC2/ERI2/ERI3/ESF1/EXOSC1/EXOSC2/EXOSC3/EXOSC5/EXOSC6/EXOSC7/EXOSC8/FBL/FCF1/FDXACB1/FTSJ3/GAR1/GEMIN4/GTF2H5/GTF3A/GTF3C1/GTF3C2/GTF3C3/GTF3C4/GTF3C5/GTF3C6/IMP3/IMP4/KRI1/LAS1L/LSM6/LYAR/MACROH2A1/MACROH2A2/MAPT/METTL15/METTL16/METTL18/METTL25B/METTL5/MPHOSPH10/MPHOSPH6/MRM1/MRM2/MRM3/MRTO4/MTERF4/MTOR/MTREX/NAT10/NCL/NHP2/NIFK/NOB1/NOC4L/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NOP53/NOP56/NPM3/NSA2/NSUN5/NSUN5P1/NSUN5P2/NVL/PA2G4/PDCD11/PELO/PELP1/PES1/PIH1D1/PIN4/POLR1B/POLR1E/POLR1G/POP4/POP5/POP7/PWP1/PWP2/RBFA/RCL1/REXO4/RIOK1/RIOK2/RIOK3/RPF1/RPF2/RPL10A/RPL11/RPL14/RPL26/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPL7L1/RPP25/RPP30/RPP38/RPP40/RPS14/RPS15/RPS16/RPS17/RPS19/RPS21/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPS8/RPUSD1/RPUSD2/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SHQ1/SIRT7/SLX9/SMARCA4/SMARCB1/SNU13/SPIN1/SRFBP1/SUV39H1/TAF1B/TBL3/TCOF1/TFB1M/TFB2M/TP53/TRIR/TRMT112/TRMT2B/TRMT61B/TSR2/TSR3/URB1/UTP11/UTP14A/UTP18/UTP20/UTP23/UTP25/UTP3/UTP4/UTP6/WDR12/WDR18/WDR3/WDR36/WDR46/WDR75/XRN1/YBEY/YTHDF2/ZCCHC4/ZCCHC7/ZNHIT3/ZNHIT6"
"rRNA processing",3.88964824189318e-17,"ABT1/BMS1/BOP1/BYSL/CHD7/DCAF13/DDX10/DDX18/DDX21/DDX49/DDX51/DDX56/DHX37/DIMT1/DROSHA/EBNA1BP2/EIF4A3/EIF6/EMG1/ERCC2/ERI2/ERI3/ESF1/EXOSC1/EXOSC2/EXOSC3/EXOSC5/EXOSC6/EXOSC7/EXOSC8/FBL/FCF1/FDXACB1/FTSJ3/GAR1/GEMIN4/GTF2H5/IMP3/IMP4/KRI1/LAS1L/LSM6/LYAR/METTL15/METTL16/METTL18/METTL25B/METTL5/MPHOSPH10/MPHOSPH6/MRM1/MRM2/MRM3/MRTO4/MTERF4/MTREX/NAT10/NHP2/NIFK/NOB1/NOC4L/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NOP53/NOP56/NPM3/NSA2/NSUN5/NSUN5P1/NSUN5P2/NVL/PA2G4/PDCD11/PELP1/PES1/PIH1D1/PIN4/POP4/POP5/POP7/PWP1/PWP2/RBFA/RCL1/REXO4/RIOK1/RIOK2/RIOK3/RPF1/RPF2/RPL10A/RPL11/RPL14/RPL26/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPL7L1/RPP25/RPP30/RPP38/RPP40/RPS14/RPS15/RPS16/RPS17/RPS19/RPS21/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPS8/RPUSD1/RPUSD2/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SHQ1/SIRT7/SLX9/SNU13/SRFBP1/SUV39H1/TBL3/TFB1M/TFB2M/TRMT112/TRMT2B/TRMT61B/TSR2/TSR3/URB1/UTP11/UTP14A/UTP18/UTP20/UTP23/UTP25/UTP3/UTP4/UTP6/WDR12/WDR18/WDR3/WDR36/WDR46/WDR75/YBEY/YTHDF2/ZCCHC4/ZNHIT3/ZNHIT6"
"tRNA processing",7.34697994995425e-17,"AARS1/ADAT2/ALKBH1/ALKBH8/ANKRD16/BCDIN3D/CDK5RAP1/CDKAL1/CTU1/CTU2/DALRD3/DDX1/DTWD1/DTWD2/DUS1L/DUS2/DUS4L/ELAC1/ELAC2/ELP1/ELP2/ELP3/ELP4/ELP5/ELP6/FAM98A/FAM98B/FARS2/FTSJ1/GON7/GRSF1/GTPBP3/HSD17B10/KARS1/KTI12/LAGE3/LCMT2/LSM6/METTL1/METTL2A/METTL2B/METTL6/MOCS3/MTFMT/MTO1/NAT10/NSUN2/NSUN6/OSGEP/OSGEPL1/POP1/POP4/POP5/POP7/PRORP/PUS1/PUS3/PUS7/PUSL1/QNG1/QTRT1/RPP14/RPP21/RPP25/RPP25L/RPP30/RPP38/RPP40/RPUSD4/RTCB/RTRAF/SARS1/SEPSECS/SSB/TARBP1/THG1L/THUMPD3/TP53RK/TPRKB/TRIT1/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT112/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN15/TSEN2/TSEN34/TSEN54/TYW1/TYW3/URM1/WDR4/WDR6/YRDC/ZBTB8OS"
"cytoplasmic translation",1.12312190369119e-16,"AARS1/CNBP/CPEB1/CPEB2/CPEB4/DENR/DRG1/DRG2/EIF2B3/EIF2S2/EIF2S3/EIF2S3B/EIF3B/EIF3CL/EIF3D/EIF3E/EIF3F/EIF3G/EIF3H/EIF3I/EIF3J/EIF3K/EIF3L/EIF3M/EIF4A2/ETF1/FAU/FTSJ1/IMPACT/MCTS1/METTL3/MIF4GD/MTOR/NCBP2/NCK1/NMNAT2/PAIP1/PARP16/RACK1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RWDD1/SARS1/SLBP/SYNCRIP/UBA52/UNK/YBX1/YTHDF2"
"RNA modification",1.41689333705257e-16,"AARS1/ADAR/ADARB1/ADAT2/ALKBH1/ALKBH3/ALKBH5/ALKBH8/ANKRD16/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3D/APOBEC3G/APOBEC3H/BAG4/BCDIN3D/CDK5RAP1/CDKAL1/CMTR2/CTU1/CTU2/DALRD3/DIMT1/DTWD1/DTWD2/DUS1L/DUS2/DUS4L/ELP1/ELP2/ELP3/ELP4/ELP5/ELP6/EMG1/FBL/FDXACB1/FTO/FTSJ1/FTSJ3/GAR1/GON7/GTPBP3/HENMT1/HNRNPAB/HSD17B10/JMJD6/KTI12/LCMT2/MEPCE/METTL1/METTL14/METTL15/METTL16/METTL25B/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MOCS3/MRM1/MRM2/MRM3/MTFMT/MTO1/NAT10/NHP2/NOP10/NOP2/NSUN2/NSUN5/NSUN5P1/NSUN5P2/NSUN6/OSGEP/OSGEPL1/PARN/PCIF1/PUS1/PUS3/PUS7/PUSL1/QNG1/QTRT1/RAMAC/RAMACL/RBM15B/RPUSD1/RPUSD2/RPUSD3/RPUSD4/SARS1/SEPSECS/SNRPB/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SNRPG/SSB/TARBP1/TFB1M/TFB2M/TGS1/THG1L/THUMPD3/TMT1A/TPRKB/TRIT1/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT112/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TRMU/TRUB1/TRUB2/TSR3/TYW1/TYW3/URM1/WDR4/WDR6/YRDC/ZC3H13/ZCCHC4"
