"Pathway","Adjusted_Pvalue","Genes"
"ribosomal subunit",3.52238402286779e-43,"AURKAIP1/CHCHD1/DAP3/EIF2A/FAU/GADD45GIP1/IMP3/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF4/NHP2/NPM1/PTCD3/RACK1/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL1D1/SNU13/UBA52/ZCCHC17"
"mitochondrial matrix",7.75604212606086e-38,"AADAT/AASS/ABCE1/ABHD10/ACAA2/ACAD10/ACADL/ACADM/ACADS/ACADSB/ACADVL/ACAT1/ACOT13/ACOT2/ACP6/ACSF2/ACSM1/ACSM3/ACSM4/ACSM5/ACSS1/ADHFE1/ADPRS/AK3/AK4/ALAS2/ALDH1B1/ALDH2/ALDH5A1/ALDH6A1/ALDH7A1/ALKBH7/AMT/ARG2/ARL2/ATAD3A/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5PB/AURKAIP1/BCAT2/BCKDHA/BCKDHB/BCKDK/BCO2/BDH1/BLOC1S1/BOLA3/BTD/C1QBP/CA5B/CBR4/CHCHD1/CHPF/CLPP/CLPX/COASY/COQ3/COQ5/CYP11A1/CYP27A1/D2HGDH/DAP3/DARS2/DBT/DDX28/DGUOK/DHFR2/DHX30/DLAT/DMGDH/DNAJA3/DNAJC15/DNAJC19/DTYMK/EARS2/ECHS1/ECI1/ELAC2/ERAL1/ETFA/ETFB/ETFDH/ETHE1/EXD2/FAHD1/FARS2/FASTK/FASTKD1/FASTKD2/FASTKD3/FDX1/FDX2/FDXR/FECH/FH/FLAD1/FOXO3/FPGS/GADD45GIP1/GCDH/GCSH/GFM1/GFM2/GLRX5/GLS2/GLUD1/GLUD2/GOT2/GPX1/GRPEL2/GRSF1/GSTK1/GSTZ1/GUF1/HADH/HADHA/HADHB/HAGH/HARS2/HAX1/HIBADH/HIBCH/HMGCL/HSD17B10/HSD17B8/HSPA1L/HSPD1/HSPE1/HYKK/IARS2/IDH2/IDH3B/ISCA2/ISCU/IVD/KARS1/LACTB2/LIAS/LIPT1/LIPT2/LONP1/LRPPRC/LRRK2/LYRM4/LYRM7/MALSU1/MARS2/MCAT/MCCC1/MCCC2/MCEE/MDH2/ME3/MECR/METTL15/METTL17/METTL4/MIPEP/MMAA/MMAB/MMUT/MPG/MPST/MPV17L2/MRM1/MRM2/MRM3/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS36/MRPS5/MRPS6/MRPS7/MRPS9/MRRF/MTERF1/MTERF2/MTERF4/MTG1/MTG2/MTHFD1L/MTRES1/NADK2/NAGS/NARS2/NAXD/NAXE/NDUFA10/NDUFA7/NDUFAB1/NDUFAF1/NDUFB8/NDUFS1/NDUFS2/NDUFS3/NDUFS7/NDUFS8/NFS1/NME4/NMNAT3/NT5M/NUBPL/NUDT1/NUDT13/NUDT2/NUDT9/OGDH/OGG1/OXA1L/OXCT1/PARG/PARK7/PARS2/PC/PCCA/PCCB/PCK2/PDHA1/PDHB/PDHX/PDK2/PDK4/PDP2/PDSS2/PHYKPL/PIN4/PITRM1/PMPCB/POLDIP2/POLG/POLRMT/PPA2/PPM1K/PRDX3/PRIMPOL/PRORP/PTCD3/PUS1/PYCR2/PYROXD2/QARS1/RARS2/REXO2/RIDA/RPS3/RPUSD3/RPUSD4/SARDH/SARS2/SDHAF1/SDHAF2/SDHAF4/SHMT2/SIRT3/SIRT4/SLC25A5/SMDT1/SOD1/STYXL1/SUCLA2/SUCLG1/SUCLG2/TARS2/TBRG4/TEFM/TERT/TFB1M/TFB2M/THEM4/THEM5/TIMM44/TOP1MT/TP53/TRAP1/TRIT1/TRMT10C/TRMT2B/TRMT5/TRMT61B/TRNT1/TRUB2/TSFM/TST/TTC5/TUFM/TWNK/TXN2/TXNRD2/UQCC2/VDAC1/VDAC2/WARS2/YARS2"
"mitochondrial inner membrane",6.80292667539032e-37,"ABCB10/ABCB7/ABCB8/ACAD9/ACADVL/ADCK1/AGK/AIFM1/AIFM3/ALAS2/ALDH18A1/APOO/APOOL/AQP8/ATAD3A/ATAD3B/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5MC1/ATP5MC2/ATP5MC3/ATP5ME/ATP5MF/ATP5MG/ATP5MJ/ATP5MK/ATP5PB/ATP5PD/ATP5PF/ATP5PO/ATPSCKMT/AURKAIP1/BCS1L/BDH1/BOK/CCDC51/CHCHD1/CHCHD10/CHCHD3/CHCHD6/CLPX/COA3/COA8/COQ10A/COQ3/COQ4/COQ5/COQ6/COQ9/COX10/COX11/COX15/COX16/COX18/COX20/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX6B2/COX6C/COX7A2/COX7B/COX7C/COX8A/CPT2/CRAT/CYC1/CYCS/CYP11A1/CYP1A1/CYP27A1/CYP2E1/CYP2U1/DAP3/DELE1/DHFR2/DHODH/DMAC1/DMAC2L/DNAJC11/DNAJC15/DNAJC19/DNAJC30/ECSIT/EFHD1/ENDOG/ERAL1/ETFDH/EXOG/FDXR/FECH/FLVCR1/FOXRED1/FPGS/GADD45GIP1/GATM/GCAT/GHITM/GRPEL2/GUF1/HADHA/HADHB/HCCS/HIGD1A/HIGD2A/HSPD1/IMMP1L/IMMP2L/IMMT/L2HGDH/LDHB/LDHD/LETM1/LETMD1/LRRK2/MCUB/MCUR1/MGARP/MICOS10/MICOS13/MICU2/MICU3/MPC1/MPC2/MPV17/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS36/MRPS5/MRPS6/MRPS7/MRPS9/MRS2/MTCO2P12/MTG1/MTG2/MTLN/MTX2/NDUFA1/NDUFA10/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFAB1/NDUFAF1/NDUFAF2/NDUFAF3/NDUFAF4/NDUFAF6/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/NME4/NNT/NOA1/OMA1/OXA1L/PARL/PGAM5/PGS1/PHB1/PHB2/PISD/PLSCR3/PMPCB/PPOX/PSEN2/PTCD3/RCC1L/RDH13/ROMO1/RPS3/RSAD2/SAMM50/SDHA/SDHB/SDHC/SDHD/SFXN1/SFXN2/SFXN4/SHMT2/SIRT4/SLC25A1/SLC25A11/SLC25A12/SLC25A14/SLC25A15/SLC25A16/SLC25A18/SLC25A19/SLC25A20/SLC25A22/SLC25A23/SLC25A26/SLC25A34/SLC25A35/SLC25A38/SLC25A4/SLC25A40/SLC25A41/SLC25A42/SLC25A43/SLC25A45/SLC25A5/SLC25A53/SLC25A6/SLC27A1/SLC30A2/SLC41A3/SLC9B2/SMDT1/SMIM20/SPG7/SPHK2/SQOR/STMP1/STOML2/SURF1/TAFAZZIN/TAMM41/THEM4/TIMM13/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM23B/TIMM29/TIMM44/TIMM50/TIMM8A/TIMM8B/TIMM9/TIMMDC1/TMEM11/TMEM126A/TMEM126B/TMEM14C/TMEM160/TMEM177/TMEM186/TMEM223/TMEM242/TOMM40/TRAP1/TRMT10B/TTC19/UCP1/UCP2/UCP3/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/UQCR10/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRFS1P1/UQCRH/UQCRQ/WDR93"
"ribosome",3.25373297004173e-35,"ABCE1/APEX1/ASCC2/AURKAIP1/BTF3/CHCHD1/DAP3/DNAJC21/EEF1A1/EIF2A/EIF2AK2/EIF3H/ELAVL4/ETF1/FAU/FUBP3/GADD45GIP1/GCN1/GSPT1/HSPA14/HULC/IMP3/LINC01004/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MT3/MTERF4/MTG1/MTG2/NCK1/NDUFA7/NHP2/NPM1/NUFIP2/PELO/PTCD3/RACK1/RNF10/RNF14/RNF25/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS6KL1/RPS7/RPS8/RPS9/RPSA/RSL1D1/SERP1/SF1/SNU13/SRP68/UBA52/ZCCHC17/ZNF598"
"mitochondrial protein-containing complex",1.14718497718787e-33,"AGK/APOO/APOOL/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5MC1/ATP5MC2/ATP5MC3/ATP5ME/ATP5MF/ATP5MG/ATP5MJ/ATP5MK/ATP5PB/ATP5PD/ATP5PF/ATP5PO/AURKAIP1/BAX/BCKDHA/BCKDHB/BCKDK/BCS1L/CHCHD1/CHCHD10/CHCHD3/CHCHD6/CLPX/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX6C/COX7A2/COX7B/COX7C/COX8A/CYC1/DAP3/DBT/DLAT/DNAJC11/DNAJC15/DNAJC19/FOXRED1/GADD45GIP1/GRPEL2/HADHA/HADHB/HSD17B10/IDH3B/IMMP1L/IMMP2L/IMMT/ISCU/LYRM4/MCCC1/MCCC2/MCUB/MICOS10/MICOS13/MICU2/MICU3/MPC1/MPC2/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS36/MRPS5/MRPS6/MRPS7/MRPS9/MTCO2P12/MTERF4/MTX2/NDUFA1/NDUFA10/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFAB1/NDUFAF1/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/NFS1/PDHA1/PDHB/PDHX/PDK2/PHB1/PHB2/PMPCB/POLG/POLRMT/PRORP/PTCD3/ROMO1/SAMM50/SDHA/SDHB/SDHC/SDHD/SLC25A4/SLC25A5/SLC25A6/SMDT1/SPG7/SUCLG1/SUCLG2/TIMM13/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM23B/TIMM29/TIMM44/TIMM50/TIMM8A/TIMM8B/TIMM9/TOMM20/TOMM22/TOMM40/TOMM40L/TOMM7/TOMM70/TRMT10B/TRMT10C/UQCR10/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRFS1P1/UQCRH/UQCRQ/VDAC1/WDR93"
"large ribosomal subunit",7.35275363343106e-29,"GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS18A/MRPS30/MTERF4/NHP2/NPM1/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RSL1D1/SNU13/UBA52/ZCCHC17"
"T cell receptor complex",1.80192871179818e-21,"CD247/CD3D/CD3E/CD3G/CD4/CD8A/CD8B/SKAP1/TRAC/TRAJ3/TRAT1/TRAV1-1/TRAV1-2/TRAV10/TRAV12-1/TRAV12-2/TRAV12-3/TRAV13-1/TRAV13-2/TRAV14DV4/TRAV16/TRAV17/TRAV18/TRAV19/TRAV2/TRAV20/TRAV21/TRAV22/TRAV23DV6/TRAV24/TRAV25/TRAV26-1/TRAV26-2/TRAV27/TRAV29DV5/TRAV3/TRAV30/TRAV35/TRAV36DV7/TRAV38-1/TRAV38-2DV8/TRAV39/TRAV4/TRAV40/TRAV41/TRAV5/TRAV6/TRAV8-1/TRAV8-2/TRAV8-3/TRAV8-4/TRAV8-6/TRAV9-1/TRAV9-2/TRBC1/TRBC2/TRBD1/TRBJ1-1/TRBJ1-2/TRBJ1-3/TRBJ1-4/TRBJ1-5/TRBJ1-6/TRBJ2-1/TRBJ2-2/TRBJ2-3/TRBJ2-4/TRBJ2-6/TRBJ2-7/TRBV10-2/TRBV10-3/TRBV11-1/TRBV11-2/TRBV11-3/TRBV12-3/TRBV12-4/TRBV12-5/TRBV13/TRBV14/TRBV16/TRBV18/TRBV19/TRBV2/TRBV20-1/TRBV23-1/TRBV24-1/TRBV25-1/TRBV27/TRBV29-1/TRBV3-1/TRBV30/TRBV4-1/TRBV4-2/TRBV5-1/TRBV5-3/TRBV5-4/TRBV5-5/TRBV5-6/TRBV5-7/TRBV6-1/TRBV6-4/TRBV6-5/TRBV6-6/TRBV6-7/TRBV6-8/TRBV7-1/TRBV7-2/TRBV7-3/TRBV7-4/TRBV7-6/TRBV7-7/TRBV7-9/TRBV9/TRDC/TRDV1/TRDV2/TRDV3/TRGC1/TRGC2/TRGV2/TRGV3/TRGV4/TRGV8/TRGV9/ZAP70"
"cytosolic ribosome",2.29043369019202e-21,"ABCE1/ASCC2/EEF1A1/EIF2A/ETF1/FAU/GCN1/GSPT1/NHP2/PELO/RACK1/RNF10/RNF14/RNF25/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL1D1/SNU13/UBA52/ZCCHC17/ZNF598"
"organellar ribosome",3.80229450597472e-20,"AURKAIP1/CHCHD1/DAP3/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF4/MTG1/MTG2/NDUFA7/PTCD3"
"mitochondrial ribosome",3.80229450597472e-20,"AURKAIP1/CHCHD1/DAP3/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF4/MTG1/MTG2/NDUFA7/PTCD3"
