"Pathway","Adjusted_Pvalue","Genes"
"ribosomal subunit",1.28661940337262e-39,"AURKAIP1/CHCHD1/DAP3/DHX29/EIF2A/FAU/GADD45GIP1/LARP4/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF4/PTCD3/RACK1/RBM3/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/UBA52/ZCCHC17"
"ribosome",3.63248324155448e-29,"ABCE1/APEX1/ASCC2/AURKAIP1/CHCHD1/DAP3/DAZL/DHX29/DNAJC21/EEF1A1/EEF2/EIF2A/EIF2AK2/ELAVL4/FAU/FUBP3/FXR1/GADD45GIP1/GCN1/GSPT1/HSPA14/LARP4/LTN1/METAP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MT3/MTERF4/MTG1/MTG2/NCK1/OAS1/PELO/PSMA6/PTCD3/RACK1/RBM3/RNF10/RNF14/RNF25/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS6KL1/RPS7/RPS8/RPS9/RPSA/RSL24D1/SERP1/SRP68/UBA52/ZCCHC17/ZNF598"
"large ribosomal subunit",1.82137763046769e-23,"GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS18A/MRPS30/MTERF4/RBM3/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP1/RPLP2/UBA52/ZCCHC17"
"mitochondrial protein-containing complex",2.94405437285471e-21,"ACACB/AGK/APOO/APOOL/AURKAIP1/BAX/CHCHD1/CHCHD10/CHCHD3/CHCHD6/CLPX/DAP3/DNAJC11/DNAJC15/DNAJC19/GADD45GIP1/GRPEL2/HADHA/HADHB/HSD17B10/IMMP1L/IMMP2L/IMMT/ISCA2/ISCU/LYRM4/MCUB/MFN1/MICOS10/MICOS13/MICU2/MICU3/MPC1/MPC2/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF4/MTX2/NDUFAB1/NFS1/PDSS2/PHB1/PHB2/PMPCA/PMPCB/POLG/POLG2/POLRMT/PRORP/PTCD3/ROMO1/SAMM50/SLC25A4/SLC25A5/SLC25A6/SMDT1/SPG7/TIMM13/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM23B/TIMM29/TIMM44/TIMM50/TIMM8A/TIMM8B/TIMM9/TOMM20/TOMM22/TOMM40/TOMM7/TOMM70/TRMT10B/TRMT10C/VDAC1"
"organellar ribosome",2.91863842116817e-20,"AURKAIP1/CHCHD1/DAP3/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF4/MTG1/MTG2/PTCD3"
"mitochondrial ribosome",2.91863842116817e-20,"AURKAIP1/CHCHD1/DAP3/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL38/MRPL39/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/MTERF4/MTG1/MTG2/PTCD3"
"cytosolic ribosome",1.49195169194639e-17,"ABCE1/ASCC2/DHX29/EEF1A1/EIF2A/FAU/GCN1/GSPT1/LARP4/LTN1/METAP1/PELO/RACK1/RNF10/RNF14/RNF25/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/UBA52/ZCCHC17/ZNF598"
"T cell receptor complex",3.0769711253779e-17,"CD247/CD3D/CD3E/CD3G/CD4/CD6/CD8A/CD8B/CEACAM1/SKAP1/TRAC/TRAJ3/TRAT1/TRAV1-1/TRAV1-2/TRAV10/TRAV12-1/TRAV12-2/TRAV12-3/TRAV13-1/TRAV13-2/TRAV14DV4/TRAV16/TRAV17/TRAV18/TRAV19/TRAV2/TRAV20/TRAV21/TRAV22/TRAV23DV6/TRAV24/TRAV25/TRAV26-1/TRAV26-2/TRAV27/TRAV29DV5/TRAV3/TRAV30/TRAV35/TRAV36DV7/TRAV38-1/TRAV38-2DV8/TRAV39/TRAV4/TRAV40/TRAV41/TRAV5/TRAV6/TRAV8-1/TRAV8-2/TRAV8-3/TRAV8-4/TRAV8-6/TRAV9-1/TRAV9-2/TRBC1/TRBC2/TRBD1/TRBJ1-1/TRBJ1-2/TRBJ1-3/TRBJ1-4/TRBJ1-5/TRBJ1-6/TRBJ2-1/TRBJ2-2/TRBJ2-3/TRBJ2-4/TRBJ2-6/TRBJ2-7/TRBV10-2/TRBV10-3/TRBV11-1/TRBV11-2/TRBV11-3/TRBV12-3/TRBV12-4/TRBV12-5/TRBV13/TRBV14/TRBV16/TRBV18/TRBV19/TRBV2/TRBV20-1/TRBV23-1/TRBV24-1/TRBV25-1/TRBV27/TRBV29-1/TRBV3-1/TRBV30/TRBV4-1/TRBV4-2/TRBV5-1/TRBV5-3/TRBV5-4/TRBV5-5/TRBV5-6/TRBV5-7/TRBV6-1/TRBV6-4/TRBV6-5/TRBV6-6/TRBV6-7/TRBV6-8/TRBV7-1/TRBV7-2/TRBV7-3/TRBV7-4/TRBV7-6/TRBV7-7/TRBV7-9/TRBV9/TRDC/TRDV1/TRDV2/TRDV3/TRGC1/TRGC2/TRGV2/TRGV3/TRGV4/TRGV8/TRGV9/ZAP70"
"small ribosomal subunit",2.1089113145118e-16,"AURKAIP1/CHCHD1/DAP3/DHX29/EIF2A/FAU/LARP4/MRPL42/MRPS10/MRPS11/MRPS12/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS26/MRPS27/MRPS28/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/PTCD3/RACK1/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA"
"preribosome",2.7818788138248e-12,"AATF/BMS1/BOP1/BYSL/C1orf131/DCAF13/DHX37/DIMT1/EBNA1BP2/EMG1/EXOSC10/FBL/FCF1/FTSJ3/IMP3/IMP4/KRI1/LTV1/MDN1/MPHOSPH10/MRTO4/NAT10/NIP7/NOB1/NOC2L/NOC4L/NOL6/NOL7/NOP14/NOP56/NOP58/NSA2/PDCD11/PES1/PIN4/PNO1/PWP2/RCL1/RIOK1/RIOK2/RPF1/RPS11/RPS12/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS23/RPS24/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/SLX9/SNU13/SRFBP1/TBL3/UTP11/UTP14A/UTP18/UTP20/UTP23/UTP25/UTP3/UTP4/UTP6/WDR12/WDR3/WDR36/WDR46/WDR74/WDR75/XRCC5/ZNF622"
