"Pathway","Adjusted_Pvalue","Genes"
"structural constituent of ribosome",2.06787630929052e-27,"DAP3/FAU/IMP3/LINC01004/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL4/MRPL41/MRPL42/MRPL43/MRPL46/MRPL47/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL57/MRPL9/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS5/MRPS6/MRPS7/MRPS9/NDUFA7/RPL10/RPL10A/RPL10L/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/UBA52"
"catalytic activity, acting on a tRNA",3.14825456806236e-14,"AARS1/AARS2/AARSD1/ALKBH1/ALKBH8/ANKZF1/BCDIN3D/CDKAL1/DALRD3/DARS1/DARS2/DTD1/DTD2/DTWD1/DTWD2/DUS1L/DUS2/DUS4L/EARS2/ELAC1/ELAC2/EPRS1/ETF1/FARS2/FARSA/FARSB/FTO/FTSJ1/GATB/GATC/HARS1/HARS2/IARS1/IARS2/KARS1/LARS1/LCMT2/LRRC47/MARS2/METTL1/METTL2A/METTL2B/METTL6/MRPL58/MTFMT/NARS1/NARS2/NSUN2/NSUN6/OSGEP/PARS2/POP1/POP4/POP5/POP7/PRORP/PRORSD1P/PTRH1/PTRH2/PTRHD1/PUS1/PUS3/QARS1/QRSL1/QTRT1/RARS1/RARS2/RPP14/RPP21/RPP25/RPP30/RPP38/RPP40/SARS1/SARS2/SEPSECS/TARBP1/TARS1/TARS2/TARS3/THG1L/THUMPD3/TRIT1/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TRMU/TRNT1/TRPT1/TSEN2/TSEN34/TYW1/TYW3/VARS1/WARS2/YARS2"
"catalytic activity, acting on RNA",2.50902174493611e-11,"AARS1/AARS2/AARSD1/ALKBH1/ALKBH3/ALKBH5/ALKBH8/ANG/ANGEL1/ANKZF1/APEX1/BCDIN3D/CDKAL1/CMTR2/CNOT6/CNOT7/CNOT8/CPSF3/DALRD3/DARS1/DARS2/DBR1/DCP1B/DDX1/DDX10/DDX18/DDX19B/DDX20/DDX21/DDX23/DDX28/DDX31/DDX42/DDX46/DDX49/DDX50/DDX51/DDX55/DDX56/DDX60/DDX60L/DHX16/DHX30/DHX32/DHX33/DHX35/DHX37/DHX57/DIMT1/DIS3L/DIS3L2/DROSHA/DTD1/DTD2/DTWD1/DTWD2/DUS1L/DUS2/DUS4L/DXO/EARS2/EIF4A2/EIF4A3/ELAC1/ELAC2/EMG1/ENDOG/ENDOV/EPRS1/ERI2/ERI3/ETF1/EXD2/EXO1/EXOG/EXOSC2/EXOSC3/EXOSC5/EXOSC7/FARS2/FARSA/FARSB/FBL/FDXACB1/FEN1/FTO/FTSJ1/FTSJ3/GATB/GATC/HARS1/HARS2/HENMT1/IARS1/IARS2/IFIH1/IGHMBP2/INTS11/JMJD6/KARS1/LACTB2/LARS1/LCMT2/LRRC47/MARS2/MBLAC1/MED20/MEPCE/METTL1/METTL14/METTL15/METTL16/METTL25B/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MRM1/MRM2/MRM3/MRPL58/MTFMT/MTREX/NARS1/NARS2/NOB1/NOCT/NOP2/NSUN2/NSUN5/NSUN6/NUDT12/OSGEP/PAN2/PARN/PARS2/PCIF1/PIF1/PIWIL2/PIWIL4/PLD6/PNLDC1/POLR1B/POLR1D/POLR1H/POLR2A/POLR2B/POLR2C/POLR2E/POLR2F/POLR2H/POLR2I/POLR2J3/POLR2K/POLR2L/POLR3A/POLR3B/POLR3C/POLR3G/POLR3H/POLR3K/POLRMT/POP1/POP4/POP5/POP7/PPP1R8/PRIM1/PRIMPOL/PRORP/PRORSD1P/PTRH1/PTRH2/PTRHD1/PUS1/PUS3/QARS1/QRSL1/QTRT1/RAD54B/RARS1/RARS2/RCL1/REXO2/RIDA/RIGI/RLIG1/RNASE1/RNASE2/RNASE3/RNASE6/RNASE7/RNASEH2A/RNGTT/RPP14/RPP21/RPP25/RPP30/RPP38/RPP40/RTCA/RTCB/SARS1/SARS2/SEPSECS/SKIC2/SND1/TARBP1/TARS1/TARS2/TARS3/TDRD12/TDRD9/TERT/TFB1M/TFB2M/TGS1/THG1L/THUMPD3/TMT1A/TRIT1/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TRMU/TRNT1/TRPT1/TSEN2/TSEN34/TSR3/TUT1/TUT7/TYW1/TYW3/USB1/VARS1/WARS2/XRN1/YARS2/YBEY/YTHDC2/ZC3H12A/ZC3H12B/ZC3H12D/ZCCHC4"
"tRNA binding",1.01602854631035e-09,"AARS1/AARS2/AIMP1/ALKBH1/ALKBH8/C6orf52/CTU1/CTU2/DALRD3/DARS2/DTD1/DTD2/DUS2/EARS2/EEF1A1/EEFSEC/EIF1AX/EIF2A/EIF2S3/EIF2S3B/EIF5B/ELP1/ELP3/ELP5/FARS2/FARSA/GTSF1/HSD17B10/IARS1/IARS2/IGHMBP2/KARS1/METTL1/MRPS27/MTRES1/MTRFR/NAT10/NSUN2/NSUN6/PUS1/RARS1/RPL35A/RPUSD4/SARS1/SARS2/SEPSECS/SLFN11/SSB/TARS1/TERT/THG1L/THUMPD3/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT1L/TRMT9B/TRMU/TRNAU1AP/TRNT1/WDR6/XPO5/XPOT/YARS2/YRDC"
"ligase activity",6.92058599385229e-08,"AACS/AARS1/AARS2/AARSD1/AASDH/ACACB/ACSF2/ACSL1/ACSL3/ACSL5/ACSL6/ACSM1/ACSM3/ACSM4/ACSM5/ACSS1/ADSS1/ADSS2/ASNS/ASS1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PF/ATP5PO/BTRC/CAD/CARNS1/CTPS2/DALRD3/DARS1/DARS2/DIP2A/DPH6/EARS2/EPRS1/FARS2/FARSA/FARSB/FPGS/GART/GATB/GATC/GCLC/GHDC/GMPS/GSS/HARS1/HARS2/HLCS/IARS1/IARS2/KARS1/LARS1/LIG1/LIG4/LIPT2/LRRC47/MARS2/MCCC1/MCCC2/MOCS3/MTHFD1/MTHFD1L/NAE1/NAPRT/NARS1/NARS2/PAICS/PARS2/PC/PCCA/PCCB/PFAS/PPCS/QARS1/QRSL1/RARS1/RARS2/RIMKLA/RLIG1/RTCA/RTCB/SAE1/SARS1/SARS2/SLC27A1/SLC27A3/SLC27A4/SLC27A5/SUCLA2/SUCLG1/SUCLG2/TARS1/TARS2/TARS3/TRIM25/TTL/TTLL1/TTLL11/TTLL2/TTLL8/UBA1/UBA2/UBA5/UBA7/UBE2L5/VARS1/WARS2/YARS2"
"rRNA binding",2.38346002929973e-07,"ANG/CAVIN1/CIRBP/DDX21/DDX28/EMG1/ERAL1/FASTKD2/GTF3A/IMP3/IMP4/KDM2B/MAP3K20/MRPL11/MRPL16/MRPL18/MRPL20/MRPS17/MRPS18A/MRPS18C/MRPS27/MRPS6/MRPS7/MTERF4/NOL12/NOP53/NPM1/PTCD3/RCC1L/RPF1/RPF2/RPL11/RPL12/RPL23/RPL23A/RPL37/RPL5/RPL8/RPL9/RPLP0/RPLP0P6/RPS11/RPS13/RPS18/RPS3/RPS4X/RPS4Y1/RPS4Y2/RPS5/RPS9/RPUSD4/RRS1/TST/UTP23/UTP25"
"RNA methyltransferase activity",3.63829964699682e-07,"ALKBH8/BCDIN3D/CMTR2/DIMT1/EMG1/FBL/FDXACB1/FTSJ1/FTSJ3/HENMT1/LCMT2/MEPCE/METTL1/METTL14/METTL15/METTL16/METTL25B/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MRM1/MRM2/MRM3/NOP2/NSUN2/NSUN5/NSUN6/PCIF1/TARBP1/TFB1M/TFB2M/TGS1/THUMPD3/TMT1A/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TYW3/ZCCHC4"
"transferase activity, transferring one-carbon groups",1.14735953855297e-06,"ALKBH8/AMT/ANTKMT/ARMT1/ASMT/ATIC/ATPSCKMT/BCDIN3D/CAD/CAMKMT/CARNMT1/CIAPIN1/CMTR2/COMT/COMTD1/COQ3/COQ5/CSKMT/DIMT1/DNMT1/DPH5/EED/EEF1AKMT1/EEF1AKMT2/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT2/EMG1/FAM86B1/FAM86B2/FAM86C2P/FAM98A/FAM98B/FBL/FDXACB1/FTSJ1/FTSJ3/GAMT/GART/GATM/GCSH/GSTCD/HEMK1/HENMT1/HNMT/ICMT/INMT/KMT2C/KMT2D/KMT5B/KMT5C/LCMT1/LCMT2/MEPCE/METTL1/METTL13/METTL14/METTL15/METTL16/METTL17/METTL18/METTL21A/METTL23/METTL25/METTL25B/METTL26/METTL27/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MGMT/MRM1/MRM2/MRM3/MTFMT/N6AMT1/NNMT/NOP2/NSUN2/NSUN5/NSUN5P1/NSUN5P2/NSUN6/NSUN7/NTMT1/PCIF1/PCMT1/PCMTD2/PEMT/PNMT/PRDM11/PRDM12/PRDM15/PRDM16/PRDM4/PRDM5/PRMT1/PRMT2/PRMT3/PRMT6/PRMT7/PRMT8/PRMT9/SETD3/SETD4/SETD6/SETDB2/SETMAR/SHMT1/SHMT2/SIRT7/SMS/SMYD2/SMYD3/SMYD4/SMYD5/SRM/SUV39H1/SUV39H2/TARBP1/TFB1M/TFB2M/TGS1/THUMPD3/TMT1A/TMT1B/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT112/TRMT12/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/TYW3/WDR5/ZCCHC4"
"electron transfer activity",2.2622823987411e-06,"ADH5/AIFM2/AKR1B1/AKR7A2/AKR7A3/ALDH2/AOC2/ASPH/CIAPIN1/COX11/COX15/COX4I1/COX5A/COX5B/COX6B1/COX7B/COX8A/CYB5A/CYC1/CYCS/CYP19A1/CYP1A2/DEGS1/DHRS3/DMGDH/ETFA/ETFB/ETFDH/FDX1/FDX2/GFUS/GPX2/HSD17B6/IDH3B/IDO1/MAOB/ME1/MTCO2P12/NDUFA1/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFB1/NDUFB10/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/P4HA2/QDPR/RDH16/SDHA/SDHB/SDHC/SDHD/SRD5A1/SURF1/UQCR10/UQCR11/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH"
"S-adenosylmethionine-dependent methyltransferase activity",4.34695199740488e-06,"ALKBH8/ANTKMT/ARMT1/ASMT/ATPSCKMT/BCDIN3D/CAMKMT/CARNMT1/CIAPIN1/CMTR2/COMT/COMTD1/COQ3/COQ5/CSKMT/DIMT1/DNMT1/DPH5/EEF1AKMT1/EEF1AKMT2/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT2/EMG1/FAM86B1/FAM86B2/FBL/FDXACB1/FTSJ1/FTSJ3/GAMT/GSTCD/HEMK1/HENMT1/HNMT/ICMT/INMT/KMT2C/KMT2D/KMT5B/KMT5C/LCMT1/LCMT2/MEPCE/METTL1/METTL13/METTL14/METTL15/METTL16/METTL17/METTL18/METTL21A/METTL23/METTL25/METTL25B/METTL26/METTL27/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MRM1/MRM2/MRM3/N6AMT1/NNMT/NOP2/NSUN2/NSUN5/NSUN5P1/NSUN5P2/NSUN6/NSUN7/NTMT1/PCIF1/PCMT1/PCMTD2/PEMT/PNMT/PRDM16/PRMT1/PRMT2/PRMT3/PRMT6/PRMT7/PRMT8/PRMT9/SETD3/SETD4/SETD6/SETDB2/SETMAR/SMS/SMYD2/SMYD3/SMYD5/SRM/SUV39H1/SUV39H2/TARBP1/TFB1M/TFB2M/TGS1/THUMPD3/TMT1A/TMT1B/TRMT1/TRMT10A/TRMT10B/TRMT10C/TRMT11/TRMT12/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMT9B/WDR5/ZCCHC4"
