"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","77/2429","138/9397",0.557971014492754,2.15860585557365,8.09514087061729,5.44873881317205e-14,1.8907123681707e-11,1.58873752763017e-11,"4713/10975/50617/29796/513/4717/1337/9296/521/4702/1329/27089/4718/4706/54539/522/51606/4716/1537/27068/4726/1345/126328/6392/4728/4712/4695/4700/506/374291/4711/7384/9377/155066/10063/4696/7386/518/6390/4714/55967/539/1351/51382/498/4708/245972/509/1353/1352/516/4725/10632/10476/4697/4709/4724/4704/9551/1347/64077/8992/4720/4723/4698/529/10312/6389/9550/267020/4715/4710/515/51079/4707/4722/54205",77
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","122/2429","271/9397",0.450184501845018,1.74161538239508,7.31398950675896,3.50938076264829e-12,6.08877562319478e-10,5.11630774343988e-10,"10382/4713/10975/9817/29796/513/4717/1337/4702/1329/27089/55630/91252/143471/4718/4706/6647/54539/522/4716/5688/23516/1537/11047/5071/1616/4726/1965/1345/126328/6392/4728/4712/4695/4700/6531/5707/5693/506/374291/4711/7384/9377/5567/291/5686/118424/10213/10383/7419/4696/7386/518/6390/805/7280/4714/29985/55967/539/5682/1351/498/4708/64116/815/509/5704/5701/5714/5708/64837/11315/7332/27429/516/5705/25800/4725/9246/4129/5691/10476/4697/25828/4709/5702/7416/4724/2770/65018/4704/1347/347733/5710/5694/4720/801/293/5689/4723/7494/836/5601/4698/1813/10376/6389/5719/90550/7277/4715/4710/84617/57181/515/51079/2774/4707/4722/4128/54205",122
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","153/2429","371/9397",0.412398921832884,1.5954354337026,6.90884033478332,3.07367252517643e-11,3.55521455412074e-09,2.98739399815394e-09,"10382/4713/10975/29796/513/7186/4717/1337/4702/1329/27089/572/143471/4718/4706/10280/6647/54539/522/30849/4716/5688/1537/11047/5071/1616/4726/1965/1345/126328/9542/6392/79023/2882/4728/4712/4695/4700/8878/5707/5693/506/374291/4711/7384/9377/29978/5686/1767/10213/10383/55860/4696/60673/7386/518/23636/6390/7280/4714/29107/55967/539/5682/1351/129401/498/4708/509/9973/55706/5704/6432/5701/375189/10452/5714/5708/64837/10126/60/71/5533/9217/57122/10133/310/9688/516/5705/4725/4842/5217/5691/10476/4697/4927/23279/9001/9776/116442/4709/5702/7416/4724/55746/65018/4704/1639/6311/23511/2733/1347/347733/5710/10540/7415/5694/2902/4720/10121/81631/5689/4723/7494/8480/836/5216/55916/4698/26100/400916/6396/10376/6389/1769/5719/90550/7277/4715/5606/4710/84617/23165/2066/515/51079/79139/79902/11258/4707/4722/54205",153
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","129/2429","311/9397",0.414790996784566,1.60468958286726,6.4026167389214,7.35076333851715e-10,6.37678719616363e-08,5.35831959149803e-08,"10382/5438/4713/10975/29796/513/7186/4717/1337/5441/4702/1329/27089/143471/4718/4706/6647/54539/1212/522/30849/4716/5688/1537/11047/5435/4726/1345/126328/6392/2882/4728/4712/4695/4700/5434/5707/10488/5693/506/374291/4711/7384/9377/291/5686/1767/10213/10383/7419/55860/9519/4696/60673/7386/518/6390/7280/4714/1211/55967/539/4899/5682/5437/1351/1173/498/4708/5440/509/148327/5704/5436/5701/5714/5708/64837/10126/516/5705/4725/3066/5691/10476/4697/9001/9776/4709/5702/7416/4724/3065/6908/4704/1639/1347/347733/5710/10540/5694/2902/4720/10121/293/55081/5689/4723/836/5601/6875/4698/26100/84699/10376/6389/1769/5719/7277/4715/4710/84617/515/51079/11258/4707/4722/1213/54205",129
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","103/2429","235/9397",0.438297872340426,1.69562993264017,6.37599898274059,1.11383752015218e-09,7.7300323898561e-08,6.49543143330848e-08,"28958/4713/10975/29796/25915/513/4717/1337/84987/521/4702/51241/1329/27089/3265/29078/284184/4718/4706/54539/388753/1376/522/3991/4716/64223/1537/4726/1345/126328/6392/4728/4712/4695/4700/51103/10488/506/86/374291/4711/7384/9377/5567/51287/10063/4696/7386/518/6390/788/4714/55967/51703/5564/539/1351/126129/498/4708/6009/509/148327/1386/1353/1352/60/71/6199/516/4725/2260/10632/7249/10476/4697/55471/4709/4724/4704/9551/6597/6603/1347/4720/4723/8193/6601/4698/84699/6389/267020/4715/5606/493753/6196/4710/2181/515/90639/51079/4707/4722",103
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","72/2429","154/9397",0.467532467532468,1.80872894088209,5.97431420066038,1.43191708708429e-08,7.74481305863684e-07,6.50785140980556e-07,"4832/102157402/29922/219/7358/55163/57026/122481/27430/84274/54995/79001/4337/7372/4833/8630/80308/79717/6470/29968/2937/2730/587/79799/326625/2235/51601/10201/10243/51109/50808/8836/200895/9054/4351/29925/51805/4830/349565/1352/4338/221264/53354/7389/55312/3145/387787/129607/51727/211/159/1738/5498/93100/124454/7390/2058/1728/10229/790/7360/1371/133686/80347/2990/80025/25902/5372/203/56474/493911/7364",72
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","114/2429","278/9397",0.410071942446043,1.58643311781205,5.86001150844523,1.57568469404316e-08,7.74481305863684e-07,6.50785140980556e-07,"10382/4713/10975/29796/513/4717/1337/4702/1329/27089/572/143471/4718/4706/6647/54539/522/4716/5688/6352/1537/3304/11047/10963/4726/1965/1345/126328/6392/4728/4712/4695/4700/2534/5707/10488/5693/506/374291/4711/7384/9377/5567/291/5686/10213/10383/7419/4696/7386/518/6390/730/7280/4714/55967/539/8503/5682/1351/1535/498/4708/509/3312/148327/1386/5704/5701/5714/5708/64837/5533/516/5705/4725/5691/10476/4697/731/4709/5702/7416/4724/4704/1347/347733/5710/5694/2902/4720/293/5689/4723/836/5601/4698/5621/84699/10376/6389/5719/90550/7277/4715/4710/84617/515/51079/733/4707/776/4722/54205",114
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","31/2429","48/9397",0.645833333333333,2.4985161932208,6.14512426678377,1.78554767922463e-08,7.74481305863684e-07,6.50785140980556e-07,"35/219/1892/11112/39/3155/4594/1962/34/26275/4329/587/84693/10449/5096/38/3712/3028/65985/594/223/56922/5095/5019/1738/3033/549/259307/593/27034/36",31
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","45/2429","83/9397",0.542168674698795,2.09747181397471,5.92919174183789,3.17603600384478e-08,1.22453832592682e-06,1.02896137200585e-06,"1891/196743/5193/8800/3418/84769/6647/3155/5264/9409/8504/26061/1962/10455/8799/5827/8310/1384/5192/11001/10005/51268/10478/5191/51703/11264/26063/5825/8443/5824/25824/5194/54677/92960/3417/283927/225/6342/5189/10654/4358/55825/8528/2181/5828",45
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","32/2429","55/9397",0.581818181818182,2.2508626819866,5.49290692031936,3.64962795658472e-07,1.2664209009349e-05,1.06415467786734e-05,"22845/146664/4247/54344/56052/10195/57171/1798/746/1603/29880/25834/3703/79053/6184/6185/85365/29929/207063/8818/1650/58505/8703/199857/7841/79087/4245/8704/57134/11253/6480/2530",32
