"Pathway","Adjusted_Pvalue","Genes"
"mitochondrial gene expression",7.45908566536211e-28,"AARS2/ALKBH1/AURKAIP1/C1QBP/CHCHD1/CHCHD10/COA3/DARS2/EARS2/ELAC2/FASTK/FASTKD1/FASTKD2/FASTKD3/GADD45GIP1/GATB/GFM1/GFM2/HSD17B10/IARS2/LARS2/MALSU1/METTL4/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL4/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTERF1/MTERF2/MTERF3/MTG1/MTG2/MTIF3/MTO1/MTRES1/NGRN/PNPT1/POLRMT/PTCD3/QRSL1/RARS2/RCC1L/RMND1/RPUSD3/TARS2/TBRG4/TEFM/TFB1M/TFB2M/THAP11/TRMT10C/TRMT5/TRMT61B/TRUB2/TUFM/UQCC2/WARS2/YARS2"
"mitochondrial translation",7.45908566536211e-28,"AARS2/ALKBH1/AURKAIP1/C1QBP/CHCHD1/COA3/DARS2/EARS2/FASTKD2/FASTKD3/GADD45GIP1/GATB/GFM1/GFM2/IARS2/LARS2/MALSU1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL4/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTG1/MTG2/MTIF3/NGRN/PTCD3/QRSL1/RARS2/RCC1L/RMND1/RPUSD3/TARS2/TRMT10C/TRUB2/TUFM/UQCC2/WARS2/YARS2"
"mitochondrial respirasome assembly",9.84071583604783e-21,"ACAD9/AIFM1/ATP23/ATP5F1D/ATPAF1/BCS1L/COA3/COA4/COA5/COA8/COX14/COX16/COX17/COX19/COX7A2/COX7A2P2/DMAC1/DMAC2/ECSIT/FASTKD3/FMC1/HIGD1A/HIGD1B/HIGD2A/LYRM2/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF4/NDUFAF7/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NUBPL/PET117/RAB5IF/SCO2/SDHAF1/SDHAF2/SDHAF3/SDHAF4/SMIM20/STMP1/SURF1/TIMM21/TMEM126A/TMEM126B/TMEM186/TMEM223/TMEM242/TMEM70/TTC19/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/UQCRFS1"
"mitochondrial respiratory chain complex assembly",1.00837351074177e-19,"ACAD9/AIFM1/BCS1L/CHCHD4/CHCHD7/COA3/COA4/COA5/COA8/COX14/COX16/COX17/COX19/DMAC1/DMAC2/ECSIT/FASTKD3/IMMP2L/LYRM2/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF4/NDUFAF7/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NUBPL/OMA1/PET117/SAMM50/SCO2/SDHAF1/SDHAF2/SDHAF3/SDHAF4/SMIM20/STMP1/SURF1/TIMM21/TMEM126A/TMEM126B/TMEM186/TMEM223/TTC19/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/UQCRFS1"
"mitochondrion organization",1.91980642846589e-18,"ABCC9/ACAA2/ACAD9/AIFM1/AIFM2/ALKBH7/AP3B1/APOO/ARMC1/ATAD3A/ATF2/ATP13A2/ATP23/ATP5F1D/ATP5IF1/ATPAF1/AURKA/BAD/BCS1L/BIK/BNIP3/BOK/CAMK2A/CAMKMT/CCAR2/CDKN2A/CEP89/CHCHD10/CHCHD2/CHCHD3/CHCHD4/CHCHD6/CHCHD7/CLPP/CLUH/CNP/COA3/COA4/COA5/COA8/COL6A1/COX10/COX14/COX16/COX17/COX19/COX7A2/COX7A2P2/CTCF/CXADR/DMAC1/DMAC2/DNAJA3/ECSIT/ENDOG/ERBB4/FAM162A/FANCG/FASTKD3/FEZ1/FMC1/FUNDC1/FZD9/GABPB1/GCLM/GGCT/GHITM/GOLPH3/HAP1/HIGD1A/HIGD1B/HIGD2A/HIP1R/HMGCL/HSD17B10/HSPA4/HTRA2/IFI27L2/IFI6/IMMP2L/IMMT/JTB/KDR/LETM1/LIPA/LMNA/LONP1/LYRM2/MAIP1/MCU/METTL4/MFF/MFSD14A/MFSD8/MGARP/MICOS10/MICOS13/MIEF2/MIGA2/MLLT11/MPV17/MTCH2/MTFP1/MTFR1L/MTX2/MUL1/MYH14/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF4/NDUFAF7/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NME3/NOA1/NPTX1/NUBPL/OMA1/OPA1/PANK2/PARK7/PARL/PARP1/PET117/PGAM5/PHB1/PINK1/PLD6/PMAIP1/PNPT1/POLDIP2/POLG/PRDX3/PRIMPOL/PRKN/PRMT6/PSMD10/RAB29/RAB5IF/RALA/RCC1L/RHOT2/ROMO1/RRM1/SAMM50/SCO2/SDHAF1/SDHAF2/SDHAF3/SDHAF4/SHARPIN/SIRT4/SIRT5/SLC25A4/SLC25A6/SLC30A9/SLIRP/SMIM20/SPIRE1/SQSTM1/STMP1/STOML2/STOX1/STPG1/SURF1/TIMM13/TIMM21/TIMM22/TIMM29/TIMM50/TIMM8B/TIMM9/TMEM102/TMEM11/TMEM126A/TMEM126B/TMEM14A/TMEM186/TMEM223/TMEM242/TMEM70/TOMM40/TRIAP1/TTC19/UCP2/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/UQCRFS1/VAT1/VPS35/WDR81/YME1L1/ZDHHC6"
"cellular respiration",8.90760750689672e-17,"ABCC9/ACO1/ACO2/ACTN3/AIFM2/ANTKMT/ARL2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5IF1/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PF/ATP5PO/BNIP3/CCNB1/CHCHD10/CHCHD2/CHCHD4/CHCHD5/CISD1/COA6/COL6A1/COQ10A/COQ10B/COQ9/COX10/COX5A/COX5B/COX6A1/COX6C/COX7A2/COX7A2P2/COX8A/CSKMT/CYC1/CYCS/DGUOK/DLAT/DLD/DNAJC15/DNAJC30/ETFA/ETFRF1/FH/GHITM/HCCS/IDE/IDH1/IDH2/IDH3B/IFNG/IFNLR1/IMMP2L/ISCU/KGD4/MDH1/MDH1B/MDH2/MFSD8/MLXIPL/MSH2/MTFR1L/MTLN/MYBBP1A/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NNT/NOP53/OAS1/OPN3/PANK2/PARK7/PDHA1/PDHB/PINK1/PNPT1/SCO2/SDHA/SDHAF2/SDHAF4/SDHB/SDHD/SIRT3/SLC25A12/SLC25A22/SLC25A23/SLC25A25/SLC35A4/STOML2/SUCLA2/SUCLG1/SURF1/TEFM/UCN/UQCC2/UQCC3/UQCR10/UQCR11/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRQ/VCP"
"tRNA metabolic process",1.35169301801036e-16,"AARS1/AARS2/ADAT3/ALKBH1/ALKBH8/ANKRD16/BCDIN3D/CARS1/CDKAL1/CTU1/CTU2/DALRD3/DARS1/DARS2/DDX1/DPH3/DTD1/DTWD1/DUS1L/EARS2/ELAC1/ELAC2/ELP3/ELP4/ELP5/ELP6/EPRS1/EXOSC10/EXOSC3/EXOSC8/FARS2/FARSA/FARSB/FTSJ1/GATB/GON7/GRSF1/GTDC1/GTF3C1/GTF3C2/GTF3C5/GTF3C6/GTPBP3/HSD17B10/IARS2/KARS1/KTI12/LAGE3/LARS2/LCMT2/LRRC47/LSM6/METTL1/METTL2A/METTL6/MOCS3/MTFMT/MTO1/NARS1/NARS2/NAT10/NSUN2/OSGEPL1/PARS2/POLR2E/POLR2F/POLR2L/POLR3A/POP1/POP4/POP5/POP7/PUS3/PUS7/PUSL1/QNG1/QRSL1/QTRT1/RARS1/RARS2/RPP25/RPP25L/RPP38/RPP40/RTCB/RTRAF/SARS1/SSB/TARS1/TARS2/TARS3/THADA/TP53RK/TPRKB/TRMT1/TRMT10A/TRMT10C/TRMT11/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRPT1/TRUB1/TRUB2/TSEN15/TSEN2/TSEN54/TYW1/TYW1B/VARS1/WARS2/WDR4/YARS1/YARS2"
"aerobic respiration",3.7369536347452e-15,"ACO1/ACO2/ACTN3/ANTKMT/ARL2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5IF1/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PF/ATP5PO/BNIP3/CCNB1/CHCHD10/CHCHD2/COA6/COL6A1/COQ9/COX10/COX5A/COX5B/COX6A1/COX6C/COX7A2/COX7A2P2/COX8A/CSKMT/CYC1/CYCS/DGUOK/DLAT/DLD/DNAJC15/DNAJC30/FH/GHITM/IDE/IDH1/IDH2/IDH3B/ISCU/KGD4/MDH1/MDH1B/MDH2/MLXIPL/MSH2/MTFR1L/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NNT/NOP53/PANK2/PARK7/PDHA1/PDHB/PINK1/SDHA/SDHAF2/SDHAF4/SDHB/SDHD/SIRT3/SLC25A23/STOML2/SUCLA2/SUCLG1/SURF1/TEFM/UCN/UQCC2/UQCC3/UQCR10/UQCR11/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRQ/VCP"
"nucleoside phosphate biosynthetic process",5.404883426438e-15,"ACAT1/ACLY/ACOT7/ACSL3/ACSL5/ACSS1/ADA/ADK/ADSS2/AK1/AK3/AK6/AK7/AK9/AMDHD2/ANTKMT/APRT/ATIC/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5IF1/ATP5MC1/ATP5MC3/ATP5ME/ATP5MF/ATP5MG/ATP5MGL/ATP5MJ/ATP5MK/ATP5PB/ATP5PD/ATP5PF/ATP5PO/BCKDK/CAD/CMAS/CMPK1/CMPK2/COASY/COX11/CTPS2/DCAKD/DCK/DCTD/DGUOK/DLAT/DLD/DNAJC30/DTYMK/DUT/ELOVL1/ELOVL4/ENO1/FLAD1/FPGT/GART/GCDH/GFPT2/GFUS/GMDS/GMPPB/GMPS/GNPDA1/GUK1/HACD2/HK1/HPRT1/KARS1/LIPA/ME1/MMUT/MPC2/MPI/NADK2/NAPRT/NAXD/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NME1/NME3/NME4/NME5/NME6/NME7/NMNAT3/NMRK1/NPPC/PANK1/PANK2/PANK4/PARP1/PARP10/PARP16/PDHA1/PDHB/PDHX/PDK2/PDK4/PFAS/PINK1/PMM1/PPAT/PPCS/PPT2/PRPS2/PRPSAP1/PRPSAP2/RFK/RRM1/RRM2/SDHA/SDHB/SDHD/SHMT1/SLC27A2/SLC35C1/SLC5A8/SPHK2/STOML2/TBPL1/TECR/TK1/TMSB4X/UAP1/UCK1/UCK2/UCKL1/UGDH/UGP2/UMPS/UPRT/UQCC3/UXS1/VCP"
"nucleoside triphosphate biosynthetic process",3.90301571104789e-13,"ADK/AK1/AK3/ANTKMT/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5IF1/ATP5MC1/ATP5MC3/ATP5ME/ATP5MF/ATP5MG/ATP5MGL/ATP5MJ/ATP5MK/ATP5PB/ATP5PD/ATP5PF/ATP5PO/CMPK2/COX11/CTPS2/DNAJC30/DTYMK/ENO1/LIPA/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NME1/NME3/NME4/NME5/NME6/NME7/PARP1/PINK1/SDHA/SDHB/SDHD/SPHK2/STOML2/TBPL1/TMSB4X/UCK1/UCK2/UCKL1/UQCC3/VCP"
