"Pathway","Adjusted_Pvalue","Genes"
"organellar ribosome",1.32015340402139e-24,"AURKAIP1/CHCHD1/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL4/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTG1/MTG2/PTCD3"
"mitochondrial ribosome",1.32015340402139e-24,"AURKAIP1/CHCHD1/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL4/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTG1/MTG2/PTCD3"
"T cell receptor complex",1.41459059054402e-22,"CD3D/CD3E/CD3G/CD4/CD6/CD8A/CD8B/SKAP1/TRAC/TRAT1/TRAV1-1/TRAV1-2/TRAV10/TRAV12-2/TRAV12-3/TRAV13-1/TRAV13-2/TRAV14DV4/TRAV16/TRAV17/TRAV18/TRAV19/TRAV20/TRAV21/TRAV22/TRAV23DV6/TRAV24/TRAV26-1/TRAV26-2/TRAV27/TRAV29DV5/TRAV3/TRAV30/TRAV34/TRAV35/TRAV36DV7/TRAV38-1/TRAV38-2DV8/TRAV39/TRAV4/TRAV40/TRAV41/TRAV5/TRAV6/TRAV8-1/TRAV8-2/TRAV8-3/TRAV8-4/TRAV8-6/TRAV9-2/TRBC1/TRBC2/TRBD1/TRBJ1-1/TRBJ2-2/TRBJ2-3/TRBJ2-4/TRBJ2-5/TRBJ2-6/TRBJ2-7/TRBV10-1/TRBV10-3/TRBV11-2/TRBV11-3/TRBV12-3/TRBV12-4/TRBV13/TRBV16/TRBV19/TRBV20-1/TRBV23-1/TRBV24-1/TRBV25-1/TRBV27/TRBV3-1/TRBV30/TRBV4-1/TRBV4-2/TRBV5-1/TRBV5-3/TRBV5-4/TRBV5-5/TRBV5-6/TRBV5-7/TRBV6-1/TRBV6-4/TRBV6-5/TRBV6-6/TRBV6-8/TRBV7-3/TRBV7-4/TRBV7-6/TRBV7-9/TRBV9/TRDV1/TRDV2/TRGC2/TRGV11/TRGV2/TRGV3/TRGV4/TRGV5/TRGV8/TRGV9"
"mitochondrial protein-containing complex",1.7515958965887e-22,"APOO/AURKAIP1/CHCHD1/CHCHD10/CHCHD3/CHCHD6/CLPX/DNAJC15/DNAJC19/GADD45GIP1/HSD17B10/IMMP2L/IMMT/ISCA2/ISCU/MCU/MCUB/MICOS10/MICOS13/MICU2/MPC1/MPC2/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL4/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTX2/NDUFAB1/NFS1/PDSS2/PHB1/PMPCA/PNPT1/POLG/POLRMT/PTCD3/ROMO1/SAMM50/SLC25A4/SLC25A6/SMDT1/TIMM13/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM29/TIMM50/TIMM8B/TIMM9/TOMM40/TRMT10C/VDAC1"
"organellar large ribosomal subunit",1.46120980218409e-15,"GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL4/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS18A/MRPS30"
"mitochondrial large ribosomal subunit",1.46120980218409e-15,"GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL4/MRPL40/MRPL41/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL55/MRPL57/MRPL58/MRPS18A/MRPS30"
"respiratory chain complex",2.05893679151076e-10,"ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MC1/ATP5MC3/ATP5ME/ATP5MF/ATP5MG/ATP5MJ/ATP5MK/ATP5PB/ATP5PD/ATP5PF/ATP5PO/BCS1L/COX5A/COX5B/COX6A1/COX7A2/COX7A2P2/COX8A/CYC1/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NNT/SDHA/SDHB/SDHD/STMP1/SURF1/UQCR10/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRQ/WDR93"
"plasma membrane signaling receptor complex",3.66236517971674e-09,"ABHD12/ABHD6/ACVRL1/B2M/BIRC2/BMP2/BMPR1A/CD3D/CD3E/CD3G/CD4/CD6/CD8A/CD8B/CHRNA5/CHRNA6/CHRNB1/CHRNG/CNIH3/CPT1C/DLG3/DRD2/EMILIN1/ERBB3/GRID2/GRIK2/GRIK3/GRIN1/HTRA2/IFNL1/IFNLR1/IGHE/IL23R/IL2RA/IL2RB/ITGA1/ITGA3/ITGA8/ITGAE/ITGB1/ITGB6/ITGB7/LIME1/OLFM2/PORCN/RAMP1/SHISA8/SHISA9/SKAP1/TFR2/TGFBR2/TMIGD2/TRAC/TRAF2/TRAT1/TRAV1-1/TRAV1-2/TRAV10/TRAV12-2/TRAV12-3/TRAV13-1/TRAV13-2/TRAV14DV4/TRAV16/TRAV17/TRAV18/TRAV19/TRAV20/TRAV21/TRAV22/TRAV23DV6/TRAV24/TRAV26-1/TRAV26-2/TRAV27/TRAV29DV5/TRAV3/TRAV30/TRAV34/TRAV35/TRAV36DV7/TRAV38-1/TRAV38-2DV8/TRAV39/TRAV4/TRAV40/TRAV41/TRAV5/TRAV6/TRAV8-1/TRAV8-2/TRAV8-3/TRAV8-4/TRAV8-6/TRAV9-2/TRBC1/TRBC2/TRBD1/TRBJ1-1/TRBJ2-2/TRBJ2-3/TRBJ2-4/TRBJ2-5/TRBJ2-6/TRBJ2-7/TRBV10-1/TRBV10-3/TRBV11-2/TRBV11-3/TRBV12-3/TRBV12-4/TRBV13/TRBV16/TRBV19/TRBV20-1/TRBV23-1/TRBV24-1/TRBV25-1/TRBV27/TRBV3-1/TRBV30/TRBV4-1/TRBV4-2/TRBV5-1/TRBV5-3/TRBV5-4/TRBV5-5/TRBV5-6/TRBV5-7/TRBV6-1/TRBV6-4/TRBV6-5/TRBV6-6/TRBV6-8/TRBV7-3/TRBV7-4/TRBV7-6/TRBV7-9/TRBV9/TRDV1/TRDV2/TRGC2/TRGV11/TRGV2/TRGV3/TRGV4/TRGV5/TRGV8/TRGV9"
"organellar small ribosomal subunit",7.75960127744974e-08,"AURKAIP1/CHCHD1/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS26/MRPS27/MRPS28/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/PTCD3"
"mitochondrial small ribosomal subunit",7.75960127744974e-08,"AURKAIP1/CHCHD1/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS26/MRPS27/MRPS28/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/PTCD3"
