"Pathway","Adjusted_Pvalue","Genes"
"catalytic activity, acting on RNA",3.89594409721464e-10,"AARS1/AARS2/ALKBH1/ALKBH3/ALKBH5/ALKBH8/ANKZF1/BCDIN3D/BUD23/CARS1/CDKAL1/CMTR2/CNOT7/CNOT8/CPSF3/DALRD3/DARS1/DARS2/DBR1/DDX1/DDX10/DDX20/DDX23/DDX28/DDX31/DDX4/DDX49/DDX50/DDX54/DDX56/DDX59/DDX60/DHX16/DHX29/DHX30/DHX32/DHX58/DIMT1/DIS3L/DTD1/DTWD1/DUS1L/EARS2/EIF4A3/ELAC1/ELAC2/EMG1/ENDOG/ENDOV/EPRS1/ERI1/ERI3/EXD2/EXOSC10/EXOSC3/EXOSC5/FARS2/FARSA/FARSB/FDXACB1/FEN1/FTO/FTSJ1/FTSJ3/G3BP1/GATB/GGT5/GTDC1/HENMT1/IARS2/IFIH1/IGHMBP2/INTS11/ISG20/KARS1/LACTB2/LARS2/LCMT2/LRRC47/MBLAC1/MED20/METTL1/METTL14/METTL15/METTL15P1/METTL2A/METTL4/METTL5/METTL6/MOV10/MOV10L1/MRM1/MRM3/MRPL58/MTFMT/MTREX/NARS1/NARS2/NSUN2/NSUN5/PARN/PARS2/PCIF1/PIWIL1/PLD6/PNLDC1/PNPT1/POLR1B/POLR1C/POLR1H/POLR2E/POLR2F/POLR2H/POLR2I/POLR2K/POLR2L/POLR3A/POLR3B/POLR3C/POLR3H/POLR3K/POLRMT/POP1/POP4/POP5/POP7/PRIM1/PRIMPOL/PTRH1/PTRHD1/PUS3/PUS7/PUSL1/QRSL1/QTRT1/RAD54B/RARS1/RARS2/RCL1/REXO2/RIDA/RLIG1/RNASE4/RNASEH2A/RNGTT/RPP25/RPP38/RPP40/RTCB/SARS1/SND1/TARS1/TARS2/TARS3/TFB1M/TFB2M/TGS1/TRMT1/TRMT10A/TRMT10C/TRMT11/TRMT13/TRMT1L/TRMT2A/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRPT1/TRUB1/TRUB2/TSEN2/TSNAX/TSR3/TUT1/TYW1/TYW1B/UPF1/VARS1/WARS2/YARS1/YARS2/ZC3H12A/ZCCHC4"
"catalytic activity, acting on a tRNA",3.89594409721464e-10,"AARS1/AARS2/ALKBH1/ALKBH8/ANKZF1/BCDIN3D/CARS1/CDKAL1/DALRD3/DARS1/DARS2/DTD1/DTWD1/DUS1L/EARS2/ELAC1/ELAC2/EPRS1/FARS2/FARSA/FARSB/FTO/FTSJ1/GATB/GGT5/GTDC1/IARS2/KARS1/LARS2/LCMT2/LRRC47/METTL1/METTL2A/METTL6/MRPL58/MTFMT/NARS1/NARS2/NSUN2/PARS2/POP1/POP4/POP5/POP7/PTRH1/PTRHD1/PUS3/PUS7/PUSL1/QRSL1/QTRT1/RARS1/RARS2/RPP25/RPP38/RPP40/SARS1/TARS1/TARS2/TARS3/TRMT1/TRMT10A/TRMT10C/TRMT11/TRMT13/TRMT1L/TRMT2A/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRPT1/TRUB1/TRUB2/TSEN2/TYW1/TYW1B/VARS1/WARS2/YARS1/YARS2"
"ligase activity",5.89652272094365e-08,"AACS/AARS1/AARS2/AASDH/ACSL3/ACSL5/ACSM4/ACSS1/ADSS2/AK3/ASNSD1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5MGL/ATP5PB/ATP5PD/ATP5PF/ATP5PO/BTRC/CAD/CARS1/CTPS2/DALRD3/DARS1/DARS2/EARS2/EPRS1/FARS2/FARSA/FARSB/GART/GATB/GCLM/GHDC/GMPS/GSS/HLCS/IARS2/KARS1/LARS2/LIPT2/LRRC47/MCCC1/MOCS3/MTHFD1L/MTHFS/NAE1/NAPRT/NARS1/NARS2/PARS2/PCCA/PCCB/PFAS/PPCS/QRSL1/RARS1/RARS2/RIMKLA/RLIG1/RTCB/SAE1/SARS1/SLC27A1/SLC27A2/SLC27A4/SLC27A5/SUCLA2/SUCLG1/TARS1/TARS2/TARS3/TPGS1/TTLL1/TTLL10/TTLL5/TTLL7/UBA2/UBA3/UBA5/VARS1/WARS2/YARS1/YARS2"
"electron transfer activity",8.08960015477998e-06,"ADH5/AIFM2/AKR1B1/AKR7A2/CIAPIN1/COX11/COX5A/COX5B/COX8A/CYB5A/CYBA/CYC1/CYCS/DEGS1/DMGDH/ETFA/FDX1/FDX2/GFUS/HSD17B6/IDH3B/MAOB/ME1/NDOR1/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/PHGDH/QDPR/SDHA/SDHB/SDHD/SURF1/UQCR10/UQCR11/UQCRC1/UQCRFS1/UQCRFS1P1"
"transferase activity, transferring one-carbon groups",4.2635482967424e-05,"ALKBH8/ANTKMT/ARMT1/ASMTL/ATIC/BCDIN3D/BUD23/CAD/CAMKMT/CARNMT1/CMTR2/COMT/COMTD1/COQ3/COQ5/CSKMT/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT2/EMG1/FAM86C2P/FDXACB1/FTSJ1/FTSJ3/GAMT/GART/GATM/GCSH/HENMT1/ICMT/KMT5C/LCMT1/LCMT2/METTL1/METTL13/METTL14/METTL15/METTL15P1/METTL18/METTL21A/METTL23/METTL24/METTL25/METTL2A/METTL4/METTL5/METTL6/MGMT/MRM1/MRM3/MTFMT/N6AMT1/NDUFAF7/NSUN2/NSUN5/NTMT1/NTMT2/OTC/PCIF1/PCMT1/PEMT/PNMT/PRDM12/PRDM13/PRDM14/PRMT1/PRMT2/PRMT3/PRMT5/PRMT6/PRMT7/PRMT9/SETD3/SETD4/SETDB2/SETMAR/SHMT1/SMYD2/SMYD3/SMYD4/SUV39H1/TFB1M/TFB2M/TGS1/TRMT1/TRMT10A/TRMT10C/TRMT11/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT44/TRMT5/TRMT61A/TRMT61B/ZCCHC4"
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",5.16959585680066e-05,"AIFM2/CBR1/CBR3/CRYZ/CRYZL1/DCXR/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NQO1/RTN4IP1"
"aminoacyl-tRNA ligase activity",5.16959585680066e-05,"AARS1/AARS2/CARS1/DALRD3/DARS1/DARS2/EARS2/EPRS1/FARS2/FARSA/FARSB/IARS2/KARS1/LARS2/LRRC47/NARS1/NARS2/PARS2/RARS1/RARS2/SARS1/TARS1/TARS2/TARS3/VARS1/WARS2/YARS1/YARS2"
"NADH dehydrogenase (ubiquinone) activity",5.16959585680066e-05,"NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1"
"ligase activity, forming carbon-oxygen bonds",5.16959585680066e-05,"AARS1/AARS2/CARS1/DALRD3/DARS1/DARS2/EARS2/EPRS1/FARS2/FARSA/FARSB/IARS2/KARS1/LARS2/LRRC47/NARS1/NARS2/PARS2/RARS1/RARS2/SARS1/TARS1/TARS2/TARS3/VARS1/WARS2/YARS1/YARS2"
"oxidoreduction-driven active transmembrane transporter activity",6.99082541138171e-05,"COX5A/COX5B/COX8A/CYB561D2/CYB5A/CYC1/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC1/NDUFC2/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NNT/SURF1/UQCR10/UQCRC1/UQCRFS1/UQCRFS1P1"
