"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","29/543","138/9397",0.210144927536232,3.63670696879921,7.72717998607918,8.51854462065184e-10,2.74297136784989e-07,2.43002693915437e-07,"29796/10975/4713/521/9296/1337/4702/27089/4718/4717/513/4706/1329/50617/4711/6392/54539/522/1345/4716/9377/374291/27068/1537/7386/506/518/4728/155066",29
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","37/543","235/9397",0.157446808510638,2.72472865483327,6.630728202449,1.93767419903443e-08,3.11965546044544e-06,2.76373530493858e-06,"28958/29796/10975/4713/25915/521/51241/84987/1337/4702/27089/3265/4718/4717/29078/513/4706/1329/284184/1376/388753/4711/6392/54539/522/1345/4716/9377/374291/64223/1537/86/5567/7386/506/518/4728",37
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","37/543","271/9397",0.136531365313653,2.36277208075948,5.6372760321983,8.02480364980294e-07,8.61328925078849e-05,7.63060276875999e-05,"10382/29796/9817/10975/4713/1337/143471/4702/27089/4718/4717/513/4706/1329/6647/1965/4711/6392/54539/522/1345/4128/5688/4716/55630/9377/374291/91252/1537/5686/10213/5567/7386/506/518/4728/1616",37
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","18/543","85/9397",0.211764705882353,3.66473838154046,6.11144934660782,1.24754380344005e-06,0.000100427276176924,8.89695712453298e-05,"4832/102157402/29922/79077/115024/1716/122481/1633/30833/353/51020/132/2987/1841/4833/6240/3251/4907",18
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","13/543","48/9397",0.270833333333333,4.68696286065071,6.34174042312975,2.05967520117661e-06,0.000120602634219485,0.000106843131328802,"219/35/39/1892/11112/4329/1962/34/3155/4594/26275/10449/38",13
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","32/543","227/9397",0.140969162995595,2.43957131615028,5.4370472276805,2.24725405377923e-06,0.000120602634219485,0.000106843131328802,"29796/9817/10975/4713/873/1337/4702/27089/3265/4718/4717/513/4706/572/1329/6647/4259/4711/6392/54539/522/1345/4716/9377/374291/1537/7386/506/10861/518/4728/1728",32
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","14/543","57/9397",0.245614035087719,4.25052502342412,6.09563793941347,2.99675500948707e-06,0.000137850730436405,0.000122123399634736,"7923/35/9524/39/1892/51495/54995/1376/79966/1962/34/27349/10449/38",14
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","12/543","43/9397",0.27906976744186,4.82950019272774,6.23274416417452,3.61456944329032e-06,0.000145486420092435,0.000128887936727852,"1632/219/35/39/1892/1376/1962/34/10455/2639/10449/38",12
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/543","47/9397",0.25531914893617,4.41847889972963,5.81805318739121,9.95461030977879e-06,0.000285584293284276,0.000253002103563383,"219/39/5162/3945/2739/3029/4190/98/4191/1737/38/3939",12
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","35/543","278/9397",0.12589928057554,2.1787763159638,4.940624543997,1.02066637077151e-05,0.000285584293284276,0.000253002103563383,"10382/29796/10975/4713/1337/143471/4702/27089/4718/4717/513/4706/572/1329/6647/1965/4711/6392/54539/522/1345/5688/4716/9377/374291/1537/5686/10213/5567/7386/10963/506/6352/518/4728",35
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","24/543","157/9397",0.152866242038217,2.64545870429672,5.14875809766084,1.05507138456998e-05,0.000285584293284276,0.000253002103563383,"29796/10975/4713/7186/1337/4702/27089/4718/4717/4706/1329/356/1965/4711/6392/54539/1345/4716/840/9377/374291/1537/7386/4728",24
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","20/543","117/9397",0.170940170940171,2.95824085879334,5.27821055334921,1.06428929174264e-05,0.000285584293284276,0.000253002103563383,"35/2806/39/1892/3418/2805/8803/5162/4329/5634/6392/4594/4190/26275/4191/26227/1737/29968/5211/38",20
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","16/543","83/9397",0.192771084337349,3.33604029377177,5.29362190753008,1.72603186320042e-05,0.000407100629143204,0.000360654692702871,"1891/8800/3418/5193/6647/8504/26061/84769/1962/5192/5191/3155/10455/8799/5264/11001",16
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","28/543","205/9397",0.136585365853659,2.36370659839195,4.88871280356186,1.77000273540523e-05,0.000407100629143204,0.000360654692702871,"29796/10975/4713/1337/4702/27089/4718/4717/513/5162/4706/1329/5164/1376/4711/2997/6392/54539/522/1345/4716/9377/374291/1537/7386/506/518/4728",28
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","13/543","58/9397",0.224137931034483,3.87886581571093,5.44611605697034,1.97551794176286e-05,0.000417313824071966,0.000369702668595955,"4832/29922/79077/1807/115024/7372/1633/30833/51020/1841/4833/6240/4907",13
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","37/543","311/9397",0.118971061093248,2.05887856554926,4.70263904562563,2.07360906371163e-05,0.000417313824071966,0.000369702668595955,"5438/10382/29796/10975/4713/7186/1337/143471/4702/27089/4718/4717/513/4706/1329/5441/6647/4711/2882/6392/54539/522/1345/5688/4716/9377/374291/1537/5686/10213/30849/7386/60673/506/518/4728/1212",37
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","9/543","32/9397",0.28125,4.86723066298343,5.42653782930023,5.68697058943816e-05,0.00107717913517593,0.000954284228939778,"35/1892/8803/3945/4329/1962/4594/26275/3939",9
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","7/543","20/9397",0.35,6.05699815837937,5.60631499575084,8.28495078075889e-05,0.00148208563966909,0.0013129951237343,"1717/6307/7108/2222/50814/1595/10682",7
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","40/543","371/9397",0.107816711590297,1.86584463869985,4.21386795378787,9.25189544408501e-05,0.00156795280683967,0.00138906574257454,"10382/29796/10975/4713/7186/1337/143471/4702/27089/4718/4717/513/4706/572/1329/6647/79023/1965/4711/2882/10280/6392/54539/522/1345/5688/4716/9377/374291/1537/5686/10213/30849/7386/60673/29978/506/518/4728/1616",40
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","19/543","128/9397",0.1484375,2.56881618324125,4.42549917833427,0.000129960269118583,0.00209236033280919,0.00185364383848084,"4832/102157402/29922/1716/122481/5147/1633/30833/353/51020/2618/5634/132/2987/374659/4833/6240/3251/4907",19
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","11/543","52/9397",0.211538461538462,3.66082306275676,4.76463542221971,0.000149821791566976,0.00229726747069363,0.00203517320875441,"6723/2806/2805/3945/27430/4190/4191/2937/26227/29968/3939",11
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","21/543","154/9397",0.136363636363636,2.3598694123556,4.21359460410378,0.000200631066420202,0.0029365092448775,0.00260148416267343,"4832/102157402/29922/219/55163/7358/84274/122481/54995/7372/27430/4337/79799/51601/80308/79001/4833/2937/79717/29968/1728",21
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","11/543","55/9397",0.2,3.46114180478821,4.53314604149441,0.000253500758847364,0.00354901062386309,0.00314410552163092,"8940/29089/5889/9894/6119/378708/2178/80198/6118/84126/2188",11
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","40/543","391/9397",0.10230179028133,1.77040501523694,3.8533917988224,0.000284040994133945,0.00381088333796376,0.0033761012899254,"8772/10382/29796/10975/4713/7186/1337/143471/4702/27089/3265/4718/4717/513/4706/572/1329/1965/4711/6392/54539/522/1345/5688/4716/55630/840/9377/374291/91252/1537/5686/10213/30849/7386/60673/506/518/80326/4728",40
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","8/543","36/9397",0.222222222222222,3.84571311643135,4.23626289102089,0.000846398225308522,0.0106238167853658,0.00941175007791475,"5424/4172/6119/5111/6118/56655/4175/5984",8
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","11/543","63/9397",0.174603174603175,3.02163173433892,3.98694351400206,0.00085782371558854,0.0106238167853658,0.00941175007791475,"5438/5424/5441/9978/6119/5111/6118/56655/4331/5984/5886",11
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","10/543","55/9397",0.181818181818182,3.14649254980747,3.95359754822997,0.00105683167832905,0.0126036963119243,0.0111657459971608,"4247/22845/56052/54344/10195/146664/1798/57171/29880/79053",10
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","7/543","30/9397",0.233333333333333,4.03799877225292,4.12714399234444,0.0013131964449721,0.0151017591171792,0.0133788058867459,"3418/8803/5162/6392/4190/4191/1737",7
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","6/543","23/9397",0.260869565217391,4.51453278885419,4.17898394703329,0.00156938954657173,0.0173141033865007,0.0153387447458048,"5424/6119/5111/6118/4436/5984",6
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","7/543","31/9397",0.225806451612903,3.90774074734153,4.01569863201623,0.00161311522234479,0.0173141033865007,0.0153387447458048,"219/35/1807/1892/4329/1962/26275",7
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","9/543","50/9397",0.18,3.11502762430939,3.71335598122373,0.00200480033468956,0.020824055089356,0.018448247561999,"65263/6723/219/2806/2805/26/2593/4128/5832",9
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","8/543","41/9397",0.195121951219512,3.3767237119885,3.77682777155363,0.00207190611220312,0.0208485552540439,0.0184699525133897,"8940/5889/5424/9577/5890/6119/80198/6118",8
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","8/543","42/9397",0.19047619047619,3.29632552836973,3.69349795774434,0.00243267481973437,0.023737008847105,0.0210288636729829,"219/39/1892/26/1962/4128/2639/38",8
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","43/543","483/9397",0.0890269151138716,1.54067388825976,3.02116403764006,0.00289836809384057,0.0274492507710783,0.0243175775055973,"8772/10382/29796/10975/4713/7186/1337/143471/4702/27089/3265/4718/4717/513/4706/572/1329/6647/356/1965/4711/2882/10280/6392/54539/522/1345/5688/4716/840/9377/374291/1537/5686/10213/30849/7386/60673/506/518/80326/4728/1616",43
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","8/543","44/9397",0.181818181818182,3.14649254980747,3.5341250841681,0.00330048431855494,0.0303644557307055,0.0269001879798012,"7374/5424/4350/5111/55775/56655/4913/5984",8
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","11/543","75/9397",0.146666666666667,2.53817065684469,3.31193850717713,0.00364954508820282,0.0326431532889252,0.0289189099094434,"65263/2806/162417/3418/2805/27430/5634/5832/26227/29968/5211",11
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","6/543","27/9397",0.222222222222222,3.84571311643135,3.66694893633737,0.00377945327798587,0.0328914582570662,0.0291388858701044,"35/39/1892/1962/3155/38",6
