"Pathway","Adjusted_Pvalue","Genes"
"mitochondrial gene expression",4.39769157087246e-20,"ALKBH1/AURKAIP1/C1QBP/COA3/DARS2/FASTK/FASTKD3/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS11/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7/MTERF3/MTO1/PNPT1/POLRMT/RCC1L/RPUSD3/TBRG4/TFB1M/THAP11/TRMT10C/TRMT5/YARS2"
"mitochondrial translation",2.94769194866896e-18,"ALKBH1/AURKAIP1/C1QBP/COA3/DARS2/FASTKD3/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS11/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7/RCC1L/RPUSD3/TRMT10C/YARS2"
"cellular respiration",4.24513266375228e-12,"ANTKMT/ARL2/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/CHCHD4/CHCHD5/CISD1/COA6/COL6A1/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DLAT/DNAJC30/HCCS/IDH2/MDH1/MDH2/MSH2/MTCO2P12/MTLN/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/OPN3/PDHB/PNPT1/SCO2/SDHAF2/SDHD/SLC25A22/SLC25A23/SLC35A4/STOML2/SUCLA2/UCN/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ"
"mitochondrion organization",4.24513266375228e-12,"ACAA2/ALKBH7/APOO/ARMC1/ATP13A2/ATP23/ATP5F1D/ATP5IF1/ATPAF1/AURKA/BAD/CAMKMT/CHCHD4/CLPP/COA3/COA8/COL6A1/COX14/COX16/DMAC1/DMAC2/DNAJA3/ENDOG/FASTKD3/FMC1/HIGD1A/HMGCL/IFI27L2/JTB/LMNA/MICOS13/MIEF2/MTCH2/MTX2/NDUFA8/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/NME3/NOA1/PARL/PNPT1/PRMT6/PSMD10/RALA/RCC1L/RHOT2/ROMO1/RRM1/SAMM50/SCO2/SDHAF1/SDHAF2/SDHAF3/SHARPIN/SIRT4/STOML2/STPG1/TIMM13/TIMM21/TIMM22/TIMM8B/TMEM102/TMEM14A/TMEM223/UQCC3/UQCC4/UQCC6/UQCRFS1/VAT1"
"mitochondrial respirasome assembly",9.39116188553406e-12,"ATP23/ATP5F1D/ATPAF1/COA3/COA8/COX14/COX16/DMAC1/DMAC2/FASTKD3/FMC1/HIGD1A/NDUFA8/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/SCO2/SDHAF1/SDHAF2/SDHAF3/TIMM21/TMEM223/UQCC3/UQCC4/UQCC6/UQCRFS1"
"mitochondrial respiratory chain complex assembly",7.53210700033702e-11,"CHCHD4/COA3/COA8/COX14/COX16/DMAC1/DMAC2/FASTKD3/NDUFA8/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/SAMM50/SCO2/SDHAF1/SDHAF2/SDHAF3/TIMM21/TMEM223/UQCC3/UQCC4/UQCC6/UQCRFS1"
"aerobic respiration",3.21417889278902e-10,"ANTKMT/ARL2/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/COA6/COL6A1/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DLAT/DNAJC30/IDH2/MDH1/MDH2/MSH2/MTCO2P12/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/PDHB/SDHAF2/SDHD/SLC25A23/STOML2/SUCLA2/UCN/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ"
"oxidative phosphorylation",6.83351505509878e-09,"ANTKMT/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/COA6/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DNAJC30/MSH2/MTCO2P12/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/SDHAF2/SDHD/SLC25A23/STOML2/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ"
"ribosome biogenesis",1.36666710234948e-08,"ABT1/AK6/BOP1/C1QBP/DDX28/DHX30/DIMT1/EBNA1BP2/EFL1/EIF4A3/EXOSC1/EXOSC5/FDXACB1/GEMIN4/GRWD1/GTF3A/IMP3/IMP4/LYAR/MCAT/METTL18/METTL5/MPV17L2/MRM1/MRM3/MRPS2/MRPS7/MTERF3/NHP2/NOA1/NOC4L/NSUN5/PAK1IP1/POP4/POP5/POP7/RAN/RCC1L/RIOK2/RPF2/RPP25/RPP38/RPP40/RPUSD1/RPUSD2/RRP1/RRP7A/SUV39H1/TBL3/TFB1M/TRMT112/TSR3/UTP11/UTP18/WDR18/ZNF622"
"energy derivation by oxidation of organic compounds",1.78288917191072e-08,"ACADM/ANTKMT/ARL2/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/CHCHD4/CHCHD5/CISD1/COA6/COL6A1/COMT/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DLAT/DNAJC30/GYS1/HCCS/IDH2/MDH1/MDH2/MSH2/MTCO2P12/MTLN/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/OPN3/PDHB/PNPT1/POMC/PPP1R2P1/SCO2/SDHAF2/SDHD/SLC25A22/SLC25A23/SLC35A4/STOML2/SUCLA2/UCN/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ"
