"Pathway","Adjusted_Pvalue","Genes"
"catalytic activity, acting on RNA",6.46790689782266e-05,"ALKBH1/ALKBH3/BCDIN3D/CMTR2/CPSF3/DARS1/DARS2/DDX28/DHX30/DHX32/DIMT1/DTD1/DUS1L/EIF4A3/ELAC1/ENDOG/EXD2/EXOSC5/FARS2/FARSA/FDXACB1/HENMT1/LACTB2/LRRC47/MBLAC1/MED20/METTL5/MRM1/MRM3/MRPL58/NSUN5/PARS2/PNPT1/POLR1B/POLR1H/POLR2I/POLR2L/POLR3K/POLRMT/POP4/POP5/POP7/PTRHD1/PUS3/PUSL1/RPP25/RPP38/RPP40/RTCB/TFB1M/TOP3B/TRMT10C/TRMT2A/TRMT5/TRPT1/TSR3/TUT1/TYW1B/YARS2"
"methyltransferase activity",0.000194093972502554,"ANTKMT/BCDIN3D/CAMKMT/CMTR2/COMT/COMTD1/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/FDXACB1/GAMT/HENMT1/METTL13/METTL18/METTL23/METTL5/MGMT/MRM1/MRM3/N6AMT1/NNMT/NSUN5/PCMT1/PEMT/PRMT1/PRMT6/SMYD3/SUV39H1/TFB1M/TRMT10C/TRMT112/TRMT2A/TRMT5"
"transferase activity, transferring one-carbon groups",0.000194093972502554,"ANTKMT/BCDIN3D/CAMKMT/CMTR2/COMT/COMTD1/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/FDXACB1/GAMT/GART/HENMT1/METTL13/METTL18/METTL23/METTL5/MGMT/MRM1/MRM3/N6AMT1/NNMT/NSUN5/PCMT1/PEMT/PRMT1/PRMT6/SMYD3/SUV39H1/TFB1M/TRMT10C/TRMT112/TRMT2A/TRMT5"
"S-adenosylmethionine-dependent methyltransferase activity",0.000260570736492547,"ANTKMT/CAMKMT/CMTR2/COMT/COMTD1/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/FDXACB1/GAMT/METTL13/METTL18/METTL23/METTL5/MRM1/MRM3/N6AMT1/NNMT/NSUN5/PCMT1/PEMT/PRMT1/PRMT6/SMYD3/SUV39H1/TFB1M/TRMT10C/TRMT2A/TRMT5"
"metal cluster binding",0.000269583524210309,"CIAO3/CISD1/CISD2/CISD3/DPH2/ELP3/FDX1/GLRX5/GSTP1/ISCA2/MOCS1/NDUFS7/NDUFS8/NFU1/NTHL1/NUBP2/POLD1/TYW1B/UQCRFS1"
"catalytic activity, acting on a tRNA",0.000269583524210309,"ALKBH1/BCDIN3D/DARS1/DARS2/DTD1/DUS1L/ELAC1/FARS2/FARSA/LRRC47/MRPL58/PARS2/POP4/POP5/POP7/PTRHD1/PUS3/PUSL1/RPP25/RPP38/RPP40/TRMT10C/TRMT2A/TRMT5/TRPT1/TYW1B/YARS2"
"iron-sulfur cluster binding",0.000690547263463036,"CIAO3/CISD1/CISD2/CISD3/DPH2/ELP3/FDX1/GLRX5/ISCA2/MOCS1/NDUFS7/NDUFS8/NFU1/NTHL1/NUBP2/POLD1/TYW1B/UQCRFS1"
"electron transfer activity",0.000812727584457535,"AKR1B1/AKR7A2/COX5A/COX5B/CYB5A/CYC1/FDX1/GFUS/MTCO2P12/NDUFA8/NDUFB10/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/PHGDH/QDPR/SDHD/UQCR10/UQCR11/UQCRFS1"
"oxidoreduction-driven active transmembrane transporter activity",0.00177998534819554,"COX5A/COX5B/CYB561D2/CYB5A/CYC1/MTCO2P12/NDUFA8/NDUFB10/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS7/NDUFS8/UQCR10/UQCRFS1"
"structural constituent of ribosome",0.00177998534819554,"MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL41/MRPL43/MRPL55/MRPL57/MRPS11/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS30/MRPS34/MRPS6/MRPS7"
