"Pathway","Adjusted_Pvalue","Genes"
"alcohol catabolic process",0.178952227120794,"NUDT3/SULT1C4"
"plasma membrane organization",0.178952227120794,"ANO7/CHMP4C/ILK"
"organic hydroxy compound catabolic process",0.178952227120794,"NUDT3/SULT1C4"
"membrane assembly",0.178952227120794,"CHMP4C/ILK"
"membrane biogenesis",0.178952227120794,"CHMP4C/ILK"
"ribonucleotide metabolic process",0.178952227120794,"DPYS/NUDT3/SULT1C4"
"respiratory electron transport chain",0.178952227120794,"MTCO2P12/SCO2"
"ribose phosphate metabolic process",0.178952227120794,"DPYS/NUDT3/SULT1C4"
"mitotic spindle organization",0.178952227120794,"CHMP4C/ILK"
"ribonucleotide catabolic process",0.178952227120794,"DPYS/NUDT3"
"electron transport chain",0.178952227120794,"MTCO2P12/SCO2"
"DNA topological change",0.178952227120794,"TOP3B"
"activation-induced cell death of T cells",0.178952227120794,"FADD"
"polyketide metabolic process",0.178952227120794,"SULT1C4"
"doxorubicin metabolic process",0.178952227120794,"SULT1C4"
"plasma membrane raft assembly",0.178952227120794,"ILK"
"polyol catabolic process",0.178952227120794,"NUDT3"
"phospholipase C-activating dopamine receptor signaling pathway",0.178952227120794,"GNA14"
"pyrimidine deoxyribonucleoside monophosphate metabolic process",0.178952227120794,"DPYS"
"vesicle fusion with vacuole",0.178952227120794,"CHMP4C"
"multivesicular body-lysosome fusion",0.178952227120794,"CHMP4C"
"protein localization to cell cortex",0.178952227120794,"ILK"
"vacuole fusion",0.178952227120794,"CHMP4C"
"flavonoid metabolic process",0.178952227120794,"SULT1C4"
"G protein-coupled purinergic nucleotide receptor signaling pathway",0.178952227120794,"P2RY14"
"TRAIL-activated apoptotic signaling pathway",0.178952227120794,"FADD"
"activation of cysteine-type endopeptidase activity",0.178952227120794,"FADD"
"nucleotide catabolic process",0.178952227120794,"DPYS/NUDT3"
"viral process",0.178952227120794,"CHMP4C/MGAT2/PCBP1"
"membrane raft assembly",0.178952227120794,"ILK"
"ethanol catabolic process",0.178952227120794,"SULT1C4"
"ribonucleoside monophosphate catabolic process",0.178952227120794,"DPYS"
"deoxyribonucleoside monophosphate catabolic process",0.178952227120794,"DPYS"
"plasma membrane raft organization",0.178952227120794,"ILK"
"viral budding from plasma membrane",0.178952227120794,"CHMP4C"
"T cell extravasation",0.178952227120794,"FADD"
"microtubule cytoskeleton organization involved in mitosis",0.178952227120794,"CHMP4C/ILK"
"ethanol metabolic process",0.178952227120794,"SULT1C4"
"carbon dioxide transport",0.178952227120794,"HBA2"
"oxygen transport",0.178952227120794,"HBA2"
"UMP metabolic process",0.178952227120794,"DPYS"
"non-lytic viral release",0.178952227120794,"CHMP4C"
"lysosomal membrane organization",0.178952227120794,"CHMP4C"
"negative regulation of cGAS/STING signaling pathway",0.178952227120794,"SPSB3"
"positive regulation of execution phase of apoptosis",0.178952227120794,"FADD"
"pyrimidine nucleobase metabolic process",0.178952227120794,"DPYS"
"pyrimidine ribonucleoside monophosphate metabolic process",0.178952227120794,"DPYS"
"behavioral response to cocaine",0.178952227120794,"FADD"
"intracellular copper ion homeostasis",0.178952227120794,"SCO2"
"endosome to lysosome transport via multivesicular body sorting pathway",0.178952227120794,"CHMP4C"
"nucleoside bisphosphate metabolic process",0.178952227120794,"SULT1C4"
"ribonucleoside bisphosphate metabolic process",0.178952227120794,"SULT1C4"
"purine nucleoside bisphosphate metabolic process",0.178952227120794,"SULT1C4"
"purine ribonucleoside bisphosphate metabolic process",0.178952227120794,"SULT1C4"
"primary alcohol catabolic process",0.178952227120794,"SULT1C4"
"positive regulation of macrophage differentiation",0.178952227120794,"FADD"
"3'-phosphoadenosine 5'-phosphosulfate metabolic process",0.178952227120794,"SULT1C4"
"negative regulation of cell division",0.178952227120794,"CHMP4C"
