"Pathway","Adjusted_Pvalue","Genes"
"copper ion binding",0.00525875540163037,"AOC1/MTCO2P12/SCO2"
"manganese ion binding",0.108950621341027,"MGAT2/NUDT3"
"molecular carrier activity",0.108950621341027,"HBA2/SCO2"
"haptoglobin binding",0.108950621341027,"HBA2"
"G protein-coupled purinergic nucleotide receptor activity",0.108950621341027,"P2RY14"
"sequence-specific single stranded DNA binding",0.108950621341027,"PCBP1"
"oxygen carrier activity",0.108950621341027,"HBA2"
"metallochaperone activity",0.108950621341027,"SCO2"
"caspase binding",0.108950621341027,"FADD"
"cytochrome-c oxidase activity",0.108950621341027,"MTCO2P12"
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides",0.108950621341027,"DPYS"
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",0.108950621341027,"AOC1"
"oxidoreductase activity, acting on a heme group of donors",0.108950621341027,"MTCO2P12"
"quinone binding",0.108950621341027,"AOC1"
"intracellularly calcium-gated chloride channel activity",0.108950621341027,"ANO7"
"intracellularly calcium-gated channel activity",0.108950621341027,"ANO7"
"purinergic nucleotide receptor activity",0.108950621341027,"P2RY14"
"nucleotide receptor activity",0.108950621341027,"P2RY14"
"oxidoreductase activity, acting on the CH-NH2 group of donors",0.108950621341027,"AOC1"
"death receptor binding",0.108950621341027,"FADD"
"G-protein beta/gamma-subunit complex binding",0.108950621341027,"GNA14"
"catalytic activity, acting on a glycoprotein",0.108950621341027,"MGAT2"
"magnesium ion binding",0.120775780886927,"ILK/NUDT3"
"tumor necrosis factor receptor binding",0.128621683343099,"FADD"
"receptor serine/threonine kinase binding",0.128621683343099,"FADD"
"protein-disulfide reductase activity",0.130390609414734,"SCO2"
"oxygen binding",0.130390609414734,"HBA2"
"disulfide oxidoreductase activity",0.147404773919471,"SCO2"
"G protein-coupled receptor binding",0.150982791833116,"GNA14/HBA2"
"acetylglucosaminyltransferase activity",0.150982791833116,"MGAT2"
"ligand-gated monoatomic anion channel activity",0.152575792800717,"ANO7"
"tumor necrosis factor receptor superfamily binding",0.157172336515765,"FADD"
"GTPase activity",0.159630136273197,"GNA14/RHOF"
"sulfotransferase activity",0.159630136273197,"SULT1C4"
"oxidoreductase activity, acting on a sulfur group of donors",0.160733642432537,"SCO2"
"peroxidase activity",0.161762880143787,"HBA2"
"oxidoreductase activity, acting on peroxide as acceptor",0.162723899513532,"HBA2"
"GTP binding",0.176999823867834,"GNA14/RHOF"
"oxidoreduction-driven active transmembrane transporter activity",0.176999823867834,"MTCO2P12"
"transferase activity, transferring sulphur-containing groups",0.177005110696835,"SULT1C4"
"guanyl nucleotide binding",0.177005110696835,"GNA14/RHOF"
"guanyl ribonucleotide binding",0.177005110696835,"GNA14/RHOF"
"chloride channel activity",0.192019591876605,"ANO7"
"antioxidant activity",0.196353796144291,"HBA2"
"phosphoprotein binding",0.206777831684928,"DPYS"
"monoatomic anion channel activity",0.216658151766196,"ANO7"
"GTPase regulator activity",0.216658151766196,"ARL2BP/RHOF"
"nucleoside-triphosphatase regulator activity",0.216658151766196,"ARL2BP/RHOF"
"steroid binding",0.218623415150023,"PAQR5"
"electron transfer activity",0.223033182350063,"MTCO2P12"
"ubiquitin-like ligase-substrate adaptor activity",0.223033182350063,"SPSB3"
"single-stranded DNA binding",0.223033182350063,"PCBP1"
"chloride transmembrane transporter activity",0.223033182350063,"ANO7"
"signaling adaptor activity",0.232423687221141,"FADD"
"enzyme-substrate adaptor activity",0.23287934627002,"SPSB3"
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",0.23287934627002,"DPYS"
"protease binding",0.23287934627002,"FADD"
"heme binding",0.23852361238434,"HBA2"
"UDP-glycosyltransferase activity",0.23852361238434,"MGAT2"
"monoatomic anion transmembrane transporter activity",0.23852361238434,"ANO7"
"iron ion binding",0.23852361238434,"HBA2"
"tetrapyrrole binding",0.23852361238434,"HBA2"
"integrin binding",0.245016758978172,"ILK"
"inorganic anion transmembrane transporter activity",0.245016758978172,"ANO7"
"primary active transmembrane transporter activity",0.245016758978172,"MTCO2P12"
"heparin binding",0.252034331555002,"AOC1"
"isomerase activity",0.252034331555002,"TOP3B"
"ligand-gated monoatomic ion channel activity",0.252034331555002,"ANO7"
"proton transmembrane transporter activity",0.252034331555002,"MTCO2P12"
"ligand-gated channel activity",0.252034331555002,"ANO7"
"hexosyltransferase activity",0.26022728941926,"MGAT2"
"organic acid binding",0.26022728941926,"HBA2"
"guanyl-nucleotide exchange factor activity",0.291477709961201,"RHOF"
"glycosaminoglycan binding",0.303865194874697,"AOC1"
"catalytic activity, acting on DNA",0.303865194874697,"TOP3B"
"glycosyltransferase activity",0.318304161184497,"MGAT2"
"cytokine receptor binding",0.319957511346903,"FADD"
"sulfur compound binding",0.319957511346903,"AOC1"
"transcription coactivator activity",0.321414756265855,"ARL2BP"
"active monoatomic ion transmembrane transporter activity",0.321414756265855,"MTCO2P12"
"gated channel activity",0.336700440668295,"ANO7"
"cadherin binding",0.355490101830532,"PCBP1"
"protein serine kinase activity",0.375620760035184,"ILK"
"catalytic activity, acting on RNA",0.398384235210497,"TOP3B"
"monoatomic ion channel activity",0.425463551276999,"ANO7"
"active transmembrane transporter activity",0.434206964167254,"MTCO2P12"
