"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","160/3424","333/9397",0.48048048048048,1.31865510370183,4.48255030102147,6.61501799108187e-06,0.00229541124290541,0.00152493572636519,"3912/998/54361/5523/2335/7474/3381/324/131873/3371/23352/3265/528/122011/55534/9586/3685/1499/4193/3673/545/57801/3516/5290/4853/3918/3680/2932/472/3696/1284/523/3455/11317/6654/5663/894/355/5728/10000/7482/7057/1286/1147/3908/22801/1293/2308/1021/6655/245973/8900/9636/8717/64398/388585/5291/1285/10379/7475/3454/9296/1282/4790/84441/5986/1287/7058/4893/8326/55502/2033/5594/9134/535/7479/5519/1978/8321/50855/5610/1297/526/1740/29110/84667/7422/7143/7855/1385/1739/64764/7060/7976/1288/5518/5515/890/5933/1855/155066/3672/3845/10488/7337/6934/1299/6198/9223/7248/5747/1387/572/182/5520/51384/5934/6772/5516/8325/3915/3661/2475/3688/8324/5527/9641/841/5567/5605/3066/4242/55012/3456/84699/22798/581/7448/5734/3105/390992/5894/5743/3910/3676/7481/5529/8323/6696/92359/5925/1452/10312/10207/3716/5295/3107/9368/1019/5649",160
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","144/3424","300/9397",0.48,1.31733644859813,4.22934985504735,2.02613973287747e-05,0.00348356800002585,0.00231427693616157,"776/5602/998/4763/3082/5321/56034/57551/7010/777/3556/3265/4233/1386/5608/3643/284/3554/25780/2005/10746/5921/6197/627/785/2261/673/23118/51701/285/9252/3315/7046/783/4217/1848/6654/4915/55970/355/5494/7042/10000/5599/1147/6237/51295/6788/6655/7189/3480/8717/10912/84451/7186/2321/4208/4902/6885/1432/2122/2322/4790/5881/774/59283/4775/4214/8074/4893/5495/6789/3304/5922/9693/2252/5594/5535/2247/4804/8491/8649/4216/7048/5156/6416/7422/5923/5532/51776/55799/51347/8569/9448/51135/22808/9064/1436/5534/3845/10369/10125/115727/1399/5530/5058/5062/8550/5579/1845/5924/775/3553/5908/1945/80824/5601/1843/1844/2255/5578/5567/1398/5605/1616/4254/7423/8912/8822/5894/9175/23542/5906/2353/4615/1852/1942/5600/8817/8605/283748/255189/11221/779",144
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","103/3424","205/9397",0.502439024390244,1.37891925005699,4.1529883847994,3.0539794122443e-05,0.00348356800002585,0.00231427693616157,"8339/8366/8367/8344/440689/8348/998/8347/3017/85236/121504/8349/8341/9734/8360/23352/3265/8346/1386/8340/8343/9586/8368/8342/718/4193/55869/3516/3572/5290/2957/11317/9759/894/8361/1021/8900/8717/7186/5291/10379/4790/7532/2966/79885/4893/5922/2033/5594/9134/128312/8345/5610/5966/1030/8850/1232/1385/1739/8970/64764/8294/6672/890/5933/3665/8365/1654/3018/3845/10488/7337/7874/1387/572/5934/3661/8362/1111/841/6850/2960/6502/5567/3066/7534/84699/28973/581/1960/3105/3190/983/5925/1959/6777/5902/3716/1029/5295/3107/4055/1019",103
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","66/3424","122/9397",0.540983606557377,1.48470296460855,4.07981769170311,4.71665493952876e-05,0.00348356800002585,0.00231427693616157,"5602/5523/3265/5337/166929/5290/2776/9475/4217/6093/5728/10000/5599/56624/10672/5581/253782/8717/7186/5291/1432/4790/5881/5332/4893/5594/340485/23236/5519/8439/1903/140/8879/5518/10558/5515/8698/9846/3845/55304/204219/5520/9517/5516/5579/5527/2773/5601/5578/5605/3827/55012/427/581/5170/5894/2207/624/5529/596/1509/2206/5600/130367/5295/259230",66
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","73/3424","138/9397",0.528985507246377,1.4517747697413,4.0478237950016,5.18030869122909e-05,0.00348356800002585,0.00231427693616157,"5602/998/2335/6347/7099/58484/8395/5608/6197/5290/23118/2776/9475/2932/2212/114548/6093/9844/10000/5599/1147/7189/7186/5291/6885/1432/10451/4790/5881/4775/4210/5594/9815/2533/10096/653857/29110/6416/5586/1793/5585/23365/51135/3932/8935/1399/5747/8976/3937/8874/3661/3688/3606/3553/5601/64283/1398/5605/7535/7456/3456/63916/3676/2353/4615/10097/5600/10458/5295/9564/3586/10163/29108",73
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","98/3424","196/9397",0.5,1.37222546728972,3.98711469381858,6.02346051877669e-05,0.00348356800002585,0.00231427693616157,"8339/8366/8367/8344/440689/8348/8347/2359/3017/85236/8329/121504/8349/8341/7099/1184/7097/9734/92815/51311/8360/8346/8340/8343/8368/8342/718/55869/1378/8338/79792/55766/8353/3014/5290/2358/2212/8356/9759/293/10000/1536/1379/8361/3012/8357/366/51284/5291/727/6885/1432/4790/5332/10533/79885/5594/128312/23236/8345/8354/2209/64581/8520/8330/8970/4688/2266/4353/8294/1182/8334/8365/3018/2215/8969/9555/5336/5579/2475/8362/1535/440686/728/6850/2357/2811/5578/653604/5605/340096/3066/8336/5894/317772/5600/5295/3015",98
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","65/3424","122/9397",0.532786885245902,1.46220746514478,3.89046969221214,9.89440303334754e-05,0.00490479693224514,0.00325845754030543,"776/5602/3709/3265/55811/1386/9586/107/5608/3708/8651/5290/2776/2932/3717/6654/10000/5599/6655/5291/1432/5332/4214/4893/2033/5594/23236/25759/6416/1385/64764/112/3845/10488/8835/51738/1399/5747/1387/5336/6772/8660/5579/2475/775/3726/2773/5601/5578/2767/5567/1398/5605/84699/3486/5894/112609/2353/6755/6777/5600/5295/9564/5449/779",65
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","73/3424","143/9397",0.51048951048951,1.40101341415594,3.65851041844959,0.000226064611764408,0.00960733081508795,0.00638254345064238,"7006/5602/3709/5608/3554/4286/3708/8651/5290/23118/7046/2212/3455/8792/10326/7042/10000/5599/1147/7189/5468/3460/7186/5291/6885/1432/10379/3454/4790/140885/5594/5535/11024/9103/7048/3459/2209/5532/1385/54209/4688/488/1540/9846/3932/1436/5534/5530/695/2215/5336/6772/3937/79168/29760/1535/3553/3726/5601/6850/169200/3456/10288/2353/11025/11027/353514/5600/3716/27035/5295/55423/1513",73
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","68/3424","132/9397",0.515151515151515,1.41380805720759,3.62497754747607,0.000260144170307198,0.00960733081508795,0.00638254345064238,"776/5602/5523/3709/2893/4128/5500/3765/1386/59345/9586/3708/2776/2932/9575/3799/55970/2904/91860/10000/5599/1432/774/5332/3763/6571/2892/1815/23236/5519/2787/1312/5532/1385/220074/64764/5518/817/5515/10488/3800/5499/5530/5520/5516/1814/5579/5527/406/775/2773/5601/5578/5567/55012/84699/2890/3798/5529/2353/3762/2891/1813/94235/5600/2786/54331/2792",68
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","56/3424","105/9397",0.533333333333333,1.46370716510903,3.61764527482904,0.000282550095634512,0.00960733081508795,0.00638254345064238,"5602/3709/3265/4193/3708/5290/30835/114548/91860/10000/5599/8915/1147/6237/5291/1432/338339/10379/4790/10892/4775/4893/5594/5535/5532/64581/23365/93978/1540/51266/22808/5534/3845/5530/5781/5058/5336/6772/868/3553/9641/26253/841/5601/6850/1960/5894/2207/5743/8844/51561/1959/5600/5295/3586/29108",56
