"Pathway","Adjusted_Pvalue","Genes"
"small GTPase-mediated signal transduction",9.34035597990494e-05,"ABCA1/ABL2/ABRA/AIF1/AKAP13/ALS2/AMOT/APOA1/APOC3/ARFGEF1/ARFGEF2/ARFGEF3/ARHGAP11A/ARHGAP11B/ARHGAP12/ARHGAP15/ARHGAP18/ARHGAP19/ARHGAP21/ARHGAP24/ARHGAP26/ARHGAP28/ARHGAP29/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP39/ARHGAP4/ARHGAP42/ARHGAP44/ARHGAP45/ARHGAP5/ARHGEF10/ARHGEF10L/ARHGEF11/ARHGEF12/ARHGEF15/ARHGEF2/ARHGEF25/ARHGEF28/ARHGEF40/ARHGEF7/BCL6/C15orf62/CBL/CCDC88A/CCNA2/CD2AP/CDC42/CDC42EP5/CDC42SE2/CDH13/CDKN2A/CDON/CFL1/CGNL1/CHM/CHML/CHP1/CRK/CRKL/CSNK1A1/CTNNAL1/CUL3/CYFIP1/CYRIB/DENND1A/DENND3/DENND4A/DENND4C/DLC1/DNMBP/DOCK1/DOCK10/DOCK11/DOCK2/DOCK3/DOCK4/DOCK5/DOCK7/DOCK8/DOCK9/DOK2/DOK3/DOK6/ECT2/ELMO1/EPO/EPS8L1/EPS8L2/F2RL1/FAM13A/FAM13B/FARP1/FARP2/FBXO8/FGD1/FGD4/FGD5/FGF10/FGF2/FOXM1/FRMD7/G3BP1/G3BP2/GARNL3/GBF1/GIT1/GIT2/GNA13/GPR4/HACE1/HEG1/HRAS/IQGAP3/IQSEC2/IQSEC3/ITGAV/ITGB1/ITSN1/KANK2/KBTBD6/KBTBD7/KIF14/KITLG/KRAS/KRIT1/KSR1/KSR2/LPAR1/LRRK2/LZTR1/MAP4K4/MAPKAPK5/MCF2/MET/MRAS/MYO9A/NCKAP1/NET1/NF1/NGFR/NKIRAS1/NOTCH2/NRAS/NRP1/NTN1/NUCB1/OGT/OPHN1/PARK7/PICALM/PIK3CB/PIK3CG/PLCD4/PLCE1/PLD1/PLEKHG1/PLEKHG6/PLEKHG7/PPP2CB/PSD3/RAB12/RAB18/RAB21/RAB33B/RAB39A/RABGEF1/RABL3/RAC3/RAF1/RALGAPA1/RALGAPA2/RALGAPB/RALGPS1/RALGPS2/RAP1A/RAP1B/RAP2A/RAP2B/RAP2C/RAPGEF2/RAPGEF3/RAPGEF4/RAPGEF5/RAPGEF6/RASA2/RASAL1/RASGEF1B/RASGEF1C/RASGRF1/RASGRF2/RASGRP1/RASGRP3/RASGRP4/RASSF1/RB1/RDX/RELN/RFXANK/RGL1/RHEBL1/RHOC/RHOD/RHOF/RHOQ/RHOT1/RHOT2/RHOU/RIN2/RIPOR2/RIT1/RIT2/RND1/ROCK1/ROCK2/ROPN1B/RRAD/RRAS/RTN4R/SCAI/SDCBP/SHOC2/SHTN1/SIPA1L1/SIPA1L2/SLIT2/SOS1/SOS2/SPATA13/SPRY3/SPRY4/SRGAP3/SSX2IP/STAMBP/STARD13/STARD8/SWAP70/SYDE1/SYDE2/SYNJ2BP/TAGAP/TAX1BP3/TEK/TGFB2/TIAM1/TIAM2/TNS3/TRIM67/TRIO/USO1/USP50/USP8/VAV3/WASF1/WASF2"
"regulation of small GTPase mediated signal transduction",0.00123337017103412,"ABCA1/ABL2/ABRA/AKAP13/ALS2/AMOT/APOA1/APOC3/ARFGEF1/ARFGEF2/ARFGEF3/ARHGAP11A/ARHGAP11B/ARHGAP12/ARHGAP15/ARHGAP18/ARHGAP19/ARHGAP21/ARHGAP24/ARHGAP26/ARHGAP28/ARHGAP29/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP39/ARHGAP4/ARHGAP42/ARHGAP44/ARHGAP45/ARHGAP5/ARHGEF10/ARHGEF10L/ARHGEF11/ARHGEF12/ARHGEF15/ARHGEF2/ARHGEF25/ARHGEF28/ARHGEF40/BCL6/CBL/CD2AP/CDC42SE2/CDON/CGNL1/CRK/CRKL/CSNK1A1/CUL3/CYRIB/DENND1A/DENND3/DENND4A/DENND4C/DLC1/DNMBP/DOCK10/DOCK11/DOCK2/DOCK3/DOCK7/DOCK8/DOCK9/ECT2/EPO/EPS8L1/EPS8L2/F2RL1/FAM13A/FAM13B/FBXO8/FGD1/FGD4/FGD5/FGF10/FOXM1/FRMD7/GARNL3/GBF1/GIT1/GIT2/GNA13/GPR4/HEG1/IQSEC2/IQSEC3/ITGAV/ITGB1/ITSN1/KANK2/KBTBD6/KBTBD7/KIF14/KITLG/KRAS/LPAR1/LZTR1/MAP4K4/MCF2/MET/MYO9A/NET1/NF1/NOTCH2/NRP1/OGT/OPHN1/PICALM/PIK3CB/PIK3CG/PLEKHG1/PLEKHG6/PPP2CB/PSD3/RABGEF1/RABL3/RAF1/RALGAPA1/RALGAPA2/RALGAPB/RALGPS1/RASA2/RASAL1/RASGRF1/RASGRF2/RASGRP1/RDX/RELN/RHOD/RHOF/RHOU/RIPOR2/RIT2/RTN4R/SCAI/SHOC2/SIPA1L1/SIPA1L2/SLIT2/SOS1/SOS2/SPATA13/SPRY3/SPRY4/SRGAP3/SSX2IP/STAMBP/STARD13/STARD8/SWAP70/SYDE1/SYDE2/TAGAP/TEK/TGFB2/TIAM1/TIAM2/TNS3/TRIM67/TRIO/VAV3"
"regulation of dendritic spine development",0.0152880872797931,"ASAP1/BAIAP2/C21orf91/CAPRIN1/CDKL5/CPEB3/CUX2/DBN1/DHX36/DISC1/DLG5/DNM3/EFNA1/EIF4G2/FMR1/FOXO6/FSTL4/GRIN3A/HDAC2/ITPKA/LLPH/LPAR1/LRP8/MAPK6/MAPKAPK5/MECP2/MEF2C/NLGN1/PAFAH1B1/PSEN1/PTPRD/PTPRS/RELN/SDK1/SHANK3/SRGAP2C/STAU2/TANC2/TIAM1/UBE3A/ZMYND8"
"regulation of organelle assembly",0.038471748962573,"ABI3/ALMS1/ARHGAP35/ASAP1/ATM/ATMIN/BRCA1/C9orf72/CAPRIN1/CASKIN1/CCDC88A/CCP110/CCSAP/CDK10/CDK5RAP2/CDKL1/CDKL5/CENPJ/CEP120/CEP135/CEP295/CEP295NL/CEP76/CEP97/CHMP2B/CHMP3/CHMP4BP1/CHMP6/CNOT1/CNOT2/CNOT6/CNOT6L/CRIPT/CSF2/CYLD/DCDC2/DYNC1H1/DZIP1/EFNB1/EVI5L/FEZ2/G3BP1/G3BP2/GPSM2/GRID2/GSK3B/HCK/HNRNPU/HSF1/HSPA1B/HTT/IL1RAP/IL5/KAT2B/KCTD17/KIF24/LATS1/LCP1/LPAR1/LRFN4/LRRK2/LRRTM2/MAK/MAPK9/MARCHF7/MDM1/MNS1/MPHOSPH9/MTM1/MTMR3/MTOR/NUPR1/ODF2L/PAN3/PDCD6IP/PIKFYVE/PIP4K2A/PLK4/PPP1R35/PRKAA1/PTPRD/PTPRS/RAB11A/RAB3GAP1/RAB3GAP2/RAB3IP/RAB5A/RBM14/RDX/RIPOR2/RNF5/SASS6/SAXO1/SCFD1/SDCBP/SEC22B/SENP6/SH3GLB1/SMAD4/SMCR8/SNX18/SNX30/SNX7/SPAG5/SPICE1/SPTBN2/STAM/STIL/SYNE2/TAPT1/TBC1D12/TBC1D14/TBC1D30/TMEM39A/TPR/TRIM37/UBAP2L/UBQLN2/USP10/VPS4B/WDPCP/WDR44/WIPI1/ZMYND10"
"non-membrane-bounded organelle assembly",0.038471748962573,"ACTA1/ACTC1/AGO2/AKAP13/ALMS1/ANLN/ARHGEF10/ASB2/ASPM/ATXN2/BICD1/BMP10/BOP1/BRCA1/C1QBP/C2CD3/C9orf72/CAPN3/CAPRIN1/CASQ1/CCDC61/CCDC78/CCP110/CCSAP/CDK5RAP2/CDS1/CDS2/CENPC/CENPE/CENPF/CENPJ/CENPT/CENPX/CEP120/CEP135/CEP152/CEP192/CEP295/CEP295NL/CEP44/CEP63/CEP76/CEP97/CFL2/CFLAR/CHMP2B/CHMP3/CHMP4BP1/CHMP6/CLASP1/CLASP2/CNOT1/CNOT2/CNOT6/CNOT6L/CNOT7/CSDE1/CSF2/CSRP2/CSRP3/DDX3X/DDX6/DEUP1/DIAPH3/DLGAP5/DOCK5/DYNC1H1/EIF1AX/EIF2A/EIF4ENIF1/EIF5/EIF6/FARP2/FASTKD2/FAU/FHOD3/FLNC/FMR1/FXR1/G3BP1/G3BP2/GPSM2/HAUS3/HAUS6/HCK/HNRNPU/HSF1/HSPA1B/IL5/INCENP/INO80/ITGB1/KASH5/KAT2B/KIAA0753/KIF11/KIF15/KIF23/KIF2A/KIF4A/KIFC2/KLHL41/KNTC1/KPNB1/KRT8/LCP1/LDB3/LIMD1/LMOD1/LMOD2/LMOD3/LSM14B/LSM4/MAP10/MAPK9/MDM1/MDN1/MEF2A/MISP/MOSPD2/MPV17L2/MRPS2/MRPS7/MYBPC1/MYH11/MYLK3/MYOM3/MYOZ2/NCOR1/NEB/NEBL/NEGR1/NEK2/NEK6/NEK7/NOP53/OBSL1/PAN3/PATL1/PDGFRA/PIBF1/PLA2G4C/PLK4/POC1B/POGZ/PPP1R35/PRKAA1/PRKAR1A/PRKDC/PROX1/PRRC2C/PSPC1/PTEN/PUM2/RAB11A/RBM14/RC3H1/RIPOR2/RNF213/RPL10L/RPS15/RPS19/RPS28/RPS5/RRP7BP/RTTN/SAC3D1/SASS6/SBDS/SENP6/SH3PXD2B/SIX4/SKA1/SKA3/SMAD4/SMC1A/SMC3/SPAG5/SPICE1/STAG1/STAG2/STARD9/STIL/TIA1/TMOD2/TMOD3/TMOD4/TNKS/TNNT1/TNRC6A/TPM1/TPR/TRIM37/TTN/TUBB1/TUBGCP3/TUBGCP5/UBAP2L/UHRF1/USP10/VCX/VPS4B/WASHC5/WNK1/WNK3/XRCC5/YTHDF3/ZAR1/ZNF207"
"tissue migration",0.038471748962573,"ACTA1/ACTA2/ACTC1/ACTG2/ADAM9/ANLN/ARHGAP5/ARSB/BMPR2/CAPN7/CLASP1/CLASP2/CORO1A/CORO1C/DAAM2/DOCK1/DOCK5/DUSP10/ENPP2/EPB41L4B/EPB41L5/EPPK1/FAT2/FERMT1/FGF10/FGF7/HIF1A/IRS2/ITGA2/KANK2/KITLG/LRG1/LTB4R2/MACF1/MACIR/MAP4K4/MCC/MIR221/MIR222/MTOR/PFN1/PKN1/PKN2/PKN3/PLCG2/PRKCE/PROX1/PTEN/PTK2/PTPN11/PTPRG/RAB11A/ROCK1/RREB1/SASH1/SMAD4/TACR1/TGFB2/TGFBR2/WDPCP/WNT5A/ZEB2"
"dendritic spine development",0.038471748962573,"ABI3/ARC/ARHGAP44/ASAP1/BAIAP2/C21orf91/CAPRIN1/CDC42/CDK5/CDK5R1/CDKL5/CFL1/CPEB3/CTNND2/CUX2/DBN1/DHX36/DISC1/DLG5/DNM3/DOCK10/DVL1/EFNA1/EIF4G2/FMR1/FOXO6/FSTL4/GRIN3A/HDAC2/ITPKA/LLPH/LPAR1/LRP8/LRRK2/MAPK6/MAPKAPK5/MECP2/MEF2C/NLGN1/PAFAH1B1/PAK2/PDLIM5/PSEN1/PTEN/PTPRD/PTPRS/RELN/SDK1/SHANK3/SIPA1L1/SRGAP2C/STAU2/TANC2/TIAM1/UBA6/UBE3A/WASL/ZDHHC15/ZMYND8"
"epithelial cell migration",0.038471748962573,"ADAM9/ANLN/ARHGAP5/ARSB/BMPR2/CAPN7/CLASP1/CLASP2/CORO1A/CORO1C/DAAM2/DOCK1/DOCK5/DUSP10/ENPP2/EPB41L4B/EPB41L5/EPPK1/FAT2/FERMT1/FGF10/FGF7/HIF1A/IRS2/ITGA2/KANK2/KITLG/LRG1/LTB4R2/MACF1/MACIR/MAP4K4/MCC/MIR221/MIR222/MTOR/PFN1/PKN1/PKN2/PKN3/PLCG2/PRKCE/PROX1/PTEN/PTK2/PTPN11/PTPRG/RAB11A/ROCK1/RREB1/SASH1/SMAD4/TACR1/TGFB2/TGFBR2/WDPCP/WNT5A/ZEB2"
"post-embryonic development",0.038471748962573,"ACO1/ACVR2B/AGO2/ALDH5A1/ALX4/APOB/ARID5B/ASH1L/ATM/ATRX/BAX/BCL11B/BCL2/BPNT2/C12orf57/CCDC47/CRB1/EMX1/FZD5/GABRG2/GIGYF2/HEG1/IGF2R/IREB2/ITPR1/JAK2/KDM5B/KMT2A/LHX1/MECP2/MMUT/MORC3/MTOR/MYO1E/NDN/NPPC/PLAGL2/PRDM1/PSEN1/RC3H2/SCN9A/SELENOP/SEMA3C/SGPL1/SLC18A2/SLC4A10/SMAD2/SZT2/TBCE/TGFBR1/TIPARP/VEGFA/VPS54/ZFX"
"centrosome duplication",0.0420387649563374,"ALMS1/ARHGEF10/BRCA1/BRCA2/C2CD3/CCP110/CDK5RAP2/CENPJ/CEP120/CEP131/CEP135/CEP152/CEP192/CEP295/CEP295NL/CEP44/CEP63/CEP76/CHMP2B/CHMP3/CHORDC1/CKAP5/DEUP1/FBXW5/GEN1/ITGB1BP2/KAT2B/KIAA0753/MDM1/PDCD6IP/PKD2/PKHD1/PLK4/POC1B/PPP1R35/RBM14/ROCK2/RTTN/SAC3D1/SASS6/SPICE1/STIL/TMEM67/TRIM37/USP33/VPS4B/XPO1"
