"Pathway","Adjusted_Pvalue","Genes"
"histone modifying activity",0.000224111495805072,"AAK1/AKT3/ALPK1/ALPK2/ALPK3/ANTKMT/ASH1L/ATF2/ATM/ATR/BAZ1B/BMP2K/BRAF/BRCA2/BRPF3/BUB1/BUB1B/CASK/CDC42BPA/CDC42BPB/CDK1/CDK5/CHEK1/CIITA/CILK1/CIT/CLOCK/CREBBP/CSNK1A1/CSNK1A1L/CSNK1G1/CSNK1G3/CSNK2A1/CSNK2A2/DAPK1/DAPK3/DCAF1/DCLK2/DCLK3/DTX3L/DYRK1A/EEF1AKMT2/EEF2KMT/EIF2AK2/EIF2AK3/EP300/ERN1/EYA1/EYA3/EZH1/EZH2/FAM20C/FBLL1/GSK3B/GTF3C4/HAT1/HDAC11/HDAC2/HDAC4/HDAC8/HDAC9/HIPK1/HIPK2/HIPK3/HUWE1/ING3/IRAK4/JADE1/JAK2/JARID2/JMJD1C/KAT2B/KAT6A/KAT6B/KAT7/KDM1B/KDM3A/KDM3B/KDM4A/KDM4C/KDM5A/KDM5B/KDM6A/KDM7A/KMT2A/KMT2C/KMT2D/KMT5B/KMT5C/KSR1/KSR2/LATS1/LATS2/LMTK2/LRRK1/LRRK2/MAK/MAP3K19/MAP3K7/MAP4K3/MAP4K4/MAP4K5/MAPKAPK5/MARK1/MAST1/MASTL/MCM3AP/MECOM/MELK/MIER1/MKNK1/MSL2/MTOR/MYLK4/MYO3A/MYSM1/NCOA1/NCOA3/NEK1/NEK10/NEK2/NEK3/NEK4/NEK5/NEK6/NEK7/NRK/NSD1/NSD3/NTMT1/OXSR1/PADI2/PAK1/PAK2/PCGF3/PCGF5/PDPK1/PHF10/PHF8/PHKG1/PIK3CA/PIK3CG/PIK3R4/PIKFYVE/PKN1/PRDM2/PRDM8/PRKAA1/PRKCA/PRKCB/PRKDC/PRMT1/PRMT9/PRP4K/RAF1/RIOK3/RIPK1/RNF2/RNF20/ROCK1/ROCK2/RPS6KA3/RPS6KA5/RPS6KB1/RPS6KC1/RSBN1/SBK2/SETBP1/SETD2/SETD3/SETD5/SETD7/SETDB1/SETDB2/SETMAR/SGK1/SGK2/SGK3/SIK2/SIK3/SIRT6/SLK/SMG1/SMYD1/SNRK/SRCAP/SRPK1/SRPK2/STK17B/STK25/STK3/STK31/STK32B/STK32C/STK38L/STK39/STK4/SUDS3/SUV39H2/TAF1/TAF1L/TAOK1/TAOK3/TBK1/TLK1/TLK2/TNIK/TNNI3K/TRIM37/TRIO/TRPM6/TRPM7/TSSK4/TTBK2/TTN/UBR2/UHMK1/UHRF1/ULK3/ULK4/USP16/USP3/USP49/USP51/VCPKMT/VRK1/VRK2/WNK1/WNK3"
"small GTPase binding",0.000224111495805072,"ABCA1/AFDN/AKAP13/ALS2/ANKFY1/AP1G1/AP3M1/ARHGAP44/ARHGEF2/ASB15/ATP7A/BICD1/BICD2/BICDL2/C15orf62/C9orf72/CAV1/CCDC186/CDC42BPB/CDC42EP5/CDC42SE2/CDKL5/CHM/CHML/CORO1C/CSE1L/CYFIP1/CYFIP2/CYRIA/CYRIB/DAAM1/DAAM2/DAPK3/DENND10/DENND1B/DENND5A/DENND5B/DEPDC5/DIAPH2/DIAPH3/DMXL2/DNM1L/DOCK1/DOCK10/DOCK11/DOCK2/DOCK3/DOCK4/DOCK5/DOCK7/DVL1/ECT2/ERC1/EVI5/EVI5L/EXOC5/EXOC8/EXPH5/FARP1/FGD1/FGD4/FGD5/FGD6/FMNL2/FMNL3/GAPVD1/GCC2/GIT1/GIT2/GOLGA4/GRIA1/HACE1/INF2/IPO11/IPO4/IPO5/IPO7/IPO8/IPO9/IQGAP1/IQGAP2/IQGAP3/ITPKA/KNTC1/KPNB1/LRRK2/LSM2/LZTR1/MEGF9/MYCBP2/MYO5A/MYO5B/MYRIP/NCF2/NCKAP1/NGFR/NOX1/NOXA1/NXT1/OCRL/PAK1/PAK2/PARD6A/PDE6D/PEX5L/PFN1/PICALM/PIH1D2/PKN1/PKN2/PKN3/PLCE1/PLEKHG1/RAB11FIP1/RAB11FIP2/RAB3GAP1/RAB3GAP2/RABGAP1/RABGAP1L/RABGEF1/RABGGTB/RANBP1/RANBP17/RANBP2/RANBP9/RANGAP1/RAP1A/RAPGEF4/RAPGEF6/RASGRP3/RIC1/RILPL1/RIMS2/RIN2/ROCK1/ROCK2/SH3BP4/SIKE1/SOD1/SORL1/STRN3/SYTL1/SYTL2/TBC1D30/TNPO1/TNPO3/TRIP11/UNC13B/USP33/USP6NL/WASF1/WDR44/XPO1/XPO4/XPO7/XPOT"
"GTPase binding",0.000342176431127784,"ABCA1/AFDN/AIMP1/AKAP13/ALS2/ANKFY1/AP1G1/AP3M1/ARHGAP44/ARHGEF2/ASB15/ATG14/ATP7A/BICD1/BICD2/BICDL2/BIN1/C15orf62/C9orf72/CAV1/CCDC186/CDC42BPB/CDC42EP5/CDC42SE2/CDKL5/CHM/CHML/CLTA/CORO1C/CSE1L/CYFIP1/CYFIP2/CYRIA/CYRIB/DAAM1/DAAM2/DAPK3/DENND10/DENND1B/DENND5A/DENND5B/DEPDC5/DIAPH2/DIAPH3/DMXL2/DNM1L/DOCK1/DOCK10/DOCK11/DOCK2/DOCK3/DOCK4/DOCK5/DOCK7/DVL1/ECT2/ERC1/EVI5/EVI5L/EXOC5/EXOC8/EXPH5/FARP1/FGD1/FGD4/FGD5/FGD6/FMNL2/FMNL3/FNBP1L/GAPVD1/GCC2/GIT1/GIT2/GOLGA4/GRIA1/HACE1/IARS1/INF2/IPO11/IPO4/IPO5/IPO7/IPO8/IPO9/IQGAP1/IQGAP2/IQGAP3/ITPKA/KNTC1/KPNB1/LCP1/LRRK2/LSM2/LZTR1/MEGF9/MYCBP2/MYO5A/MYO5B/MYRIP/NCF2/NCKAP1/NGFR/NOX1/NOXA1/NXT1/OCRL/PAK1/PAK2/PARD6A/PDE6D/PEX5L/PFN1/PICALM/PIH1D2/PKN1/PKN2/PKN3/PLCE1/PLEKHG1/POU4F1/RAB11FIP1/RAB11FIP2/RAB3GAP1/RAB3GAP2/RAB3IP/RABGAP1/RABGAP1L/RABGEF1/RABGGTB/RANBP1/RANBP17/RANBP2/RANBP9/RANGAP1/RAP1A/RAPGEF4/RAPGEF6/RASA1/RASGRP3/RIC1/RILPL1/RIMS2/RIN2/ROCK1/ROCK2/RRAGD/SH3BP4/SIKE1/SOD1/SORL1/SPTBN1/STOML2/STRN3/SYTL1/SYTL2/TBC1D30/TNPO1/TNPO3/TRIP11/UNC13B/USP33/USP6NL/WASF1/WDR44/XPO1/XPO4/XPO7/XPOT"
"GTPase regulator activity",0.000342176431127784,"ACAP2/ADAP1/ADAP2/ADRA2C/AGAP5/AGAP9/AGFG1/AGFG2/AKAP13/ALS2/ARAP2/ARFGEF1/ARFGEF2/ARFGEF3/ARHGAP11A/ARHGAP11B/ARHGAP12/ARHGAP15/ARHGAP18/ARHGAP19/ARHGAP21/ARHGAP24/ARHGAP26/ARHGAP28/ARHGAP29/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP39/ARHGAP4/ARHGAP42/ARHGAP44/ARHGAP45/ARHGAP5/ARHGEF10/ARHGEF10L/ARHGEF11/ARHGEF12/ARHGEF15/ARHGEF2/ARHGEF25/ARHGEF26/ARHGEF28/ARHGEF33/ARHGEF38/ARHGEF40/ARHGEF6/ARHGEF7/ARL2BP/ASAP1/ASAP2/BNIP2/C9orf72/CCDC88A/CCZ1/CHM/CHML/CPEB2/DENND10/DENND11/DENND1A/DENND1B/DENND2B/DENND3/DENND4A/DENND4C/DENND5A/DENND5B/DENND6A/DENND6B/DEPDC1/DEPDC1B/DIS3/DLC1/DNM1L/DNMBP/DOCK1/DOCK10/DOCK11/DOCK2/DOCK3/DOCK4/DOCK5/DOCK7/DOCK8/DOCK9/ECT2/ECT2L/EIF5/ELMO1/ELMOD2/EPS8L1/EPS8L2/EVI5/EVI5L/FAM13A/FAM13B/FARP1/FARP2/FBXO8/FGD1/FGD4/FGD5/FGD6/FRMD7/GAPVD1/GARNL3/GBF1/GIT1/GIT2/GNA13/GNAQ/GPS1/GPSM2/GRTP1/HERC1/HERC2/HMGCR/HTR2B/IPO5/IPO7/IQGAP1/IQGAP2/IQGAP3/IQSEC2/IQSEC3/ITSN1/ITSN2/KRIT1/LAMTOR2/LAMTOR3/LARS1/LRRK2/MCF2/MCF2L2/MON1A/MYCBP2/MYO9A/NCKAP1L/NET1/NF1/NRP1/NUCB1/OCRL/OPHN1/P2RY12/PDE6D/PLCB1/PLCD4/PLCE1/PLEKHG1/PLEKHG6/PLEKHG7/PSD3/RAB3GAP1/RAB3GAP2/RAB3IP/RABEP1/RABGAP1/RABGAP1L/RABGEF1/RALGAPA1/RALGAPA2/RALGAPB/RALGPS1/RALGPS2/RANBP1/RANBP2/RANBP3L/RANGAP1/RAP1A/RAPGEF2/RAPGEF3/RAPGEF4/RAPGEF5/RAPGEF6/RASA1/RASA2/RASAL1/RASAL2/RASGEF1B/RASGEF1C/RASGRF1/RASGRF2/RASGRP1/RASGRP3/RASGRP4/RGL1/RGPD1/RGPD2/RGPD3/RGPD4/RGPD5/RGS17/RGS18/RGS2/RGS20/RGS5/RGS8/RHOD/RHOF/RHOU/RIC1/RIC8B/RIN2/RP2/RPGR/SBF2/SEC23A/SH3BP4/SH3BP5/SIPA1L1/SIPA1L2/SIRPA/SLC38A9/SLIT2/SMCR8/SOS1/SOS2/SPATA13/SRGAP1/SRGAP3/STARD13/STARD8/STXBP5/SWAP70/SYDE1/SYDE2/TAGAP/TBC1D1/TBC1D10C/TBC1D12/TBC1D14/TBC1D15/TBC1D2B/TBC1D30/TBC1D3D/TBC1D3F/TBC1D5/TBC1D8/TBC1D9/TBCK/TIAM1/TIAM2/TRIO/USP6NL/VAV3/WASL/WDR41"
"nucleoside-triphosphatase regulator activity",0.000342176431127784,"ACAP2/ADAP1/ADAP2/ADRA2C/AGAP5/AGAP9/AGFG1/AGFG2/AKAP13/ALS2/ARAP2/ARFGEF1/ARFGEF2/ARFGEF3/ARHGAP11A/ARHGAP11B/ARHGAP12/ARHGAP15/ARHGAP18/ARHGAP19/ARHGAP21/ARHGAP24/ARHGAP26/ARHGAP28/ARHGAP29/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP39/ARHGAP4/ARHGAP42/ARHGAP44/ARHGAP45/ARHGAP5/ARHGEF10/ARHGEF10L/ARHGEF11/ARHGEF12/ARHGEF15/ARHGEF2/ARHGEF25/ARHGEF26/ARHGEF28/ARHGEF33/ARHGEF38/ARHGEF40/ARHGEF6/ARHGEF7/ARL2BP/ASAP1/ASAP2/BNIP2/C9orf72/CCDC88A/CCZ1/CHM/CHML/CPEB2/DENND10/DENND11/DENND1A/DENND1B/DENND2B/DENND3/DENND4A/DENND4C/DENND5A/DENND5B/DENND6A/DENND6B/DEPDC1/DEPDC1B/DIS3/DLC1/DNM1L/DNMBP/DOCK1/DOCK10/DOCK11/DOCK2/DOCK3/DOCK4/DOCK5/DOCK7/DOCK8/DOCK9/ECT2/ECT2L/EIF5/ELMO1/ELMOD2/EPS8L1/EPS8L2/EVI5/EVI5L/FAM13A/FAM13B/FARP1/FARP2/FBXO8/FGD1/FGD4/FGD5/FGD6/FRMD7/GAPVD1/GARNL3/GBF1/GIT1/GIT2/GNA13/GNAQ/GPS1/GPSM2/GRTP1/HERC1/HERC2/HMGCR/HTR2B/IPO5/IPO7/IQGAP1/IQGAP2/IQGAP3/IQSEC2/IQSEC3/ITSN1/ITSN2/KRIT1/LAMTOR2/LAMTOR3/LARS1/LRRK2/MCF2/MCF2L2/MON1A/MYCBP2/MYO9A/NCKAP1L/NET1/NF1/NRP1/NUCB1/OCRL/OPHN1/P2RY12/PDE6D/PLCB1/PLCD4/PLCE1/PLEKHG1/PLEKHG6/PLEKHG7/PSD3/RAB3GAP1/RAB3GAP2/RAB3IP/RABEP1/RABGAP1/RABGAP1L/RABGEF1/RALGAPA1/RALGAPA2/RALGAPB/RALGPS1/RALGPS2/RANBP1/RANBP2/RANBP3L/RANGAP1/RAP1A/RAPGEF2/RAPGEF3/RAPGEF4/RAPGEF5/RAPGEF6/RASA1/RASA2/RASAL1/RASAL2/RASGEF1B/RASGEF1C/RASGRF1/RASGRF2/RASGRP1/RASGRP3/RASGRP4/RGL1/RGPD1/RGPD2/RGPD3/RGPD4/RGPD5/RGS17/RGS18/RGS2/RGS20/RGS5/RGS8/RHOD/RHOF/RHOU/RIC1/RIC8B/RIN2/RP2/RPGR/SBF2/SEC23A/SH3BP4/SH3BP5/SIPA1L1/SIPA1L2/SIRPA/SLC38A9/SLIT2/SMCR8/SOS1/SOS2/SPATA13/SRGAP1/SRGAP3/STARD13/STARD8/STXBP5/SWAP70/SYDE1/SYDE2/TAGAP/TBC1D1/TBC1D10C/TBC1D12/TBC1D14/TBC1D15/TBC1D2B/TBC1D30/TBC1D3D/TBC1D3F/TBC1D5/TBC1D8/TBC1D9/TBCK/TIAM1/TIAM2/TRIO/USP6NL/VAV3/WASL/WDR41"
"histone kinase activity",0.000736919232561658,"AAK1/AKT3/ALPK1/ALPK2/ALPK3/ATM/ATR/BAZ1B/BMP2K/BRAF/BUB1/BUB1B/CASK/CDC42BPA/CDC42BPB/CDK1/CDK5/CHEK1/CIITA/CILK1/CIT/CSNK1A1/CSNK1A1L/CSNK1G1/CSNK1G3/CSNK2A1/CSNK2A2/DAPK1/DAPK3/DCAF1/DCLK2/DCLK3/DYRK1A/EIF2AK2/EIF2AK3/ERN1/FAM20C/GSK3B/HIPK1/HIPK2/HIPK3/IRAK4/JAK2/KSR1/KSR2/LATS1/LATS2/LMTK2/LRRK1/LRRK2/MAK/MAP3K19/MAP3K7/MAP4K3/MAP4K4/MAP4K5/MAPKAPK5/MARK1/MAST1/MASTL/MELK/MKNK1/MTOR/MYLK4/MYO3A/NEK1/NEK10/NEK2/NEK3/NEK4/NEK5/NEK6/NEK7/NRK/OXSR1/PAK1/PAK2/PDPK1/PHKG1/PIK3CA/PIK3CG/PIK3R4/PIKFYVE/PKN1/PRKAA1/PRKCA/PRKCB/PRKDC/PRP4K/RAF1/RIOK3/RIPK1/ROCK1/ROCK2/RPS6KA3/RPS6KA5/RPS6KB1/RPS6KC1/SBK2/SGK1/SGK2/SGK3/SIK2/SIK3/SLK/SMG1/SNRK/SRPK1/SRPK2/STK17B/STK25/STK3/STK31/STK32B/STK32C/STK38L/STK39/STK4/TAF1/TAOK1/TAOK3/TBK1/TLK1/TLK2/TNIK/TNNI3K/TRIO/TRPM6/TRPM7/TSSK4/TTBK2/TTN/UHMK1/ULK3/ULK4/VRK1/VRK2/WNK1/WNK3"
"protein serine/threonine kinase activity",0.000911043618534315,"AAK1/ACVR1B/ACVR1C/ACVR2A/ACVR2B/ADCK2/ADCK5/AKT3/ALPK1/ALPK2/ALPK3/ATM/ATR/BMP2K/BMPR1B/BMPR2/BRAF/BRDT/BUB1/BUB1B/CAMK1D/CAMK1G/CAMK2D/CAMKK2/CASK/CCNK/CDC42BPA/CDC42BPB/CDK1/CDK10/CDK12/CDK13/CDK14/CDK15/CDK17/CDK19/CDK4/CDK5/CDK6/CDKL1/CDKL5/CHEK1/CHUK/CIITA/CILK1/CIT/CLK1/CLK4/CPNE3/CSNK1A1/CSNK1A1L/CSNK1G1/CSNK1G3/CSNK2A1/CSNK2A2/CSNK2B/DAPK1/DAPK3/DCAF1/DCLK2/DCLK3/DYRK1A/DYRK2/EIF2AK2/EIF2AK3/ERN1/FAM20C/FASTK/GRK3/GRK7/GSK3B/HIPK1/HIPK2/HIPK3/HJV/IKBKE/IRAK3/IRAK4/ITPKA/KSR1/KSR2/LATS1/LATS2/LMTK2/LRRK1/LRRK2/LTBP4/MAK/MAP2K2/MAP2K4/MAP2K6/MAP3K1/MAP3K13/MAP3K15/MAP3K19/MAP3K2/MAP3K20/MAP3K21/MAP3K4/MAP3K5/MAP3K6/MAP3K7/MAP4K3/MAP4K4/MAP4K5/MAPK1/MAPK10/MAPK11/MAPK14/MAPK6/MAPK8/MAPK9/MAPKAPK5/MARK1/MAST1/MASTL/MELK/MKNK1/MTOR/MYLK/MYLK3/MYLK4/MYO3A/NEK1/NEK10/NEK2/NEK3/NEK4/NEK5/NEK6/NEK7/NLK/NRK/OXSR1/PAK1/PAK2/PDK3/PDPK1/PHKA1/PHKA2/PHKG1/PIK3CA/PIK3CG/PIK3R4/PIKFYVE/PKN1/PKN2/PKN3/PLK4/PPM1D/PRKAA1/PRKAB2/PRKACB/PRKAG1/PRKCA/PRKCB/PRKCE/PRKD3/PRKDC/PRKG1/PRP4K/RAF1/RIOK3/RIPK1/ROCK1/ROCK2/RPS6KA3/RPS6KA5/RPS6KB1/RPS6KC1/SBK2/SGK1/SGK2/SGK3/SIK2/SIK3/SLK/SMG1/SNRK/SOSTDC1/SRPK1/SRPK2/STK17B/STK25/STK3/STK31/STK32B/STK32C/STK38L/STK39/STK4/SYK/TAF1/TAF1L/TAOK1/TAOK3/TBK1/TGFBR1/TGFBR2/TLK1/TLK2/TNIK/TNNI3K/TOP1/TRIO/TRPM6/TRPM7/TSSK4/TTBK2/TTK/TTN/UHMK1/ULK3/ULK4/VRK1/VRK2/WNK1/WNK3"
"guanyl-nucleotide exchange factor activity",0.00157692542748706,"ADRA2C/AKAP13/ALS2/ARFGEF1/ARFGEF2/ARFGEF3/ARHGEF10/ARHGEF10L/ARHGEF11/ARHGEF12/ARHGEF15/ARHGEF2/ARHGEF25/ARHGEF26/ARHGEF28/ARHGEF33/ARHGEF38/ARHGEF40/ARHGEF6/ARHGEF7/C9orf72/CCDC88A/CCZ1/DENND10/DENND11/DENND1A/DENND1B/DENND2B/DENND3/DENND4A/DENND4C/DENND5A/DENND5B/DENND6A/DENND6B/DIS3/DNMBP/DOCK1/DOCK10/DOCK11/DOCK2/DOCK3/DOCK4/DOCK5/DOCK7/DOCK8/DOCK9/ECT2/ECT2L/ELMO1/EPS8L1/EPS8L2/FARP1/FARP2/FBXO8/FGD1/FGD4/FGD5/FGD6/FRMD7/GAPVD1/GBF1/GNA13/HERC1/HERC2/IQSEC2/IQSEC3/ITSN1/ITSN2/LAMTOR2/LAMTOR3/MCF2/MCF2L2/MON1A/MYCBP2/NET1/NUCB1/P2RY12/PLCD4/PLCE1/PLEKHG1/PLEKHG6/PLEKHG7/PSD3/RAB3GAP1/RAB3GAP2/RAB3IP/RABGEF1/RALGPS1/RALGPS2/RAP1A/RAPGEF2/RAPGEF3/RAPGEF4/RAPGEF5/RAPGEF6/RASGEF1B/RASGEF1C/RASGRF1/RASGRF2/RASGRP1/RASGRP3/RASGRP4/RGL1/RHOD/RHOF/RHOU/RIC1/RIC8B/RIN2/RPGR/SBF2/SH3BP5/SLC38A9/SMCR8/SOS1/SOS2/SPATA13/SWAP70/TAGAP/TIAM1/TIAM2/TRIO/VAV3/WDR41"
"modification-dependent protein binding",0.00239370451542002,"AGL/ANK2/ANKRD13B/APLF/ATAD2B/ATRX/BAZ2A/BPTF/BRD7/BRDT/CBX2/CBX5/CBX8/CCDC38/CDYL/CDYL2/CGAS/CHD1/CHD1L/CHD8/CXXC1/DNAJC2/DPPA3/DZIP3/EP300/EPS15/FAAP20/FAN1/FGF2/FMR1/IKBKE/ING3/JARID2/JMJD7/KDM4A/KDM7A/KMT2A/KMT2E/L3MBTL1/L3MBTL3/MACROH2A1/MBTD1/MINDY1/MINDY2/MORC3/MPND/MSH6/MSL3/NBN/NCAPD3/NCAPG2/OTUD7A/PARP10/PEX1/PHF20L1/PHF8/PHIP/PLCG2/PRPF8/PSME4/RAD18/RAD23B/RNF169/RNF31/RRP8/SAYSD1/SETD5/SGF29/SHARPIN/SOCS2/SPIN1/SPIN2A/SPIN4/SPRTN/SUZ12/TAB2/TAB3/TAF1/TAF1L/TDRD3/THAP7/TNIP3/TOPBP1/TP53BP1/TRIM24/UBL7/UBQLN1/UBQLN2/UBQLN3/UBQLNL/UBXN1/UHRF1/USP15/YEATS2/YWHAG/ZBTB1/ZCWPW2/ZFAND6/ZMYND11/ZMYND8/ZRANB1/ZRANB3/ZZEF1/ZZZ3"
"protein serine kinase activity",0.00239370451542002,"AAK1/AKT3/ALPK1/ALPK2/ALPK3/ATM/ATR/BMP2K/BRAF/BUB1/BUB1B/CAMK1D/CAMK1G/CAMK2D/CAMKK2/CASK/CDC42BPA/CDC42BPB/CDK1/CDK10/CDK12/CDK13/CDK14/CDK15/CDK17/CDK19/CDK4/CDK5/CDK6/CDKL1/CDKL5/CHEK1/CIITA/CILK1/CIT/CLK1/CLK4/CSNK1A1/CSNK1A1L/CSNK1G1/CSNK1G3/CSNK2A1/CSNK2A2/DAPK1/DAPK3/DCAF1/DCLK2/DCLK3/DYRK1A/DYRK2/EIF2AK2/EIF2AK3/ERN1/FAM20C/FASTK/GSK3B/HIPK1/HIPK2/HIPK3/IRAK4/KSR1/KSR2/LATS1/LATS2/LMTK2/LRRK1/LRRK2/MAK/MAP2K2/MAP2K4/MAP2K6/MAP3K1/MAP3K13/MAP3K15/MAP3K19/MAP3K2/MAP3K20/MAP3K21/MAP3K4/MAP3K5/MAP3K6/MAP3K7/MAP4K3/MAP4K4/MAP4K5/MAPK1/MAPK10/MAPK11/MAPK14/MAPK6/MAPK8/MAPK9/MAPKAPK5/MARK1/MAST1/MASTL/MELK/MKNK1/MTOR/MYLK4/MYO3A/NEK1/NEK10/NEK2/NEK3/NEK4/NEK5/NEK6/NEK7/NLK/NRK/OXSR1/PAK1/PAK2/PDPK1/PHKG1/PIK3CA/PIK3CB/PIK3CG/PIK3R4/PIKFYVE/PKN1/PKN2/PKN3/PLK4/PRKAA1/PRKACB/PRKCA/PRKCB/PRKCE/PRKD3/PRKDC/PRKG1/PRP4K/RAF1/RIOK3/RIPK1/ROCK1/ROCK2/RPS6KA3/RPS6KA5/RPS6KB1/RPS6KC1/SBK2/SGK1/SGK2/SGK3/SIK2/SIK3/SLK/SMG1/SNRK/SRPK1/SRPK2/STK17B/STK25/STK3/STK31/STK32B/STK32C/STK38L/STK39/STK4/TAF1/TAOK1/TAOK3/TBK1/TLK1/TLK2/TNIK/TNNI3K/TRIO/TRPM6/TRPM7/TSSK4/TTBK2/TTK/TTN/UHMK1/ULK3/ULK4/VRK1/VRK2/WNK1/WNK3"
