"Pathway","Adjusted_Pvalue","Genes"
"mitochondrial gene expression",8.67297682271459e-23,"AARS2/ALKBH1/ANGEL2/AURKAIP1/C1QBP/CDK5RAP1/CHCHD1/COA3/DARS2/EARS2/ELAC2/FASTK/FASTKD1/FASTKD2/FASTKD3/FASTKD5/GADD45GIP1/GARS1/GATB/GATC/GFM1/GFM2/IARS2/KANSL3/LARS2/LRPPRC/MALSU1/METTL4/METTL8/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTERF1/MTERF2/MTERF3/MTG2/MTIF2/MTIF3/MTO1/MTRES1/MTRF1/MTRF1L/NGRN/NSUN3/PNPT1/POLRMT/PRKAA1/PTCD3/QRSL1/RARS2/RCC1L/RMND1/RPUSD3/TACO1/TARS2/TBRG4/TEFM/TFAM/TFB1M/TFB2M/THAP11/TRIT1/TRMT10C/TRMT5/TRMT61B/TRNT1/TRUB2/TSFM/TUFM/UQCC2/WARS2/YARS2"
"mitochondrial translation",3.89223272852692e-22,"AARS2/ALKBH1/AURKAIP1/C1QBP/CDK5RAP1/CHCHD1/COA3/DARS2/EARS2/FASTKD2/FASTKD3/GADD45GIP1/GARS1/GATB/GATC/GFM1/GFM2/IARS2/LARS2/LRPPRC/MALSU1/METTL8/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTG2/MTIF2/MTIF3/MTRF1/MTRF1L/NGRN/NSUN3/PTCD3/QRSL1/RARS2/RCC1L/RMND1/RPUSD3/TACO1/TARS2/TRMT10C/TRUB2/TSFM/TUFM/UQCC2/WARS2/YARS2"
"tRNA metabolic process",1.62101485869591e-16,"AARS1/AARS2/ADAT1/ADAT3/ALKBH1/ALKBH8/ANKRD16/BCDIN3D/CARS1/CDK5RAP1/CDKAL1/CTU1/DALRD3/DARS1/DARS2/DDX1/DICER1/DPH3/DTD1/DTD2/DTWD1/DTWD2/DUS1L/EARS2/ELAC1/ELAC2/ELP1/ELP2/ELP3/ELP4/ELP5/ELP6/EPRS1/EXOSC10/EXOSC3/EXOSC8/FAM98A/FARS2/FARSA/FARSB/FTSJ1/GARS1/GATB/GATC/GON7/GRSF1/GTDC1/GTF3C1/GTF3C2/GTF3C3/GTF3C6/GTPBP3/HARS2/IARS1/IARS2/KARS1/KTI12/LAGE3/LARS1/LARS2/LCMT2/LRRC47/LSM6/MARS2/METTL1/METTL2A/METTL2B/METTL6/METTL8/MOCS3/MTFMT/MTO1/NARS1/NARS2/NAT10/NSUN2/NSUN3/OSGEPL1/PARS2/POLR2E/POLR2F/POLR2L/POLR3A/POP1/POP4/POP5/POP7/PUS10/PUS3/PUS7/PUSL1/QNG1/QRSL1/RARS1/RARS2/RPP25/RPP25L/RPP30/RPP38/RPP40/RTCB/RTRAF/SARS1/SSB/TARS1/TARS2/TARS3/THADA/THUMPD1/THUMPD3/TP53RK/TPRKB/TRDMT1/TRIT1/TRMO/TRMT10A/TRMT10C/TRMT11/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN15/TSEN2/TSEN54/TYW1/TYW1B/TYW3/TYW5/WARS2/WDR4/YARS1/YARS2/YRDC/ZBTB8OS/ZCCHC7"
"Golgi vesicle transport",5.19456431220043e-13,"ACSL3/AMN/ANK1/ANK3/ANKFY1/ANXA13/AP1AR/AP3D1/AP3S1/AP4M1/AP5Z1/ARCN1/ARF4/ARFGAP3/ARFRP1/ARL3/ARL8B/ATP2C1/ATP9A/ATP9B/BBS1/BBS2/BCAP31/BET1/BET1L/BICD2/BLTP3B/BLZF1/CCDC22/CCDC91/CNIH4/CNST/COG1/COG2/COG3/COG4/COG5/COG6/COG7/COG8/COMMD1/COPA/COPB1/COPB2/COPE/COPG1/COPZ1/COPZ2/CTAGE6/CUL3/CYTH3/DOP1A/EPS15/ERGIC2/EXOC1/EXOC2/EXOC4/EXOC5/EXOC6/EXOC6B/GABARAPL2/GAK/GAS1/GCC2/GGA2/GOLGA4/GOLGA5/GOLGA7/GOLPH3/GOLPH3L/GOLT1B/GOPC/GOSR1/GOSR2/IER3IP1/INSIG1/KDELR2/KDELR3/KIF16B/KLHL12/KLHL20/LLGL2/LMAN1/LMAN2/LMAN2L/LRRK2/LYPLA1/MACF1/MIA2/MIA3/MON2/MYO1B/NBAS/NKD2/NRBP1/NSF/OPTN/OSBPL5/PEF1/PITPNB/PPP6C/PREB/PREPL/PRKCI/RAB10/RAB11A/RAB11FIP3/RAB14/RAB26/RAB33B/RAB3IP/RAB6A/RAB6C/RABEP1/RABIF/RANGRF/RER1/RINT1/RNF139/SAR1B/SCAMP1/SCAMP2/SCAMP3/SCAP/SCFD1/SCYL1/SEC13/SEC16A/SEC22A/SEC22B/SEC22C/SEC23A/SEC23B/SEC23IP/SEC24A/SEC24B/SEC24C/SEC24D/SEC31A/SGSM2/SLC10A7/SNX2/SNX3/SORCS1/SPAST/SPIRE1/SPTBN1/STX18/STX5/STX6/STXBP5/SURF4/SYS1/TAPBP/TBC1D20/TFG/TMED1/TMED10/TMED2/TMED5/TMED7/TMEM115/TRAPPC11/TRAPPC12/TRAPPC13/TRAPPC2/TRAPPC2B/TRAPPC2L/TRAPPC3/TRAPPC4/TRAPPC6A/TRAPPC6B/TRAPPC8/TRAPPC9/TRIP11/USE1/USO1/VAMP5/VAMP7/VAPA/VAPB/VCP/VPS13A/VPS13C/VPS35L/VPS41/VPS51/VPS54/VTI1B/YIF1A/YIPF4/YIPF5/YIPF6/YIPF7/ZW10"
"tRNA processing",5.85269685136872e-13,"AARS1/ADAT1/ADAT3/ALKBH1/ALKBH8/ANKRD16/BCDIN3D/CDK5RAP1/CDKAL1/CTU1/DALRD3/DDX1/DPH3/DTWD1/DTWD2/DUS1L/ELAC1/ELAC2/ELP1/ELP2/ELP3/ELP4/ELP5/ELP6/FAM98A/FARS2/FTSJ1/GON7/GRSF1/GTDC1/GTPBP3/KARS1/KTI12/LAGE3/LCMT2/LSM6/METTL1/METTL2A/METTL2B/METTL6/METTL8/MOCS3/MTFMT/MTO1/NAT10/NSUN2/NSUN3/OSGEPL1/POP1/POP4/POP5/POP7/PUS10/PUS3/PUS7/PUSL1/QNG1/RPP25/RPP25L/RPP30/RPP38/RPP40/RTCB/RTRAF/SARS1/SSB/THADA/THUMPD1/THUMPD3/TP53RK/TPRKB/TRDMT1/TRIT1/TRMO/TRMT10A/TRMT10C/TRMT11/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN15/TSEN2/TSEN54/TYW1/TYW1B/TYW3/TYW5/WDR4/YRDC/ZBTB8OS"
"mitochondrion organization",6.17893192528163e-12,"ABCC9/ACAA2/ACAD9/AFG1L/AFG3L2/AGK/AGTPBP1/AIFM1/AIFM2/AKT3/ALKBH7/AP3B1/APOO/ARMC1/ARMCX3/ATAD3A/ATF2/ATG3/ATP13A2/ATP23/ATP5F1D/ATP5IF1/ATP7A/ATPAF1/AURKA/BAD/BIK/BNIP3/BNIP3L/C11orf65/CAMK2A/CAMKMT/CEP89/CERT1/CHCHD2/CHCHD3/CHCHD4/CHCHD6/CHCHD7/CIBAR1/CLPP/CLUH/CNP/COA1/COA3/COA4/COA5/COA8/COL6A1/COX10/COX14/COX16/COX17/COX19/COX20/COX7A2/CTCF/CXADR/DDHD2/DMAC1/DMAC2/DNA2/DNAJA3/DNM1L/ENDOG/EPCIP/EPM2A/ERBB4/FAM162A/FANCG/FASTKD3/FEZ1/FMC1/FUNDC1/FZD9/GABPB1/GCLC/GCLM/GDAP1/GGCT/GHITM/GOLPH3/HAP1/HIGD1A/HIP1R/HMGCL/HRK/HSPA4/HSPD1/HTRA2/IFI27L2/IFI6/IMMP2L/IMMT/INF2/IRGM/JTB/KIF5B/LETM1/LIG3/LIPA/LMNA/LONP1/LRRK2/LYRM2/LYRM7/MAIP1/MAPT/MARCHF5/MCU/MEF2A/METTL4/MFF/MFN1/MFSD14A/MFSD8/MGARP/MGME1/MICOS10/MICOS13/MIEF2/MIGA1/MIR29A/MLLT11/MPV17/MTCH2/MTFR1L/MTM1/MTX2/MUL1/MYH14/NDUFA11/NDUFA12/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF4/NDUFAF6/NDUFAF7/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS1/NDUFS2/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NIPSNAP2/NME3/NOA1/NPTX1/NUBPL/OMA1/OPA1/PANK2/PARL/PARP1/PET117/PGAM5/PHB1/PINK1/PMAIP1/PNPT1/POLDIP2/POLG/PRDX3/PRIMPOL/PRKN/PRMT6/PSMD10/PTCD2/PUM2/RAB29/RAB5IF/RALA/RAP1GDS1/RCC1L/RHOT1/RHOT2/ROMO1/RRM1/RRM2B/SAMM50/SCO2/SDHAF1/SDHAF2/SDHAF3/SDHAF4/SFN/SHARPIN/SIRT4/SIRT5/SLC25A4/SLC25A46/SLC30A9/SLIRP/SMIM20/SPIRE1/SQSTM1/STMP1/STOML2/STOX1/STPG1/SURF1/TACO1/TFAM/TIMM10B/TIMM13/TIMM21/TIMM22/TIMM29/TIMM50/TIMM8A/TIMM8B/TIMM9/TMEM102/TMEM11/TMEM126A/TMEM126B/TMEM14A/TMEM186/TMEM223/TMEM242/TMEM70/TOMM40/TOMM70/TRAK2/TRIAP1/TTC19/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/UQCRFS1/USP30/VAT1/VPS13A/VPS13C/VPS13D/VPS35/VPS54/WASF1/WDR81/YME1L1/ZDHHC6"
"mitochondrial respiratory chain complex assembly",1.27586922472751e-11,"ACAD9/AIFM1/CHCHD4/CHCHD7/COA1/COA3/COA4/COA5/COA8/COX14/COX16/COX17/COX19/COX20/DMAC1/DMAC2/FASTKD3/IMMP2L/LYRM2/LYRM7/NDUFA11/NDUFA12/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF4/NDUFAF6/NDUFAF7/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS1/NDUFS2/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NUBPL/OMA1/PET117/SAMM50/SCO2/SDHAF1/SDHAF2/SDHAF3/SDHAF4/SMIM20/STMP1/SURF1/TACO1/TFAM/TIMM21/TMEM126A/TMEM126B/TMEM186/TMEM223/TTC19/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/UQCRFS1"
"mitochondrial respirasome assembly",1.85905092527713e-09,"ACAD9/AIFM1/ATP23/ATP5F1D/ATPAF1/COA1/COA3/COA4/COA5/COA8/COX14/COX16/COX17/COX19/COX20/COX7A2/DMAC1/DMAC2/FASTKD3/FMC1/HIGD1A/LYRM2/LYRM7/NDUFA11/NDUFA12/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF4/NDUFAF6/NDUFAF7/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS1/NDUFS2/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NUBPL/PET117/RAB5IF/SCO2/SDHAF1/SDHAF2/SDHAF3/SDHAF4/SMIM20/STMP1/SURF1/TACO1/TIMM21/TMEM126A/TMEM126B/TMEM186/TMEM223/TMEM242/TMEM70/TTC19/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/UQCRFS1"
"establishment of protein localization to organelle",7.98965422785764e-09,"ABRA/ACD/ADCY10/AGK/AIFM1/AIP/ANGPT1/AP3B1/AP3D1/AP3M1/AP4M1/APPL1/APPL2/ATF2/ATG13/ATP5IF1/BAG4/BCAP31/BECN1/BHLHE40-AS1/BMP4/BNIP3L/BRCA2/C11orf65/CBLB/CCT6A/CDH1/CHCHD4/CRY2/CSE1L/CTCFL/DNAJA1/DNAJC15/DNAJC19/DNLZ/ECT2/EFCAB7/EIF4ENIF1/ELAVL1/EPM2A/FAM53A/FBXO7/FERMT1/FGF9/GCC2/GDAP1/GNPTAB/GOLPH3/GOLPH3L/GZMB/H1-5/HACL1/HAX1/HDAC3/HGS/HIKESHI/HK1/HSPA1L/HSPA4/HSPA8/HSPD1/HTRA2/HYAL2/IFNG/IL10RA/IMMP1L/IMMP2L/IPO11/IPO13/IPO5/IPO8/IPO9/IRGM/JAK2/KPNA1/KPNA2/KPNA3/KPNA4/KPNA5/KPNA7/LAMP3/LMAN1/LMNA/LONP2/LRRK2/LRSAM1/M6PR/MACROH2A2/MAIP1/MAN1A1/MAPK14/MAPT/MBTPS1/MDFIC/MED1/MFF/MGARP/MIPEP/MKLN1/MON1A/MON1B/MTCH2/MTX2/MVB12A/MVB12B/NAGPA/NEDD4/NF1/NFATC3/NIPBL/NMT1/NPEPPS/NUP107/NUP133/NUP155/NUP188/NUP214/NUP35/NUP50/NUP54/NUP58/NUP62/NUP85/NUP88/NUP93/NUP98/NUTF2/PARL/PEX1/PEX10/PEX12/PEX13/PEX16/PEX19/PEX2/PEX3/PEX7/PIK3C3/PIK3R1/PIK3R4/PINK1/PITRM1/PKIA/PMPCA/POLA2/POT1/PPP1R10/PRKAA1/PRKN/PSEN1/PTTG1IP/RAB10/RAB11A/RAB23/RAB3GAP1/RAB3GAP2/RAB4A/RAB7A/RAB8B/RALA/RAN/RANBP2/RANBP6/RGPD1/RGPD2/RN7SL1/RN7SL3/ROMO1/RUVBL2/RYR2/SAE1/SAMM50/SEC13/SEC61B/SEC62/SGF29/SGTA/SH3GLB1/SIRT4/SIRT6/SMO/SNAP25-AS1/SNUPN/SNX16/SPCS1/SPCS2/SPG11/SPIDR/SQSTM1/SREBF2/SRP14/SRP19/SRP54/SRP68/SRP72/SRP9/SRPRA/SRPRB/STAM2/STAT3/STK3/STK4/SUFU/SUMO1/TCP1/TERF1/TIMM10B/TIMM13/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM29/TIMM50/TIMM8A/TIMM8B/TIMM9/TMCO6/TMEM126A/TNFAIP3/TNPO1/TNPO3/TOMM34/TOMM40/TOMM70/TPR/TRAM1/TRAM1L1/TRIM37/TSC2/TSG101/TSPAN10/TSPAN17/TSPO/TTC9-DT/UBE2D3/UBE2J2/UBE2L3/UBL4A/UBL5/UBR5/USP9X/VPS13A/VPS13C/VPS13D/VPS25/VPS36/VPS37A/VPS41/VPS4A/VPS54/VPS8/WRAP53/ZDHHC15/ZFAND2B/ZFAND6/ZFYVE16/ZNF827"
"tRNA modification",1.0419187446863e-07,"AARS1/ALKBH1/ALKBH8/ANKRD16/BCDIN3D/CDK5RAP1/CDKAL1/CTU1/DALRD3/DPH3/DTWD1/DTWD2/DUS1L/ELP1/ELP2/ELP3/ELP4/ELP5/ELP6/FTSJ1/GON7/GTDC1/GTPBP3/KTI12/LCMT2/METTL1/METTL2A/METTL2B/METTL6/METTL8/MOCS3/MTFMT/MTO1/NAT10/NSUN2/NSUN3/OSGEPL1/PUS10/PUS3/PUS7/PUSL1/QNG1/SARS1/SSB/THADA/THUMPD1/THUMPD3/TPRKB/TRDMT1/TRIT1/TRMO/TRMT10A/TRMT10C/TRMT112/TRMT13/TRMT1L/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRUB1/TYW1/TYW1B/TYW3/TYW5/WDR4/YRDC"
