"Pathway","Adjusted_Pvalue","Genes"
"chromosomal region",4.613323465177e-16,"ACD/ACTB/ACTL6A/AHCTF1/ANAPC16/APC/ARID2/ATM/ATR/ATRX/AURKA/BAZ1A/BAZ1B/BIRC5/BLM/BOD1/BRCA2/BRD7/BUB1/BUB3/C9orf78/CBX3/CCNB1/CDC73/CDK2/CDT1/CENPC/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPQ/CENPS/CENPT/CENPU/CENPV/CENPX/CHMP2B/CHMP5/CHMP6/CHMP7/CHRAC1/CKAP5/CLASP1/CLASP2/CLIP1/CSNK1A1/CTCF/DAXX/DCLRE1B/DCTN1/DCTN2/DCTN5/DCTN6/DDB1/DNA2/DSN1/DYNC1I1/DYNLL1/DYNLT3/EID3/ERCC4/ERCC6L/ESCO2/FBXO28/FBXW11/FEN1/FIRRM/GPATCH11/H2AX/H2BC3/H4C1/H4C11/H4C12/H4C13/H4C14/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C9/HAT1/HDAC2/HMBOX1/HNRNPU/HSF1/IKZF1/ITGB3BP/KDM1A/KDM4C/KDM4D/KIF18A/KIF22/KMT5B/KNSTRN/KNTC1/LIG4/LRIF1/MACROH2A2/MAD2L1/MCM3/MCM4/MCM5/MCM6/MEAF6/MEN1/MIS12/MIS18A/MIS18BP1/MRE11/MSH2/MTBP/NABP1/NAT10/NBN/NCAPD2/NCAPD3/NDC80/NGDN/NHP2/NSL1/NSMCE1/NSMCE2/NSMCE3/NSMCE4A/NUDCD2/NUF2/NUP107/NUP133/NUP160/NUP37/NUP43/NUP85/NUP98/OIP5/ORC2/ORC3/ORC4/ORC5/PARP1/PBRM1/PCNA/PDS5A/PDS5B/PHF10/PHF6/PINX1/PKHD1/PLK2/POLD1/POLE3/POLR2B/POT1/PPP1CA/PPP1CB/PPP1CC/PPP1R10/PPP1R12A/PPP2R1A/PPP2R5A/PPP2R5C/PRKDC/PSEN1/PTGES3/PURA/RAD17/RAD21/RAD50/RAD51D/RBBP4/RBBP7/RECQL4/RIF1/RNF8/RPA1/RPA2/RPA4/SEC13/SEH1L/SEPTIN2/SEPTIN7/SETX/SGO2/SIN3A/SIRT6/SKA2/SLF1/SLF2/SMARCA4/SMARCA5/SMARCC1/SMARCC2/SMARCD2/SMARCE1/SMC1A/SMC1B/SMC3/SMC5/SMC6/SNAI1/SP100/SPC24/SPDL1/SPOUT1/SSB/STAG1/STAG2/STN1/SUGT1/SUN1/SUN2/SUV39H1/SUV39H2/SYCP1/SYCP2/SYCP3/TELO2/TERF1/TERF2/TERF2IP/TFIP11/THOC1/THOC2/THOC3/THOC6/THOC7/TINF2/TNKS/TNKS2/TP53BP1/TPR/TRAPPC12/UPF1/WAPL/WRAP53/WRN/WRNIP1/XPO1/XRCC5/XRCC6/ZNF207/ZNF276/ZNF330/ZNF827/ZW10/ZWILCH"
"organellar ribosome",4.71335459491868e-14,"AURKAIP1/CHCHD1/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTG2/NSUN3/PTCD3"
"mitochondrial ribosome",4.71335459491868e-14,"AURKAIP1/CHCHD1/GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTG2/NSUN3/PTCD3"
"mitochondrial protein-containing complex",7.68256993504935e-14,"AFG3L2/AGK/APOO/AURKAIP1/CHCHD1/CHCHD3/CHCHD6/CLPX/DNA2/DNAJC15/DNAJC19/GADD45GIP1/HADHB/IMMP1L/IMMP2L/IMMT/ISCA1/ISCA2/ISCU/MCU/MCUB/MFN1/MICOS10/MICOS13/MICU2/MICU3/MPC1/MPC2/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL55/MRPL57/MRPL58/MRPS10/MRPS11/MRPS12/MRPS14/MRPS16/MRPS17/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS22/MRPS23/MRPS24/MRPS26/MRPS27/MRPS28/MRPS30/MRPS31/MRPS33/MRPS34/MRPS35/MRPS6/MRPS7/MRPS9/MTX2/NDUFAB1/NFS1/NSUN3/PDSS1/PDSS2/PHB1/PMPCA/PNPT1/POLG/POLRMT/PTCD3/ROMO1/SAMM50/SLC25A4/TIMM10B/TIMM13/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM29/TIMM50/TIMM8A/TIMM8B/TIMM9/TOMM40/TOMM70/TRMT10C/VDAC1"
"T cell receptor complex",6.70291763814145e-11,"CD3D/CD3E/CD3G/CD6/CD8A/CD8B/TRAC/TRAT1/TRAV1-1/TRAV1-2/TRAV10/TRAV12-2/TRAV12-3/TRAV13-1/TRAV13-2/TRAV14DV4/TRAV16/TRAV17/TRAV18/TRAV19/TRAV20/TRAV21/TRAV22/TRAV23DV6/TRAV24/TRAV26-1/TRAV26-2/TRAV27/TRAV29DV5/TRAV3/TRAV30/TRAV34/TRAV35/TRAV36DV7/TRAV38-1/TRAV38-2DV8/TRAV39/TRAV4/TRAV40/TRAV41/TRAV5/TRAV6/TRAV8-1/TRAV8-2/TRAV8-3/TRAV8-4/TRAV8-6/TRAV9-2/TRBC1/TRBC2/TRBJ1-1/TRBJ2-2/TRBJ2-3/TRBJ2-4/TRBJ2-5/TRBJ2-6/TRBJ2-7/TRBV10-1/TRBV10-3/TRBV11-2/TRBV11-3/TRBV12-3/TRBV12-4/TRBV13/TRBV16/TRBV19/TRBV20-1/TRBV23-1/TRBV24-1/TRBV25-1/TRBV27/TRBV28/TRBV3-1/TRBV30/TRBV4-1/TRBV4-2/TRBV5-1/TRBV5-3/TRBV5-4/TRBV5-5/TRBV5-6/TRBV5-7/TRBV6-1/TRBV6-4/TRBV6-5/TRBV6-6/TRBV6-8/TRBV7-3/TRBV7-4/TRBV7-6/TRBV7-9/TRBV9/TRDV1/TRDV2/TRGC1/TRGC2/TRGV1/TRGV11/TRGV2/TRGV3/TRGV4/TRGV5/TRGV8/TRGV9"
"chromosome, centromeric region",3.1279823530899e-10,"ACTB/ACTL6A/AHCTF1/ANAPC16/APC/ARID2/ATRX/AURKA/BAZ1A/BAZ1B/BIRC5/BOD1/BRD7/BUB1/BUB3/C9orf78/CBX3/CCNB1/CDT1/CENPC/CENPF/CENPH/CENPI/CENPK/CENPL/CENPM/CENPQ/CENPS/CENPT/CENPU/CENPV/CENPX/CHMP2B/CHMP5/CHMP6/CHMP7/CHRAC1/CKAP5/CLASP1/CLASP2/CLIP1/CSNK1A1/CTCF/DAXX/DCTN1/DCTN2/DCTN5/DCTN6/DSN1/DYNC1I1/DYNLL1/DYNLT3/ERCC6L/ESCO2/FBXO28/FBXW11/FIRRM/GPATCH11/H4C1/H4C11/H4C12/H4C13/H4C14/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C9/HNRNPU/HSF1/IKZF1/ITGB3BP/KDM4C/KDM4D/KIF18A/KIF22/KMT5B/KNSTRN/KNTC1/MAD2L1/MEAF6/MIS12/MIS18A/MIS18BP1/MTBP/NCAPD2/NCAPD3/NDC80/NGDN/NSL1/NSMCE1/NUDCD2/NUF2/NUP107/NUP133/NUP160/NUP37/NUP43/NUP85/NUP98/OIP5/ORC2/PBRM1/PDS5A/PDS5B/PHF10/PHF6/PINX1/PKHD1/PLK2/POLE3/PPP1CC/PPP1R12A/PPP2R1A/PPP2R5A/PPP2R5C/PSEN1/RAD21/SEC13/SEH1L/SEPTIN2/SEPTIN7/SGO2/SIN3A/SIRT6/SKA2/SMARCA4/SMARCA5/SMARCC1/SMARCC2/SMARCD2/SMARCE1/SMC1A/SMC1B/SMC3/SMC5/SMC6/SNAI1/SPC24/SPDL1/SPOUT1/STAG1/STAG2/SUGT1/SUV39H1/SUV39H2/SYCP1/SYCP2/SYCP3/TP53BP1/TPR/TRAPPC12/WAPL/XPO1/ZNF207/ZNF276/ZNF330/ZW10/ZWILCH"
"organellar large ribosomal subunit",1.27315733306864e-08,"GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL55/MRPL57/MRPL58/MRPS18A/MRPS30/NSUN3"
"mitochondrial large ribosomal subunit",1.27315733306864e-08,"GADD45GIP1/MPV17L2/MRPL1/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL19/MRPL2/MRPL20/MRPL21/MRPL22/MRPL24/MRPL27/MRPL28/MRPL3/MRPL30/MRPL32/MRPL33/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL42/MRPL43/MRPL45/MRPL46/MRPL47/MRPL48/MRPL49/MRPL50/MRPL51/MRPL55/MRPL57/MRPL58/MRPS18A/MRPS30/NSUN3"
"chromosome, telomeric region",1.27315733306864e-08,"ACD/ATM/ATR/ATRX/BLM/BRCA2/CBX3/CDC73/CDK2/DCLRE1B/DDB1/DNA2/EID3/ERCC4/FEN1/H2AX/H2BC3/H4C1/H4C11/H4C12/H4C13/H4C14/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C9/HAT1/HDAC2/HMBOX1/KDM1A/LIG4/LRIF1/MACROH2A2/MCM3/MCM4/MCM5/MCM6/MEN1/MRE11/MSH2/NABP1/NAT10/NBN/NHP2/NSMCE1/NSMCE2/NSMCE3/NSMCE4A/ORC2/ORC3/ORC4/ORC5/PARP1/PCNA/PINX1/POLD1/POLR2B/POT1/PPP1CA/PPP1CB/PPP1CC/PPP1R10/PRKDC/PTGES3/PURA/RAD17/RAD50/RAD51D/RBBP4/RBBP7/RECQL4/RIF1/RNF8/RPA1/RPA2/RPA4/SETX/SIRT6/SLF1/SLF2/SMC5/SMC6/SP100/SSB/STN1/SUN1/SUN2/TELO2/TERF1/TERF2/TERF2IP/TFIP11/THOC1/THOC2/THOC3/THOC6/THOC7/TINF2/TNKS/TNKS2/TP53BP1/UPF1/WRAP53/WRN/WRNIP1/XRCC5/XRCC6/ZNF827"
"ubiquitin ligase complex",1.75538920182063e-08,"AMBRA1/AMFR/AMN1/ANAPC1/ANAPC10/ANAPC11/ANAPC13/ANAPC16/ANAPC4/ANAPC5/ANAPC7/APPBP2/ARMC8/ASB11/ASB4/BABAM2/BARD1/BCOR/BMI1/BRAP/BRCA1/BRCA2/BRCC3/BTRC/CACYBP/CAND1/CBLL1/CBX8/CCNF/CDC16/CDC20B/CDC23/CDC26/CDC27/CDK8/CKS1B/CKS2/COMMD1/COP1/CRBN/CUL1/CUL2/CUL3/CUL4A/CUL4B/CUL5/DAW1/DCAF1/DCAF10/DCAF12/DCAF13/DCAF17/DCAF4/DCAF5/DCAF6/DCAF7/DCUN1D1/DCUN1D4/DCUN1D5/DDB1/DMAC2/ELOB/ELOC/ERCC8/FBH1/FBXL14/FBXL15/FBXL16/FBXL18/FBXL3/FBXL4/FBXL6/FBXO15/FBXO17/FBXO2/FBXO21/FBXO25/FBXO27/FBXO3/FBXO31/FBXO32/FBXO38/FBXO4/FBXO42/FBXO45/FBXO48/FBXO6/FBXO7/FBXO8/FBXO9/FBXW11/FBXW5/FBXW8/GID4/GLMN/IPP/IVNS1ABP/KBTBD2/KBTBD3/KBTBD6/KBTBD7/KCTD10/KCTD5/KEAP1/KLHDC1/KLHDC2/KLHDC3/KLHL10/KLHL12/KLHL13/KLHL17/KLHL2/KLHL20/KLHL21/KLHL23/KLHL24/KLHL25/KLHL28/KLHL30/KLHL4/KLHL41/KLHL7/KLHL8/KLHL9/LRRC75A/LZTR1/MAD2L2/MAEA/MED1/MED10/MED11/MED12/MED17/MED18/MED21/MED27/MED30/MED31/MED6/MED7/MED8/MKLN1/NCCRP1/NEDD4/PCGF1/PCGF5/PCGF6/PCMTD1/PEF1/PRAME/PRKN/RAD18/RANBP10/RBX1/RCHY1/RMND5A/RMND5B/RNF14/RNF168/RNF19A/RNF2/RNF20/RNF40/RNF7/RNF8/SAMD7/SEL1L/SHARPIN/SKP2/SMURF2/SPOP/SPSB1/SPSB2/SPSB3/STUB1/SUGT1/TMEM183BP/TNFAIP1/TOPORS/TRAF2/TRIM21/TRPC4AP/UBAC1/UBE2A/UBE2J2/UBE2L3/UBE2N/UBE2S/UBE3D/UBE4A/UBR1/UBR2/UBR3/UBXN8/USP33/USP47/WDR77/ZER1/ZSWIM4/ZSWIM5/ZYG11B"
