"Pathway","Adjusted_Pvalue","Genes"
"catalytic activity, acting on a tRNA",3.72340266657004e-10,"AARS1/AARS2/ALKBH1/ALKBH8/ANKZF1/BCDIN3D/CARS1/CDKAL1/DALRD3/DARS1/DARS2/DTD1/DTD2/DTWD1/DTWD2/DUS1L/EARS2/ELAC1/ELAC2/EPRS1/FARS2/FARSA/FARSB/FTO/FTSJ1/GARS1/GATB/GATC/GTDC1/HARS2/IARS1/IARS2/KARS1/LARS1/LARS2/LCMT2/LRRC47/MARS2/METTL1/METTL2A/METTL2B/METTL6/METTL8/MRPL58/MTFMT/NARS1/NARS2/NSUN2/NSUN3/PARS2/POP1/POP4/POP5/POP7/PTRH1/PTRH2/PTRHD1/PUS10/PUS3/PUS7/PUSL1/QRSL1/RARS1/RARS2/RPP25/RPP30/RPP38/RPP40/SARS1/TARS1/TARS2/TARS3/THUMPD3/TRDMT1/TRIT1/TRMO/TRMT10A/TRMT10C/TRMT11/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN2/TYW1/TYW1B/TYW3/TYW5/WARS2/YARS1/YARS2"
"catalytic activity, acting on RNA",7.14957404879391e-10,"AARS1/AARS2/ALKBH1/ALKBH3/ALKBH5/ALKBH8/ANKZF1/AQR/BCDIN3D/BRIP1/CARS1/CDKAL1/CMTR2/CNOT1/CNOT2/CNOT6/CNOT6L/CNOT7/CNOT8/CPSF3/DALRD3/DARS1/DARS2/DBR1/DCP2/DDX1/DDX10/DDX18/DDX19A/DDX20/DDX23/DDX25/DDX28/DDX31/DDX3X/DDX5/DDX50/DDX52/DDX54/DDX55/DDX59/DDX60/DDX60L/DHX15/DHX16/DHX29/DHX30/DHX32/DHX40/DHX9/DICER1/DIMT1/DIS3/DIS3L/DROSHA/DTD1/DTD2/DTWD1/DTWD2/DUS1L/EARS2/EIF4A3/ELAC1/ELAC2/EMG1/ENDOG/ENDOU/ENDOV/EPRS1/ERI1/ERI2/ERI3/EXD2/EXOSC10/EXOSC3/EXOSC4/EXOSC5/FANCM/FARS2/FARSA/FARSB/FDXACB1/FEN1/FTO/FTSJ1/G3BP1/GARS1/GATB/GATC/GTDC1/HARS2/HENMT1/IARS1/IARS2/IFIH1/IGHMBP2/ISG20/KARS1/LACTB2/LARS1/LARS2/LCMT2/LRRC47/MARS2/MBLAC1/MED20/MED21/METTL1/METTL14/METTL15/METTL15P1/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/METTL8/MOV10/MOV10L1/MRM1/MRM3/MRPL58/MTFMT/MTREX/NARS1/NARS2/NSUN2/NSUN3/NSUN5/PARN/PARS2/PCIF1/PDE12/PIWIL1/PIWIL3/PNLDC1/PNPT1/POLR1B/POLR1C/POLR1H/POLR2B/POLR2E/POLR2F/POLR2H/POLR2I/POLR2K/POLR2L/POLR3A/POLR3B/POLR3C/POLR3G/POLR3H/POLR3K/POLRMT/POP1/POP4/POP5/POP7/PRIM1/PRIMPOL/PTRH1/PTRH2/PTRHD1/PUS10/PUS3/PUS7/PUSL1/QRSL1/RAD54B/RARS1/RARS2/RCL1/REXO2/RIDA/RLIG1/RNASEH2A/RNASEL/RNGTT/RPP25/RPP30/RPP38/RPP40/RTCA/RTCB/SARS1/SLFN12/SLU7/SND1/TARS1/TARS2/TARS3/TFB1M/TFB2M/TGS1/THUMPD3/TRDMT1/TRIT1/TRMO/TRMT10A/TRMT10C/TRMT11/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN2/TSNAX/TSR3/TUT1/TUT4/TUT7/TYW1/TYW1B/TYW3/TYW5/UPF1/WARS2/XRN1/XRN2/YARS1/YARS2/YTHDC2/ZC3H12B/ZCCHC4"
"ligase activity",1.77187321649957e-07,"AACS/AARS1/AARS2/AASDH/ACSF3/ACSL3/ACSL4/ACSL5/ACSM2B/ACSM6/ACSS1/ACSS3/ADSS2/AK3/ASNSD1/ATG7/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MG/ATP5PB/ATP5PD/ATP5PF/ATP5PO/ATP6V1A/BTRC/CAD/CARS1/CTPS2/DALRD3/DARS1/DARS2/DPH6/EARS2/EPRS1/FARS2/FARSA/FARSB/GARS1/GART/GATB/GATC/GCLC/GCLM/GMPS/GSS/HARS2/HLCS/IARS1/IARS2/KARS1/LARS1/LARS2/LIG3/LIG4/LIPT2/LRRC47/MARS2/MCCC1/MCCC2/MDM2/MOCS3/MTHFD1/MTHFD1L/MTHFS/NAE1/NARS1/NARS2/PAICS/PARS2/PCCA/PCCB/PFAS/PPCS/QRSL1/RARS1/RARS2/RIMKLA/RLIG1/RTCA/RTCB/SAE1/SARS1/SLC27A1/SLC27A2/SLC27A4/SLC27A5/SUCLA2/SUCLG1/SUCLG2/TARS1/TARS2/TARS3/TPGS1/TTLL1/TTLL10/TTLL4/TTLL5/TTLL6/TTLL7/UBA2/UBA3/UBA5/UBA6/WARS2/YARS1/YARS2"
"ATP hydrolysis activity",6.64602916847292e-06,"ABCA10/ABCA13/ABCA3/ABCA5/ABCA6/ABCA8/ABCA9/ABCB1/ABCB10/ABCB11/ABCB5/ABCB6/ABCB7/ABCC11/ABCC12/ABCC2/ABCC4/ABCC9/ABCD2/ABCD3/ABCE1/ABCF2/ABCG2/ABCG5/ABCG8/ACTB/AFG1L/AFG2A/AFG2B/AFG3L2/AK6/AK9/AQR/ASCC3/ATAD1/ATAD2/ATAD2B/ATAD3A/ATAD5/ATF7IP/ATP10A/ATP10D/ATP11B/ATP11C/ATP13A1/ATP13A2/ATP13A3/ATP2B3/ATP2B4/ATP2C1/ATP2C2/ATP5F1A/ATP5F1B/ATP5F1C/ATP6V1A/ATP6V1G1/ATP6V1H/ATP7A/ATP8A1/ATP8A2/ATP8B1/ATP8B4/ATP9A/ATP9B/ATRX/BLM/BRIP1/BTAF1/C10orf88/CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/CHD7/CHD9/CHTF18/CLPX/DDX1/DDX10/DDX18/DDX19A/DDX20/DDX23/DDX25/DDX28/DDX31/DDX3X/DDX5/DDX50/DDX52/DDX54/DDX55/DDX59/DDX60/DDX60L/DHX15/DHX16/DHX29/DHX30/DHX32/DHX40/DHX9/DNA2/DNAH10/DNAH5/DNAH6/DNAH7/DYNC2H1/EIF4A3/ERCC3/ERCC6/ERCC6L/FANCM/FBH1/FIGN/FIGNL1/FIGNL2/G3BP1/GET3/GPN1/HELB/HELQ/HSP90AA5P/HSP90AB4P/HSP90B1/HSP90B2P/HSPA13/HSPA14/HSPA1B/HSPA1L/HSPA2/HSPA8/HSPD1/IFIH1/IGHMBP2/IQCA1/KATNA1/KATNAL1/KATNAL2/KIF15/KIF16B/KIF18A/KIF19/KIF1B/KIF20B/KIF21A/KIF22/KIF27/KIF2A/KIF3A/KIF5A/KIF5B/LONP1/LONP2/MCM3/MCM4/MCM5/MCM6/MCM9/MLH1/MLH3/MORC3/MORC4/MOV10/MOV10L1/MSH2/MTREX/NAV2/NSF/NTPCR/NUBP1/NVL/ORC4/PEX1/PFN2/PMS1/PMS2/PMS2P3/PMS2P6/POLQ/PSMC2/PSMC4/PSMC6/RAD50/RAD51B/RAD51D/RECQL/RECQL4/RECQL5/RFC1/RFC2/RFC3/RFC4/RFC5/RUVBL1/RUVBL2/SHOC1/SLFN11/SMARCA5/SMARCAD1/SMC1A/SMC1B/SMC2/SMC3/SMC5/SMC6/SPAST/SRP54/SRPRA/SWSAP1/TAP1/TCP1/TOR1A/TOR2A/TOR3A/UPF1/VCP/VPS4A/VPS4B/VWA8/WRN/WRNIP1/XRCC5/XRCC6/YME1L1/YTHDC2"
"ATP-dependent activity, acting on DNA",1.00273329260823e-05,"ASCC3/ATAD5/ATRX/BLM/BPTF/BRIP1/BTAF1/CDK7/CHD7/CHD9/CHTF18/DDX1/DDX3X/DHX30/DHX9/DNA2/ERCC3/ERCC6/ERCC6L/ERCC6L2/FANCM/FBH1/G3BP1/HELB/HELQ/HLTF/IGHMBP2/MCM3/MCM4/MCM5/MCM6/MCM9/MLH1/MLH3/MRE11/MSH2/MSH3/MSH6/MYD88/NAV2/PMS1/PMS2/PMS2P3/PMS2P6/POLQ/RAD17/RAD50/RAD51B/RAD51C/RAD51D/RAD54B/RBBP4/RECQL/RECQL4/RECQL5/RFC1/RFC2/RFC3/RFC4/RFC5/RUVBL1/RUVBL2/SETX/SHPRH/SMARCA1/SMARCA2/SMARCA4/SMARCA5/SMARCAD1/SMARCAL1/TOP2B/TTF2/UPF1/VPS72/WAPL/WRN/WRNIP1/XRCC5/XRCC6/ZGRF1/ZRANB3"
"catalytic activity, acting on DNA",1.32636676408753e-05,"ALKBH1/ALKBH2/ALKBH3/ALKBH4/APEX2/APLF/APTX/ASCC3/ASTE1/ATAD5/ATRX/BLM/BPTF/BRIP1/BTAF1/CDK7/CHD7/CHD9/CHRAC1/CHTF18/DCLRE1A/DCLRE1B/DCLRE1C/DDX1/DDX3X/DHX30/DHX9/DICER1/DNA2/DNASE1L2/ENDOG/ENDOV/ERCC3/ERCC4/ERCC6/ERCC6L/ERCC6L2/EXD2/EXO5/FANCM/FBH1/FEN1/FTO/G3BP1/HELB/HELQ/HLTF/IGHMBP2/ISG20/LIG3/LIG4/MBD4/MCM3/MCM4/MCM5/MCM6/MCM9/METTL4/MGME1/MGMT/MLH1/MLH3/MPG/MRE11/MSH2/MSH3/MSH6/MUS81/MYD88/N4BP2/N6AMT1/NAV2/NEIL2/NIPBL/NME1/NTHL1/PCNA/PLD4/PMS1/PMS2/PMS2P3/PMS2P6/POLA1/POLD1/POLD3/POLE2/POLE3/POLE4/POLG/POLH/POLI/POLK/POLQ/PRIMPOL/PTGES3/RAD1/RAD17/RAD50/RAD51B/RAD51C/RAD51D/RAD54B/RAG1/RBBP4/RECQL/RECQL4/RECQL5/REV1/REV3L/REXO2/RFC1/RFC2/RFC3/RFC4/RFC5/RUVBL1/RUVBL2/SETMAR/SETX/SHPRH/SMARCA1/SMARCA2/SMARCA4/SMARCA5/SMARCAD1/SMARCAL1/SMUG1/TATDN1/TDP1/TERF1/TERF2/THAP9/TOP2B/TREX2/TTF2/UNG/UPF1/VPS72/WAPL/WRN/WRNIP1/XRCC5/XRCC6/ZGRF1/ZRANB3"
"transferase activity, transferring one-carbon groups",1.67312210030286e-05,"ALKBH8/ANTKMT/ARMT1/ASH1L/ASMTL/ATIC/ATPSCKMT/BCDIN3D/CAD/CAMKMT/CARNMT1/CMTR2/COMT/COMTD1/COQ3/COQ5/CSKMT/DIMT1/DPH5/EEF1AKMT1/EEF1AKMT2/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT1/EHMT2/EMG1/ETFBKMT/FAM86B1/FAM86C2P/FAM98A/FDXACB1/FTSJ1/GAMT/GART/GATM/GCSH/HENMT1/ICMT/KMT2C/KMT5B/LCMT1/LCMT2/METTL1/METTL13/METTL14/METTL15/METTL15P1/METTL18/METTL21A/METTL21C/METTL22/METTL23/METTL24/METTL25/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/METTL8/MGMT/MRM1/MRM3/MTFMT/N6AMT1/NDUFAF7/NSUN2/NSUN3/NSUN5/NTMT1/NTMT2/OTC/PCIF1/PCMT1/PCMTD1/PEMT/PRDM10/PRDM12/PRDM14/PRDM15/PRDM4/PRDM8/PRMT1/PRMT2/PRMT3/PRMT5/PRMT6/PRMT8/PRMT9/RRP8/SAMTOR/SETD2/SETD3/SETD4/SETD5/SETD6/SETD9/SETDB2/SETMAR/SHMT1/SMYD2/SMYD3/SMYD4/SPOUT1/SUV39H1/SUV39H2/TFB1M/TFB2M/TGS1/THUMPD3/TRDMT1/TRMO/TRMT10A/TRMT10C/TRMT11/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TYW3/ZCCHC4"
"nucleotidyltransferase activity",4.49410391468178e-05,"ABL1/ART3/ART4/CHRAC1/CMAS/CRPPA/CTU1/FICD/FLAD1/FPGT/GALT/GARS1/GMPPB/GPHN/KARS1/MAB21L1/MED20/MED21/MOCS3/NMNAT1/NMNAT3/NUDT5/OAS1/OAS2/PAPOLA/PAPOLG/PAPSS1/PARP1/PARP10/PARP11/PARP12/PARP16/PARP2/PARP3/PARP4/PARP8/PARP9/PCYT2/PNPT1/POLA1/POLD1/POLD3/POLE2/POLE3/POLE4/POLG/POLH/POLI/POLK/POLQ/POLR1B/POLR1C/POLR1H/POLR2B/POLR2E/POLR2F/POLR2H/POLR2I/POLR2K/POLR2L/POLR3A/POLR3B/POLR3C/POLR3G/POLR3H/POLR3K/POLRMT/PRIM1/PRIMPOL/PTGES3/REV1/REV3L/RNGTT/RPAP1/SIRT4/SIRT6/TAMM41/TENT2/TENT5B/TERF1/TERF2/TNKS/TNKS2/TRNT1/TUT1/TUT4/TUT7/UAP1/UBA6/UGP2/YRDC"
"ubiquitin-like protein transferase activity",4.61582906380064e-05,"AKTIP/AMFR/ANAPC11/ANAPC4/AREL1/ASB4/ATG10/ATG12/ATG16L1/ATG3/ATG5/BARD1/BCOR/BIRC2/BIRC6/BRAP/BRCA1/BSPRY/BTRC/CBLB/CBLL1/CCAR1/CDC23/CDC34/CDC42/CDK8/CHFR/CNOT4/COP1/CUL2/CUL3/CUL4A/CUL5/DTX2/DTX3L/DZIP3/EGR2/ERCC8/FANCL/FBXL14/FBXL22/FBXL3/FBXL6/FBXO17/FBXO2/FBXO21/FBXO22/FBXO25/FBXO27/FBXO3/FBXO30/FBXO4/FBXO6/FBXO7/FBXO9/FBXW2/FBXW8/G2E3/GID4/HACE1/HDAC4/HECTD1/HECTD2/HECTD3/HECW2/HERC1/HERC3/HERC4/HERC5/HERC6/HLTF/IRF2BP1/KCTD10/KIAA1586/KLHL13/KLHL20/KLHL21/KLHL9/LNX2/LRSAM1/LTN1/MAEA/MALT1/MARCHF3/MARCHF5/MARCHF7/MARVELD3/MDM2/MED1/MED10/MED11/MED12/MED17/MED18/MED21/MED27/MED30/MED31/MED6/MED7/MED8/MIB1/MKRN2/MUL1/MYCBP2/NCCRP1/NEDD4/NFX1/NHLRC3/NSMCE1/NSMCE2/OBI1/PCGF5/PELI3/PEX10/PEX12/PEX2/PIAS1/PIAS2/PIAS3/PJA1/PJA2/PPP1R11/PRKN/RAD18/RAG1/RANBP2/RBX1/RC3H1/RC3H2/RCHY1/RFFL/RMND5A/RMND5B/RNF111/RNF113A/RNF123/RNF126/RNF13/RNF139/RNF14/RNF146/RNF166/RNF168/RNF170/RNF175/RNF180/RNF181/RNF183/RNF185/RNF187/RNF19A/RNF2/RNF20/RNF208/RNF212B/RNF216/RNF227/RNF25/RNF26/RNF34/RNF38/RNF4/RNF40/RNF41/RNF5/RNF6/RNF7/RNF8/RNFT1/RSPRY1/SH3RF2/SHARPIN/SHPRH/SIAH1/SIAH2/SMURF2/STUB1/TMEM129/TNFAIP1/TNFAIP3/TOPORS/TRAF2/TRAF5/TRAF6/TRIM13/TRIM14/TRIM21/TRIM22/TRIM23/TRIM24/TRIM27/TRIM31/TRIM32/TRIM33/TRIM34/TRIM35/TRIM36/TRIM37/TRIM4/TRIM47/TRIM48/TRIM49B/TRIM5/TRIM52/TRIM61/TRIM65/TRIM68/TRIM69/TRIML2/TRIP12/TTC3/UBA3/UBE2A/UBE2D2/UBE2D3/UBE2E2/UBE2E3/UBE2F/UBE2G1/UBE2I/UBE2J2/UBE2L3/UBE2L6/UBE2N/UBE2O/UBE2Q2/UBE2S/UBE2T/UBE2W/UBE2Z/UBE3A/UBE3B/UBE3C/UBE3D/UBE4A/UBL4A/UBOX5/UBR1/UBR2/UBR3/UBR5/UBR7/UFL1/VPS18/WDR24/WDSUB1/WSB1/ZBED1/ZNF451/ZNF598/ZNRF1/ZNRF2/ZNRF3"
"methyltransferase activity",7.24092622094765e-05,"ALKBH8/ANTKMT/ARMT1/ASH1L/ASMTL/ATPSCKMT/BCDIN3D/CAMKMT/CARNMT1/CMTR2/COMT/COMTD1/COQ3/COQ5/CSKMT/DIMT1/DPH5/EEF1AKMT1/EEF1AKMT2/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT1/EHMT2/EMG1/ETFBKMT/FAM86B1/FAM86C2P/FAM98A/FDXACB1/FTSJ1/GAMT/HENMT1/ICMT/KMT2C/KMT5B/LCMT1/LCMT2/METTL1/METTL13/METTL14/METTL15/METTL15P1/METTL18/METTL21A/METTL21C/METTL22/METTL23/METTL24/METTL25/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/METTL8/MGMT/MRM1/MRM3/N6AMT1/NDUFAF7/NSUN2/NSUN3/NSUN5/NTMT1/NTMT2/PCIF1/PCMT1/PCMTD1/PEMT/PRDM10/PRDM12/PRDM14/PRDM15/PRDM4/PRDM8/PRMT1/PRMT2/PRMT3/PRMT5/PRMT6/PRMT8/PRMT9/RRP8/SAMTOR/SETD2/SETD3/SETD4/SETD5/SETD6/SETD9/SETDB2/SETMAR/SMYD2/SMYD3/SMYD4/SPOUT1/SUV39H1/SUV39H2/TFB1M/TFB2M/TGS1/THUMPD3/TRDMT1/TRMO/TRMT10A/TRMT10C/TRMT11/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TYW3/ZCCHC4"
