"Pathway","Adjusted_Pvalue","Genes"
"mitochondrial gene expression",4.73768583352028e-13,"ALKBH1/COA3/DARS2/FASTKD3/GADD45GIP1/GFM1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS30/MRPS31/MRPS6/MRPS7/MTERF3/MTO1/PNPT1/POLRMT/RCC1L/RPUSD3/TEFM/TFB1M/THAP11/TRMT10C/TRMT5/WARS2/YARS2"
"mitochondrial translation",1.15426854853527e-11,"ALKBH1/COA3/DARS2/FASTKD3/GADD45GIP1/GFM1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS30/MRPS31/MRPS6/MRPS7/RCC1L/RPUSD3/TRMT10C/WARS2/YARS2"
"mitochondrial respiratory chain complex assembly",1.63962224561781e-07,"CHCHD4/COA3/COA8/COX14/COX16/COX20/DMAC2/FASTKD3/IMMP2L/NDUFA8/NDUFA9/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB5/NDUFB7/NDUFC1/NDUFC2/OMA1/SCO2/SDHAF1/SDHAF3/TIMM21/TMEM126B/UQCC3/UQCC4/UQCC6"
"mitochondrion organization",2.61397335592603e-07,"ACAA2/ALKBH7/APOO/ARMC1/ATF2/ATP13A2/ATP23/ATPAF1/AURKA/BAD/CAMKMT/CHCHD4/COA3/COA8/COX14/COX16/COX20/CXADR/DMAC2/DNAJA3/ENDOG/FASTKD3/FMC1/GABPB1/HIGD1A/HMGCL/IMMP2L/IMMT/JTB/LMNA/MICOS13/MIEF2/MTCH2/MTX2/NDUFA8/NDUFA9/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NME3/OMA1/PARL/PNPT1/PRMT6/PSMD10/RALA/RCC1L/ROMO1/RRM1/SCO2/SDHAF1/SDHAF3/SIRT4/STPG1/TIMM21/TIMM22/TIMM8B/TMEM126B/TMEM14A/UQCC3/UQCC4/UQCC6/VPS35"
"mitochondrial respirasome assembly",2.61397335592603e-07,"ATP23/ATPAF1/COA3/COA8/COX14/COX16/COX20/DMAC2/FASTKD3/FMC1/HIGD1A/NDUFA8/NDUFA9/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB5/NDUFB7/NDUFC1/NDUFC2/SCO2/SDHAF1/SDHAF3/TIMM21/TMEM126B/UQCC3/UQCC4/UQCC6"
"tRNA metabolic process",4.68705925977169e-07,"ALKBH1/BCDIN3D/CDKAL1/CTU1/DARS1/DARS2/DDX1/DTD1/ELAC1/ELP3/ELP4/EXOSC3/FARSA/FARSB/GON7/LAGE3/LCMT2/METTL2A/MOCS3/MTO1/OSGEPL1/PARS2/POP4/POP7/PUS3/QNG1/RPP25L/RPP38/RPP40/RTCB/TP53RK/TRMT10C/TRMT112/TRMT1L/TRMT5/TRPT1/TRUB1/TYW1B/WARS2/YARS2"
"RNA modification",6.11014830761781e-07,"ALKBH1/APOBEC3C/APOBEC3F/APOBEC3G/BCDIN3D/CDKAL1/CTU1/DIMT1/ELP3/ELP4/EMG1/FDXACB1/GON7/HENMT1/LCMT2/METTL15/METTL2A/METTL5/MOCS3/MRM1/MTO1/OSGEPL1/PUS3/QNG1/RPUSD1/RPUSD3/SNRPG/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/TRUB1/TSR3/TYW1B/ZCCHC4"
"tRNA processing",6.27766849221022e-07,"ALKBH1/BCDIN3D/CDKAL1/CTU1/DDX1/ELAC1/ELP3/ELP4/GON7/LAGE3/LCMT2/METTL2A/MOCS3/MTO1/OSGEPL1/POP4/POP7/PUS3/QNG1/RPP25L/RPP38/RPP40/RTCB/TP53RK/TRMT10C/TRMT112/TRMT1L/TRMT5/TRPT1/TRUB1/TYW1B"
"macromolecule methylation",3.88012058149462e-06,"ANTKMT/BCDIN3D/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/EMG1/FDXACB1/HENMT1/LCMT2/METTL15/METTL18/METTL2A/METTL5/MRM1/MTO1/N6AMT1/PCMT1/PRMT5/PRMT6/PRMT9/RAB6A/SNRPG/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/ZCCHC4"
"methylation",1.9364394764529e-05,"ANTKMT/ARMT1/BCDIN3D/CAMKMT/CMTR2/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/EMG1/FDXACB1/HENMT1/LCMT2/METTL13/METTL15/METTL18/METTL23/METTL25/METTL2A/METTL5/MRM1/MTO1/N6AMT1/NNMT/PCMT1/PRMT5/PRMT6/PRMT9/RAB6A/SETMAR/SMYD3/SNRPG/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/ZCCHC4"
