"Pathway","Adjusted_Pvalue","Genes"
"mitochondrial protein-containing complex",3.21791125633914e-12,"APOO/DNAJC19/GADD45GIP1/IMMP2L/IMMT/ISCA2/MCUB/MICOS13/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS30/MRPS31/MRPS6/MRPS7/MTX2/NDUFAB1/PNPT1/POLRMT/ROMO1/TIMM21/TIMM22/TIMM23/TIMM8B/TRMT10C"
"organellar ribosome",3.61608829679694e-10,"GADD45GIP1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS30/MRPS31/MRPS6/MRPS7"
"mitochondrial ribosome",3.61608829679694e-10,"GADD45GIP1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS30/MRPS31/MRPS6/MRPS7"
"organellar large ribosomal subunit",3.13413181225539e-08,"GADD45GIP1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS18A/MRPS30"
"mitochondrial large ribosomal subunit",3.13413181225539e-08,"GADD45GIP1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS18A/MRPS30"
"T cell receptor complex",2.37969527402738e-05,"CD3G/CD8A/CD8B/TRAC/TRAT1/TRAV19/TRAV22/TRAV29DV5/TRAV34/TRAV38-1/TRAV41/TRAV8-2/TRAV8-4/TRBC1/TRBC2/TRBJ2-5/TRBJ2-7/TRBV11-2/TRBV11-3/TRBV13/TRBV30/TRBV4-1/TRBV4-2/TRBV5-3/TRBV5-6/TRBV9/TRGC2/TRGV11/TRGV2"
"replication fork",0.000713948827610239,"BLM/CAMSAP3/H2AX/MCM3/PCNA/PLRG1/POLD1/PRIM1/PRIM2/RAD51B/RAD51C/RFC4/RPA2/RPA3/SMARCAL1/TIPIN/WDHD1"
"nuclear replication fork",0.000852634642423049,"CAMSAP3/MCM3/PCNA/PLRG1/POLD1/PRIM1/PRIM2/RPA2/RPA3/SMARCAL1/TIPIN/WDHD1"
"replisome",0.00104147326154486,"MCM3/PCNA/PLRG1/POLD1/PRIM1/PRIM2/RPA2/RPA3/SMARCAL1"
"ribosomal subunit",0.00332271112446783,"GADD45GIP1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS30/MRPS31/MRPS6/MRPS7"
"nuclear replisome",0.0033496264062393,"MCM3/PLRG1/POLD1/PRIM1/PRIM2/RPA2/RPA3/SMARCAL1"
"large ribosomal subunit",0.00375861756305453,"GADD45GIP1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS18A/MRPS30"
"ribosome",0.00548004600297507,"ABCE1/GADD45GIP1/MRPL10/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS30/MRPS31/MRPS6/MRPS7/NCK1/PELO/PNPT1/RNF14"
"organellar small ribosomal subunit",0.00821023552796333,"MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS31/MRPS6/MRPS7"
"mitochondrial small ribosomal subunit",0.00821023552796333,"MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS23/MRPS26/MRPS31/MRPS6/MRPS7"
"DNA-directed RNA polymerase complex",0.00844900675853818,"CCNH/CTR9/GTF2E1/GTF2E2/GTF2H1/LEO1/MCM3/MNAT1/POLR1B/POLR1H/POLR2I/POLR2M/POLR3C/POLR3K/POLRMT/PRIM1/PRIM2/SKIC8/TAF9B"
"BLOC complex",0.00844900675853818,"BLOC1S4/BLOC1S5/DTNBP1/HPS5/HPS6/SNAP47/SNAPIN"
"nuclear chromosome",0.00948508936431837,"ACTL6A/ACTR6/BLM/CAMSAP3/GINS3/H2AX/KIFAP3/LRIF1/MCM3/MCM6/NCAPH/ORC3/ORC4/ORC5/PCNA/PINX1/PLRG1/POLD1/PRIM1/PRIM2/RAD9B/RBBP4/RPA2/RPA3/RUVBL2/SFR1/SMARCAL1/TIPIN/TUBG1/UCHL5/WDHD1"
"ciliary tip",0.00948508936431837,"ARMC9/DYNC2I2/DYNC2LI1/DYNLL1/IFT22/IFT46/IFT57/IFT70B/IFT74/IFT81/KIFAP3"
"RNA polymerase complex",0.0096343451737058,"CCNH/CTR9/GTF2E1/GTF2E2/GTF2H1/LEO1/MCM3/MNAT1/POLR1B/POLR1H/POLR2I/POLR2M/POLR3C/POLR3K/POLRMT/PRIM1/PRIM2/SKIC8/TAF9B"
"nuclear DNA-directed RNA polymerase complex",0.013335288583346,"CCNH/CTR9/GTF2E1/GTF2E2/GTF2H1/LEO1/MCM3/MNAT1/POLR1B/POLR1H/POLR2I/POLR2M/POLR3C/POLR3K/PRIM1/PRIM2/SKIC8/TAF9B"
"oxidoreductase complex",0.0134178219446345,"COX6A1/CYB5B/DLAT/GCSH/HSD17B8/LDHA/LDHB/MTCO2P12/NDUFA8/NDUFA9/NDUFAB1/NDUFB5/NDUFB7/NDUFC1/NDUFC2/PDHB/PDHX/PDK2/RRM1/SDHD/UQCR10/UQCRQ"
"inner mitochondrial membrane protein complex",0.0137150269752649,"APOO/DNAJC19/IMMP2L/IMMT/MCUB/MICOS13/MTX2/ROMO1/TIMM21/TIMM22/TIMM23"
"Gemini of coiled bodies",0.0196379128830604,"GEMIN2/GEMIN5/GEMIN6/GEMIN7/NPAT"
"peroxisome",0.0196379128830604,"ABCD3/AOC1/ATAD1/ECH1/ECI2/EHHADH/HACL1/HMGCL/IDH2/ISOC1/PEX10/PEX11A/PEX11B/PEX12/PEX3/PEX7/POMC/SLC25A17/SLC27A2/SOD1/TRIM37"
"microbody",0.0196379128830604,"ABCD3/AOC1/ATAD1/ECH1/ECI2/EHHADH/HACL1/HMGCL/IDH2/ISOC1/PEX10/PEX11A/PEX11B/PEX12/PEX3/PEX7/POMC/SLC25A17/SLC27A2/SOD1/TRIM37"
"intraciliary transport particle B",0.0205028157463994,"IFT22/IFT46/IFT57/IFT70B/IFT74/IFT81"
"SCF ubiquitin ligase complex",0.0277490175715546,"CACYBP/CCNF/CUL1/DMAC2/FBXL14/FBXL15/FBXO4/FBXO45/FBXW5/RBX1/SPSB2/SPSB3"
"chromosome, telomeric region",0.0305040426446809,"ACD/BLM/H2AX/H4C3/HAT1/LRIF1/MCM3/MCM6/MEN1/MSH2/NSMCE4A/ORC3/ORC4/ORC5/PCNA/PINX1/POLD1/POT1/RBBP4/RIF1/RPA2/THOC3/TINF2"
"dynein axonemal particle",0.0342974020656808,"DNAAF2/DNAI4/DYNLT2B/RUVBL2/STIP1/WDR18"
"ribonuclease P complex",0.0347581511121841,"POP4/POP7/RPP38/RPP40/TRMT10C"
"mitochondrial intermembrane space",0.0395184869536524,"ARL2/ARL2BP/CHCHD4/COA6/IMMT/NDUFA8/NDUFB7/OMA1/PNPT1/SDHAF3/SOD1/TIMM21/TIMM23/TIMM8B"
"organelle envelope lumen",0.0445041673743344,"ARL2/ARL2BP/CACYBP/CHCHD4/COA6/IMMT/NDUFA8/NDUFB7/OMA1/PNPT1/SDHAF3/SOD1/TIMM21/TIMM23/TIMM8B"
"BLOC-1 complex",0.0445041673743344,"BLOC1S4/BLOC1S5/DTNBP1/SNAP47/SNAPIN"
"plasma membrane signaling receptor complex",0.0445041673743344,"ABHD6/CD3G/CD8A/CD8B/CHRNA5/CHRNA6/CHRNB1/ERBB3/ITGAE/TRAC/TRAF2/TRAT1/TRAV19/TRAV22/TRAV29DV5/TRAV34/TRAV38-1/TRAV41/TRAV8-2/TRAV8-4/TRBC1/TRBC2/TRBJ2-5/TRBJ2-7/TRBV11-2/TRBV11-3/TRBV13/TRBV30/TRBV4-1/TRBV4-2/TRBV5-3/TRBV5-6/TRBV9/TRGC2/TRGV11/TRGV2"
"multimeric ribonuclease P complex",0.0562908904300532,"POP4/POP7/RPP38/RPP40"
"protein-DNA complex",0.0565034111902468,"ACD/ACTL6A/ACTR6/GINS3/H1-10/H1-3/H1-4/H2AC20/H2AX/H4C3/MCM3/MCM6/MEAF6/NFYB/ORC3/PCNA/PLRG1/POLD1/POLR2M/POT1/PRIM1/PRIM2/RPA2/RPA3/RUVBL2/SMARCAL1/TINF2/WDR18"
"cytoplasmic dynein complex",0.0592695688241561,"DYNC2I2/DYNC2LI1/DYNLL1/DYNLT2B/DYNLT3/SNX4"
"peroxisomal membrane",0.0625708973640379,"ABCD3/ATAD1/PEX10/PEX11A/PEX11B/PEX12/PEX3/PEX7/SLC25A17/SLC27A2/TRIM37"
"microbody membrane",0.0625708973640379,"ABCD3/ATAD1/PEX10/PEX11A/PEX11B/PEX12/PEX3/PEX7/SLC25A17/SLC27A2/TRIM37"
"COPII-coated ER to Golgi transport vesicle",0.0707547471913581,"ERGIC2/F8/GOSR2/IER3IP1/LMAN2L/PCSK9/SEC23A/SEC23B/SEC23IP/SEC31A/SLC30A5/TMED10/YIF1A/YIPF5"
"SMN complex",0.0718089603380641,"GEMIN2/GEMIN5/GEMIN6/GEMIN7"
"ciliary basal body",0.0736376172057664,"ARMC9/ATXN10/AURKA/BBOF1/BBS5/CAMSAP3/CBY1/CEP41/CETN3/DYNC2I2/DYNC2LI1/EZR/IFT46/IFT57/IFT81/KIFAP3/MKKS/MKS1/NEDD1/NME3/RAB28/TUBG1"
"intraciliary transport particle",0.0800136770426567,"IFT22/IFT46/IFT57/IFT70B/IFT74/IFT81"
"alpha-beta T cell receptor complex",0.0896193825700683,"CD3G/TRAC/TRBC1/TRBC2"
"90S preribosome",0.0896193825700683,"IMP3/IMP4/TBL3/UTP18/WDR3/WDR36"
"core mediator complex",0.0896193825700683,"MED16/MED19/MED20/MED27/MED7/MED8"
"endoribonuclease complex",0.0896193825700683,"POP4/POP7/RPP25L/RPP38/RPP40/TRMT10C/WDR18"
"centriole",0.0896193825700683,"ARMC9/ATXN10/AURKA/CBY1/CCDC102B/CCDC92/CCNF/CEP162/CEP41/CEP76/CETN3/DYNC2I2/HYLS1/IFT81/MKS1/NEDD1/POC5/PPP1R35/TUBD1/TUBG1"
