"Pathway","Adjusted_Pvalue","Genes"
"catalytic activity, acting on RNA",2.96372878126824e-06,"ALKBH1/BCDIN3D/CDKAL1/CMTR2/CPSF3/DARS1/DARS2/DBR1/DDX1/DDX28/DHX32/DIMT1/DTD1/ELAC1/EMG1/ENDOG/ERI1/EXD2/EXOSC3/FARSA/FARSB/FDXACB1/FTO/HENMT1/LACTB2/LCMT2/MBLAC1/MED20/METTL15/METTL2A/METTL5/MRM1/MRPL58/MTREX/PARS2/PNPT1/POLR1B/POLR1H/POLR2I/POLR3C/POLR3K/POLRMT/POP4/POP7/PRIM1/PUS3/RLIG1/RPP38/RPP40/RTCB/TFB1M/TOP3B/TRMT10C/TRMT1L/TRMT5/TRPT1/TRUB1/TSR3/TYW1B/WARS2/YARS2/ZCCHC4"
"transferase activity, transferring one-carbon groups",7.79504468430131e-05,"ANTKMT/ARMT1/BCDIN3D/CAMKMT/CMTR2/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/EMG1/FDXACB1/GART/GCSH/HENMT1/LCMT2/METTL13/METTL15/METTL18/METTL23/METTL25/METTL2A/METTL5/MRM1/N6AMT1/NNMT/PCMT1/PRMT5/PRMT6/PRMT9/SETMAR/SMYD3/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/ZCCHC4"
"methyltransferase activity",0.000114186928273886,"ANTKMT/ARMT1/BCDIN3D/CAMKMT/CMTR2/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/EMG1/FDXACB1/HENMT1/LCMT2/METTL13/METTL15/METTL18/METTL23/METTL25/METTL2A/METTL5/MRM1/N6AMT1/NNMT/PCMT1/PRMT5/PRMT6/PRMT9/SETMAR/SMYD3/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/ZCCHC4"
"catalytic activity, acting on a tRNA",0.000329238813101576,"ALKBH1/BCDIN3D/CDKAL1/DARS1/DARS2/DTD1/ELAC1/FARSA/FARSB/FTO/LCMT2/METTL2A/MRPL58/PARS2/POP4/POP7/PUS3/RPP38/RPP40/TRMT10C/TRMT1L/TRMT5/TRPT1/TRUB1/TYW1B/WARS2/YARS2"
"S-adenosylmethionine-dependent methyltransferase activity",0.000501703195589778,"ANTKMT/ARMT1/CAMKMT/CMTR2/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/EMG1/FDXACB1/METTL13/METTL15/METTL18/METTL23/METTL2A/METTL5/MRM1/N6AMT1/NNMT/PCMT1/PRMT5/PRMT6/PRMT9/SETMAR/SMYD3/TFB1M/TRMT10C/TRMT1L/TRMT5/ZCCHC4"
"N-methyltransferase activity",0.000892065483442959,"ANTKMT/CAMKMT/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/FDXACB1/METTL13/METTL15/METTL18/METTL23/METTL5/N6AMT1/NNMT/PRMT5/PRMT6/PRMT9/SETMAR/SMYD3/TFB1M/ZCCHC4"
"RNA methyltransferase activity",0.00178546979330218,"BCDIN3D/CMTR2/DIMT1/EMG1/FDXACB1/HENMT1/LCMT2/METTL15/METTL2A/METTL5/MRM1/TFB1M/TRMT10C/TRMT1L/TRMT5/ZCCHC4"
"catalytic activity, acting on a rRNA",0.00256804081213055,"DIMT1/EMG1/FDXACB1/METTL15/METTL5/MRM1/TFB1M/TSR3/ZCCHC4"
"rRNA methyltransferase activity",0.0123033044654024,"DIMT1/EMG1/FDXACB1/METTL15/METTL5/MRM1/TFB1M/ZCCHC4"
"4 iron, 4 sulfur cluster binding",0.0222116055300638,"ABCE1/CDKAL1/CIAO3/ELP3/ISCA2/MOCS1/NFU1/POLD1/PPAT/PRIM2/TYW1B"
"protein methyltransferase activity",0.0290815128929844,"ANTKMT/ARMT1/CAMKMT/EEF1AKMT1/EEF1AKMT3/EEF2KMT/METTL13/METTL18/METTL23/N6AMT1/PCMT1/PRMT5/PRMT6/PRMT9/SETMAR/SMYD3/TRMT112"
"iron-sulfur cluster binding",0.0631223952320016,"ABCE1/CDKAL1/CIAO3/CISD1/CISD2/ELP3/ISCA2/MOCS1/NFU1/POLD1/PPAT/PRIM2/RFESD/TYW1B"
"DNA-directed 5'-3' RNA polymerase activity",0.0631223952320016,"MED20/POLR1B/POLR1H/POLR2I/POLR3C/POLR3K/POLRMT/PRIM1"
"metal cluster binding",0.0631223952320016,"ABCE1/CDKAL1/CIAO3/CISD1/CISD2/ELP3/ISCA2/MOCS1/NFU1/POLD1/PPAT/PRIM2/RFESD/TYW1B"
"NAD binding",0.0776114955849702,"ALDH1B1/BDH2/EHHADH/HIBADH/HSD17B8/IDH2/LDHB/ME1/QDPR/SIRT4/UGDH"
