"Pathway","Adjusted_Pvalue","Genes"
"cytoplasmic translation",2.15139836116955e-09,"AARS1/AKT2/CNBP/DENR/DRG1/DRG2/EIF2B1/EIF2B3/EIF2B4/EIF2B5/EIF3B/EIF3C/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3M/FAU/FTSJ1/HNRNPD/IMPACT/LIN28A/MIF4GD/NCBP2/PAIP1/PARP16/PKM/PKP1/RACK1/RBM24/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL24/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL37A/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS14/RPS15/RPS16/RPS18/RPS19/RPS2/RPS20/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/SARS1/SLBP/UBA52/UNK/YBX1/YBX3/ZNF385A"
"ribonucleoprotein complex biogenesis",0.000278141503774524,"AATF/ABT1/AFG2A/AFG2B/AIRIM/BOP1/BUD13/BUD23/C1QBP/CD2BP2/CDKN2A/CELF4/CINP/CLP1/DDX23/DDX27/DDX28/DDX39B/DDX49/DDX51/DDX54/DDX56/DENR/DHX30/DHX37/EBNA1BP2/EIF3B/EIF3C/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3M/EIF4A3/EIF6/ERAL1/ERCC2/ERI3/EXOSC3/EXOSC5/EXOSC6/EXOSC7/FAU/FBL/FCF1/FTSJ3/GAR1/GEMIN4/GEMIN8/GNL2/GRWD1/GTF2H5/GTF3A/HSP90AB1/HTATSF1/IMP3/IMP4/ISG20/ISG20L2/ISY1/KRI1/LSM2/LSM4/LTO1/LYAR/MALSU1/MCAT/METTL15P1/METTL17/METTL25B/MPHOSPH6/MPV17L2/MRM1/MRM3/MRPS2/MRPS7/MRTO4/MTG2/MYBBP1A/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOC4L/NOL3/NOL6/NOL7/NOP16/NOP53/NOP56/NPM1/NPM3/NSA2/NSUN5/PA2G4/PELP1/PES1/PHF5A/PIH1D1/PIN4/POP4/POP5/POP7/PPAN/PRKDC/PRMT7/PRPF19/PRPF31/PRPF6/PTGES3/PUF60/PWP2/RAN/RBM10/RBMX2/RCC1L/REXO1/REXO4/RIOK1/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-15/RNVU1-3/RNVU1-4/RNVU1-8/RPF1/RPL11/RPL13A/RPL14/RPL24/RPL26L1/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPP25/RPS11/RPS12/RPS14/RPS15/RPS16/RPS19/RPS19BP1/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPUSD1/RPUSD2/RPUSD4/RRP36/RRP7A/RRP9/RRS1/RSL24D1/RUVBL1/RUVBL2/SART1/SBDS/SF1/SF3A1/SF3A2/SF3B2/SF3B4/SF3B5/SF3B6/SIRT7/SLX9/SMN1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD2/SNRPD3/SNRPE/SNRPF/SNU13/SRPK1/SRPK3/SRSF12/SRSF9/STRAP/SURF6/SUV39H1/TAF12-DT/TARBP2/TBL3/TFB2M/TRMT112/TRMT2B/TSR2/TSR3/TSSC4/TXNL4A/U2AF2/USP36/USP39/UTP3/UTP4/WBP11/WDR18/WDR46/WDR55/WDR74/XAB2/YJU2/ZNF622/ZRSR2"
"mitochondrion organization",0.000355978306611144,"ABCC9/AIFM1/AIFM2/AKT1/AKT3/ALKBH7/ARHGAP11B/ATAD3A/ATAD3B/ATAD3C/ATP13A2/ATP23/ATP5F1D/ATP7A/ATPAF1/ATPAF2/BAD/BAK1/BAX/BBC3/BCL2L1/BCS1L/BLOC1S2/BOK/C11orf65/CCAR2/CDKN2A/CEBPA/CHCHD10/CHCHD2/CHCHD3/CHCHD4/CHCHD6/CHCHD7/CIBAR1/CLPP/CLU/CLUH/CNP/COA3/COA4/COL6A1/COX20/COX7A2/COX7A2L/CXADR/DDHD2/DMAC2/DNAJA3/ECSIT/EDNRA/ENDOG/EPCIP/ERBB4/FANCG/FEZ1/FIS1/FOXRED1/GGCT/GHITM/GPX1/GSK3A/HIGD1B/HIGD2A/HIP1R/HMGCL/HSD17B10/HSPA9/HTRA2/IER3/IFI27L1/IFI27L2/IFI6/INF2/KAT2A/KDR/LETM1/LETMD1/LIG3/LIPA/LMNA/LONP1/MICOS13/MIEF1/MIEF2/MIGA2/MIR29A/MOAP1/MPV17/MPV17L/MSTO1/MTCH1/MTCH2/MTFP1/MTX2/MUL1/NAIF1/NDUFA1/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA6/NDUFA8/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NECTIN2/NEURL4/NME3/NOA1/NOL3/OMA1/OXA1L/PARK7/PET100/PEX5/PGAM5/PHB1/PHB2/PIF1/PIM2/PKD1/POLDIP2/POLG/PPARGC1A/PRELID1/PRKACA/PRKN/PRMT6/PSMD10/PYCARD/PYROXD2/RAB29/RAB32/RAB3A/RAB5IF/RCC1L/RHOT2/SAMM50/SCO2/SDHAF1/SDHAF3/SDHAF4/SELENON/SESN2/SHARPIN/SIRT7/SIVA1/SLC25A33/SLC25A4/SLC25A5/SLC25A6/SMIM20/SPG7/SQSTM1/STAT2/STOML2/SURF1/TACO1/TAFAZZIN/THG1L/TIMM10/TIMM13/TIMM21/TIMM22/TIMM50/TIMM8B/TIMM9/TMEM102/TMEM11/TMEM14A/TMEM186/TMEM223/TMEM242/TMEM70/TNFSF10/TOMM20/TOMM22/TOMM40/TOMM7/TRAK1/TRIAP1/TWNK/TYMP/UQCC2/UQCC3/UQCC4/UQCRFS1/VAT1/VDAC2/VPS13D/WDR81/ZNF205"
"ribosome biogenesis",0.000355978306611144,"AATF/ABT1/AFG2A/AFG2B/AIRIM/BOP1/BUD23/C1QBP/CDKN2A/CINP/DDX27/DDX28/DDX49/DDX51/DDX54/DDX56/DHX30/DHX37/EBNA1BP2/EIF4A3/EIF6/ERAL1/ERCC2/ERI3/EXOSC3/EXOSC5/EXOSC6/EXOSC7/FAU/FBL/FCF1/FTSJ3/GAR1/GEMIN4/GNL2/GRWD1/GTF2H5/GTF3A/IMP3/IMP4/ISG20/ISG20L2/KRI1/LTO1/LYAR/MALSU1/MCAT/METTL15P1/METTL17/METTL25B/MPHOSPH6/MPV17L2/MRM1/MRM3/MRPS2/MRPS7/MRTO4/MTG2/MYBBP1A/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOC4L/NOL6/NOL7/NOP16/NOP53/NOP56/NPM1/NPM3/NSA2/NSUN5/PA2G4/PELP1/PES1/PIH1D1/PIN4/POP4/POP5/POP7/PPAN/PRKDC/PWP2/RAN/RBM10/RCC1L/REXO1/REXO4/RIOK1/RPF1/RPL11/RPL14/RPL24/RPL26L1/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPP25/RPS11/RPS12/RPS14/RPS15/RPS16/RPS19/RPS19BP1/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPUSD1/RPUSD2/RPUSD4/RRP36/RRP7A/RRP9/RRS1/RSL24D1/SART1/SBDS/SIRT7/SLX9/SNU13/SURF6/SUV39H1/TBL3/TFB2M/TRMT112/TRMT2B/TSR2/TSR3/USP36/UTP3/UTP4/WBP11/WDR18/WDR46/WDR55/WDR74/ZNF622"
"mitochondrial translation",0.000355978306611144,"AARS2/AURKAIP1/C1QBP/CDK5RAP1/CHCHD1/COA3/DAP3/DARS2/HARS1/MALSU1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL48/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL58/MRPL9/MRPS11/MRPS12/MRPS15/MRPS16/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS26/MRPS33/MRPS34/MRPS35/MRPS7/MTG1/MTG2/NGRN/OXA1L/PTCD1/RCC1L/RPUSD3/RPUSD4/SARS2/SHMT2/TACO1/TARS2/TRUB2/TSFM/TUFM/UQCC2/WARS2"
"mitochondrial gene expression",0.00133376811228598,"AARS2/AURKAIP1/C1QBP/CDK5RAP1/CHCHD1/CHCHD10/COA3/DAP3/DARS2/ELAC2/FASTK/HARS1/HSD17B10/KANSL3/KAT8/MALSU1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL48/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL58/MRPL9/MRPS11/MRPS12/MRPS15/MRPS16/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS26/MRPS33/MRPS34/MRPS35/MRPS7/MTG1/MTG2/MTRES1/NGRN/OXA1L/POLRMT/PTCD1/PUS1/RCC1L/RPUSD3/RPUSD4/SARS2/SHMT2/SLC25A33/TACO1/TARS2/TBRG4/TFB2M/THAP11/TRNT1/TRUB2/TSFM/TUFM/TWNK/UQCC2/WARS2"
"generation of precursor metabolites and energy",0.00238342279334455,"ABCC9/ABCD1/ACADVL/ACO2/ACSS3/ADCY10/ADGRF1/ADGRF5/ADIPOQ/ADPGK/AIFM2/AKT1/AKT2/ALDH1L2/ALDOC/ANTKMT/ARL2/ATG2A/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MF/ATP5PB/ATP5PD/ATP7A/BPGM/CAVIN3/CEBPA/CHCHD10/CHCHD2/CHCHD4/CHCHD5/COA6/COL6A1/COMT/COQ10A/COQ9/COX4I1/COX5A/COX5B/COX6B1/COX7A2/COX7A2L/COX7C/COX8A/CSKMT/CXXC5/CYB561/CYC1/DDIT4/DGUOK/DNAJC30/EIF6/ENO1/ENO2/ENO3/ENO4/ENPP1/ETFA/ETFB/FBP1/FDX1/FDXR/FECH/FH/FKRP/FOXK1/FOXK2/G6PD/GAA/GABARAPL1/GALK1/GAPDH/GAPDHS/GCGR/GHITM/GIPR/GIT1/GNPDA1/GPI/GSK3A/GYG2/HCCS/HK1/HK3/HMGCL/HMGCLL1/IDH2/IDH3B/IDH3G/IER3/IFNLR1/INPP5K/ISCU/JMJD8/KHK/LDHA/LIPA/MDH2/MIR1271/MLST8/MYBBP1A/NCOR1/NDOR1/NDP/NDUFA1/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA6/NDUFA8/NDUFAB1/NDUFAF1/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NFATC4/NHLRC1/NOP53/OGDH/OXA1L/OXCT2/PARK7/PASK/PDHA1/PDHA2/PFKFB3/PFKL/PFKP/PGAM1/PGAM4/PGLS/PGM1/PHB2/PHKG2/PKM/POMC/POR/PPARD/PPARGC1A/PPP1CA/PPP1CC/PPP1R3F/PRELID1/PRKAA2/PRKACA/PRKAG3/PRPS2/PRXL2C/PTGES3/PYGB/RB1CC1/RHOA/RPE/RPIA/SCO2/SDHAF4/SDHB/SDHC/SELENON/SELENOS/SHMT2/SIRT3/SIRT6/SLC25A14/SLC25A18/SLC25A22/SLC25A23/SLC25A25/SLC25A33/SLC25A4/SLC27A5/SLC2A6/SLC35A4/SPHK2/SRC/STK40/STOML2/SURF1/TAFAZZIN/TALDO1/THAP11/THTPA/TKT/TPI1/TRAP1/TRIM63/TYRP1/UCN/UQCC2/UQCC3/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRFS1P1/UQCRH/UQCRHL/WDR45/WDR45B/WIPI2/XYLB/ZBTB20/ZBTB7A"
"protein targeting",0.00608862995633725,"ABLIM3/ADCY10/AIFM1/AIP/AKAP6/AKT2/ANK3/AP1M2/AP3D1/AP4B1/AP4M1/AQP11/ARIH2/BAG6/BAP1/BCAP31/BECN1/BHLHE40-AS1/C11orf65/CACNG2/CACNG3/CDC37/CDK5/CDK5R1/CDKN2A/CEMIP/CHCHD4/CHMP4A/CHMP4B/CIB1/CLU/DMTN/DNAJC19/FBXO7/FIS1/FYN/GDI1/GGA3/GIPC1/GNPTG/GOLGA7B/GSK3A/HAX1/HERPUD1/HGS/HOMER3/HRAS/HSPA5/HTRA2/ICMT/INPP5K/ITGB1BP1/ITGB2/KATNB1/KCNB1/LAPTM5/LHCGR/M6PR/MICALL1/MICALL2/MIEF1/MIEF2/MON1A/MON1B/MTCH1/MTCH2/MTX2/MYO1C/NACA/NAGPA/NDP/NDUFA13/NLGN1/OS9/PAM16/PEX16/PEX19/PEX5/PEX6/PML/PMPCA/PRKN/PRNP/RAB7A/RASSF9/RN7SL1/RPL11/RTP5/SAE1/SAMM50/SEC61A1/SEC61B/SEC61G/SGTA/SIL1/SLC1A1/SMURF1/SNAP25-AS1/SPCS1/SPCS2/SQSTM1/SREBF1/SREBF2/SRP14/SRP68/SRPRA/SSR2/STXBP4/SYNGR1/TAOK2/TCAF1/TIMM10/TIMM13/TIMM17A/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM44/TIMM50/TIMM8B/TIMM9/TOMM20/TOMM22/TOMM34/TOMM40/TOMM7/TRAK1/TRAM1/TRAM1L1/TSPO/UBE2J2/UBE2L3/UBL4A/UBL5/USP36/VPS11/VPS13D/VPS37A/VPS37B/VPS37D/VPS4A/VPS51/VPS8/YIF1B/YWHAQ/ZDHHC1/ZDHHC12/ZDHHC15/ZDHHC24/ZDHHC4/ZDHHC7/ZFAND2A/ZFAND2B/ZFYVE16"
"mitochondrial respirasome assembly",0.00934164320588074,"AIFM1/ATP23/ATP5F1D/ATPAF1/ATPAF2/BCS1L/COA3/COA4/COX20/COX7A2/COX7A2L/DMAC2/ECSIT/FOXRED1/HIGD1B/HIGD2A/NDUFA1/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA6/NDUFA8/NDUFAB1/NDUFAF1/NDUFAF3/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/OXA1L/PET100/RAB5IF/SCO2/SDHAF1/SDHAF3/SDHAF4/SLC25A33/SMIM20/SURF1/TACO1/TAFAZZIN/TIMM21/TMEM186/TMEM223/TMEM242/TMEM70/UQCC2/UQCC3/UQCC4/UQCRFS1"
"rRNA processing",0.00939964725104593,"ABT1/BOP1/BUD23/CDKN2A/DDX27/DDX49/DDX51/DDX54/DDX56/DHX37/EBNA1BP2/EIF4A3/EIF6/ERCC2/ERI3/EXOSC3/EXOSC5/EXOSC6/EXOSC7/FBL/FCF1/FTSJ3/GAR1/GEMIN4/GTF2H5/IMP3/IMP4/ISG20/KRI1/LYAR/METTL15P1/METTL25B/MPHOSPH6/MRM1/MRM3/MRTO4/NGDN/NHP2/NOB1/NOC4L/NOL6/NOL7/NOP53/NOP56/NPM3/NSA2/NSUN5/PA2G4/PELP1/PES1/PIH1D1/PIN4/POP4/POP5/POP7/PPAN/PRKDC/PWP2/REXO1/REXO4/RIOK1/RPF1/RPL11/RPL14/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPP25/RPS14/RPS15/RPS16/RPS19/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPS8/RPUSD1/RPUSD2/RPUSD4/RRP36/RRP7A/RRP9/RRS1/SART1/SBDS/SIRT7/SLX9/SNU13/SUV39H1/TBL3/TFB2M/TRMT112/TRMT2B/TSR2/TSR3/USP36/UTP3/UTP4/WBP11/WDR18/WDR46/WDR55/WDR74"
