"Pathway","Adjusted_Pvalue","Genes"
"ribosomal subunit",1.51475765976582e-14,"AURKAIP1/CHCHD1/DAP3/FAU/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL48/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL58/MRPL9/MRPS11/MRPS12/MRPS15/MRPS16/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS26/MRPS33/MRPS34/MRPS35/MRPS7/RACK1/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL24/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37A/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS14/RPS15/RPS16/RPS18/RPS19/RPS2/RPS20/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/UBA52/ZCCHC17"
"large ribosomal subunit",1.58274138352335e-11,"MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL48/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL58/MRPL9/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL24/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37A/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/UBA52/ZCCHC17"
"ribosome",2.33802576737783e-10,"APEX1/ASCC2/AURKAIP1/CALR/CHCHD1/DAP3/EEF1A1/EEF2/FAU/FUBP3/GCN1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL48/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL58/MRPL9/MRPS11/MRPS12/MRPS15/MRPS16/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS26/MRPS33/MRPS34/MRPS35/MRPS7/MTG1/MTG2/PELO/RACK1/RBM3/RNA5-8SN5/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL24/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37A/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS14/RPS15/RPS16/RPS18/RPS19/RPS2/RPS20/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RRBP1/RSL24D1/SERP1/SF1/SRP68/UBA52/ZCCHC17/ZNF598"
"cytosolic ribosome",7.01541846730431e-09,"ASCC2/EEF1A1/FAU/GCN1/PELO/RACK1/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL24/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37A/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS14/RPS15/RPS16/RPS18/RPS19/RPS2/RPS20/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/UBA52/ZCCHC17/ZNF598"
"cytosolic large ribosomal subunit",8.79452497159613e-09,"RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL24/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37A/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/UBA52/ZCCHC17"
"transmembrane transporter complex",1.87235119946473e-05,"ABCA2/ABCB8/ABCC9/ABCD4/ABCG5/ABCG8/ABHD12/AKAP6/ASPH/ATP1A3/ATP1B3/ATP1B4/ATP4A/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MC1/ATP5MC2/ATP5MC3/ATP5MF/ATP5MK/ATP5PB/ATP5PD/ATP6AP1/ATP6AP2/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E1/ATP6V0E2/ATP6V1E1/ATP6V1F/ATP6V1G1/BCS1L/BEST4/CACHD1/CACNA1B/CACNA1C/CACNA1D/CACNA1F/CACNA1H/CACNA1I/CACNA2D1/CACNA2D2/CACNB1/CACNB3/CACNB4/CACNG2/CACNG3/CACNG8/CALM3/CATSPERB/CCDC115/CCDC51/CFTR/CHRNA2/CHRNA4/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNG/CLCC1/CLCN2/CLCN7/CLIC1/CLIC3/CNGA1/CNGA2/CNIH2/COX4I1/COX5A/COX5B/COX6B1/COX7A2/COX7A2L/COX7C/COX8A/CYC1/DLG3/DLG4/DPP10/DPP6/FXYD1/GABRA1/GABRA2/GABRA3/GABRA4/GABRA6/GABRB1/GABRB3/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRR1/GLRA1/GLRB/GRIA1/GRIA2/GRIA4/GRID2/GRIK1/GRIK2/GRIN2A/GRIN2B/GRIN2D/GRIN3B/HCN1/HCN2/HCN3/HCN4/HSPA2/HTR3A/HTR3E/KCNA1/KCNA4/KCNA7/KCNAB1/KCNAB2/KCNAB3/KCNB1/KCNC2/KCND1/KCND2/KCNH3/KCNH5/KCNH7/KCNIP1/KCNIP4/KCNJ10/KCNJ13/KCNJ14/KCNJ16/KCNJ18/KCNJ5/KCNJ6/KCNJ9/KCNK12/KCNK2/KCNK5/KCNK6/KCNMB2/KCNMB3/KCNN4/KCNQ1/KCNQ4/KCNS1/KCNS2/KCNU1/KCNV2/LRRC26/LRRC8A/MCUB/MICU2/NALCN/NDUFA1/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA6/NDUFA8/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/OLFM3/ORAI1/PKD1/PKD1L3/PKD2L1/PLN/PORCN/PRKACA/PTK2B/PTPA/RNASEK/RYR1/SCN1A/SCN1B/SCN2B/SCNN1D/SHISA6/SHISA8/SHISA9/SLC17A6/SLC26A6/SLC5A3/SMDT1/SPAAR/STAC3/STXBP5/SUMO1/TCIRG1/TMEM109/TMEM249/TMEM37/TRPC5/TTYH2/TTYH3/UNC80/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRFS1P1/UQCRH/UQCRHL/VAMP2/VWC2/VWC2L"
"mitochondrial protein-containing complex",2.1875941536332e-05,"AURKAIP1/BAX/CHCHD1/CHCHD10/CHCHD3/CHCHD6/DAP3/DNAJC19/HADHA/HSD17B10/HSPA9/ISCA1/ISCU/LYRM4/MCUB/MICOS13/MICU2/MPC1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL48/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL58/MRPL9/MRPS11/MRPS12/MRPS15/MRPS16/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS26/MRPS33/MRPS34/MRPS35/MRPS7/MTX2/NDUFAB1/PAM16/PHB1/PHB2/PMPCA/POLG/POLRMT/SAMM50/SLC25A4/SLC25A5/SLC25A6/SMDT1/SPG7/TIMM10/TIMM13/TIMM17A/TIMM17B/TIMM21/TIMM22/TIMM23/TIMM44/TIMM50/TIMM8B/TIMM9/TOMM20/TOMM22/TOMM40/TOMM7/VDAC1"
"postsynaptic specialization",0.000153256119666907,"ABHD17A/ABI3/ABL1/ADAM22/ADCY1/ADCY8/ADD1/ADGRB1/ADRA2A/AGAP3/ANKS1B/ARF1/ARHGAP33/ATP2B2/ATP7A/BCR/BRSK1/CACNA1C/CACNG2/CACNG3/CACNG8/CAMK2B/CAMK2N1/CAP2/CAPZB/CDH10/CDH2/CDK5/CDK5R1/CHRNB1/CHRNB2/CHRNB4/CHRND/CLSTN1/CLSTN2/CLSTN3/CNIH2/CNKSR2/CRIPT/CSMD2/CTNND1/DBN1/DCC/DCLK1/DGKI/DLG3/DLG4/DLGAP1/DLGAP3/DLGAP4/DMTN/DNAJB1/DNM2/DNM3/DTNBP1/DVL1/EFNB3/ERBB4/FYN/GABRA1/GABRA2/GABRA4/GABRA6/GABRB1/GABRB3/GABRG2/GIT1/GLRB/GNG3/GPR158/GPR50/GPSM2/GRIA1/GRIA2/GRIA4/GRID2/GRIK1/GRIK2/GRIN2A/GRIN2B/GRIN2D/GRIN3B/GRIP2/GRM1/GRM5/GSG1L/HIP1R/HNRNPD/HOMER3/IGSF21/IGSF9/INSYN2B/ITGA8/ITPR1/KCNB1/KCND2/KCNK2/KLHL17/LHFPL4/LIN7B/LRFN1/LRFN3/LRFN4/LRFN5/LRRC4B/LRRC4C/LRRTM2/LRRTM3/LZTS1/LZTS3/MAGI2/MAP1B/MAPK8IP2/MINK1/MKLN1/MPDZ/MPP2/NCK2/NCS1/NETO2/NEURL1/NGFR/NLGN1/NLGN2/NOS1/NSMF/PAK6/PCBP1/PCLO/PHB2/PICK1/PPFIA2/PPP1R9B/PRKCZ/PRKN/PRNP/PRR12/PRR7/PRRT2/PTK2B/RGS14/RGS7BP/RHEB/RNF112/RPL10A/RPL12/RPL14/RPL30/RPL6/RPL7/RPL8/RPLP0/RPS14/RPS18/RPS19/RPS25/RPS27/RPS3/RUSC1/SAMD14/SCRIB/SEMA4B/SEMA4C/SEMA4F/SHANK2/SHARPIN/SHISA6/SHISA8/SHISA9/SIGMAR1/SLC12A5/SLITRK3/SLITRK5/SPTBN1/SRC/SYN2/SYT1/TAMALIN/TANC1/TMEM240/TSC2/ZDHHC15"
"endoplasmic reticulum protein-containing complex",0.000153256119666907,"AMFR/B2M/CALR/CAMLG/DAD1/DDOST/DERL1/DPM2/EMC10/EMC3/EMC4/EMC6/EMC7/EMC8/EMC9/GANAB/GET3/GPAA1/HLA-A/HM13/HSP90B1/HSPA5/HYOU1/MZB1/NBAS/NPLOC4/OS9/OST4/OSTC/P4HB/PDIA3/PDIA6/PIGC/PIGH/PIGQ/PIGS/PIGT/PPIB/PRKCSH/RNF125/RNF139/RPN1/RPN2/RYR1/SDF2L1/SEC11A/SEC11C/SEC61A1/SEC61B/SEC61G/SELENOS/SPCS1/SPCS2/SREBF2/SRPRA/SSR4/SYVN1/TAP1/TAPBPL/TMEM258/TRAF2/TUSC3/UBXN1/UFD1/UGT3A1"
"organellar ribosome",0.000157507030303778,"AURKAIP1/CHCHD1/DAP3/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL48/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL58/MRPL9/MRPS11/MRPS12/MRPS15/MRPS16/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS26/MRPS33/MRPS34/MRPS35/MRPS7/MTG1/MTG2"
