"Pathway","Adjusted_Pvalue","Genes"
"structural constituent of ribosome",5.43236917928687e-11,"DAP3/FAU/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL4/MRPL41/MRPL43/MRPL45/MRPL49/MRPL51/MRPL52/MRPL54/MRPL55/MRPL9/MRPS11/MRPS12/MRPS15/MRPS16/MRPS18B/MRPS18C/MRPS2/MRPS21/MRPS33/MRPS34/MRPS35/MRPS7/RNA5-8SN5/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL24/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37A/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS14/RPS15/RPS16/RPS18/RPS19/RPS2/RPS20/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RSL24D1/UBA52"
"gated channel activity",0.0555912775327543,"ABCC9/ANO4/ANO5/ANO8/ANO9/ANXA6/ASIC3/ASIC5/BEST4/BNIP1/CACHD1/CACNA1B/CACNA1C/CACNA1D/CACNA1F/CACNA1H/CACNA1I/CACNA2D1/CACNA2D2/CACNB1/CACNB3/CACNB4/CACNG2/CACNG3/CACNG8/CALHM6/CCDC51/CFTR/CHRNA2/CHRNA4/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNG/CLCA1/CLCA2/CLCN2/CLCN6/CLCN7/CNGA1/CNGA2/GABRA1/GABRA2/GABRA3/GABRA4/GABRA6/GABRB1/GABRB3/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRR1/GLRA1/GLRB/GRIA1/GRIA2/GRIA4/GRID2/GRIK1/GRIK2/GRIN2A/GRIN2B/GRIN2D/GRIN3B/HCN1/HCN2/HCN3/HCN4/HTR3A/HTR3E/ITPR1/ITPR2/KCNA1/KCNA4/KCNA7/KCNAB1/KCNAB2/KCNAB3/KCNB1/KCNC2/KCND1/KCND2/KCNH3/KCNH5/KCNH7/KCNJ10/KCNJ13/KCNJ14/KCNJ16/KCNJ18/KCNJ5/KCNJ6/KCNJ9/KCNK12/KCNK2/KCNK5/KCNK6/KCNMB2/KCNMB3/KCNN2/KCNN4/KCNQ1/KCNQ4/KCNT1/KCNT2/LRRC26/MCOLN1/MCOLN2/NALF1/NCS1/OPRM1/P2RX5/PIEZO1/PIEZO2/PKD2L1/RYR1/SCN1A/SCN2B/SCNN1D/SLC1A5/SLC1A7/TMC4/TMC5/TMC6/TMC8/TMEM109/TMEM150C/TMEM37/TMEM63B/TRPA1/TRPV1/TSPOAP1/TTYH2/TTYH3/VDAC1/VDAC2/VDAC3"
"monoatomic ion channel activity",0.0555912775327543,"ABCC9/ANO3/ANO4/ANO5/ANO8/ANO9/ANXA6/APOL1/ASIC3/ASIC5/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MF/ATP5MGL/ATP5PB/ATP5PD/ATP6V0C/BEST4/BNIP1/CACHD1/CACNA1B/CACNA1C/CACNA1D/CACNA1F/CACNA1H/CACNA1I/CACNA2D1/CACNA2D2/CACNB1/CACNB3/CACNB4/CACNG2/CACNG3/CACNG8/CALHM2/CALHM4/CALHM6/CCDC51/CFTR/CHRNA2/CHRNA4/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNG/CLCA1/CLCA2/CLCC1/CLCN2/CLCN6/CLCN7/CLIC1/CLIC3/CNGA1/CNGA2/FXYD1/GABRA1/GABRA2/GABRA3/GABRA4/GABRA6/GABRB1/GABRB3/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRR1/GHITM/GLRA1/GLRB/GRIA1/GRIA2/GRIA4/GRID2/GRIK1/GRIK2/GRIN2A/GRIN2B/GRIN2D/GRIN3B/GRINA/HCN1/HCN2/HCN3/HCN4/HTR3A/HTR3E/ITPR1/ITPR2/KCNA1/KCNA4/KCNA7/KCNAB1/KCNAB2/KCNAB3/KCNB1/KCNC2/KCND1/KCND2/KCNH3/KCNH5/KCNH7/KCNIP1/KCNIP4/KCNJ10/KCNJ13/KCNJ14/KCNJ16/KCNJ18/KCNJ5/KCNJ6/KCNJ9/KCNK12/KCNK2/KCNK5/KCNK6/KCNMB2/KCNMB3/KCNN2/KCNN4/KCNQ1/KCNQ4/KCNT1/KCNT2/KCNU1/LRRC26/LRRC8A/MCOLN1/MCOLN2/NALCN/NALF1/NCS1/OPRM1/ORAI1/ORAI2/ORAI3/P2RX5/PANX1/PIEZO1/PIEZO2/PKD1/PKD1L2/PKD1L3/PKD2L1/PKD2L2/RYR1/SCN1A/SCN2B/SCNN1D/SEC61A1/SLC17A6/SLC1A1/SLC1A4/SLC1A7/SLC24A1/SLC24A2/SLC24A3/SLC24A5/SLC26A11/SLC26A6/SLC26A7/SLC5A8/STING1/TMBIM1/TMC4/TMC5/TMC6/TMC8/TMEM109/TMEM120A/TMEM150C/TMEM175/TMEM37/TMEM63B/TRPA1/TRPC4AP/TRPC5/TRPM3/TRPV1/TRPV2/TSPOAP1/TTYH2/TTYH3/UNC80/VDAC1/VDAC2/VDAC3"
"benzodiazepine receptor activity",0.0575780424873074,"GABRA1/GABRA2/GABRA3/GABRA4/GABRA6/GABRE/GABRG1/GABRG2/GABRG3/TSPO"
"electron transfer activity",0.0575780424873074,"AIFM2/AKR1B1/AKR7A2/AKR7A3/ALDH2/ALDH4A1/ASPH/CIAPIN1/COX11/COX4I1/COX5A/COX5B/COX6B1/COX7A2L/COX8A/CYB5A/CYBA/CYC1/DEGS1/DHRS3/ETFA/ETFB/FDX1/GFUS/GPX2/IDH3B/ME1/NDOR1/NDUFA1/NDUFA12/NDUFA2/NDUFA3/NDUFA6/NDUFA8/NDUFB1/NDUFB10/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NOX4/P4HA2/QDPR/RDH16/SDHB/SDHC/SRD5A1/SURF1/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH"
"structural constituent of chromatin",0.0575780424873074,"H1-0/H1-1/H1-10/H1-2/H1-3/H1-4/H1-5/H1-8/H2AB1/H2AC11/H2AC12/H2AC15/H2AC17/H2AC19/H2AC20/H2AC21/H2AC25/H2AC4/H2AC7/H2AC8/H2AJ/H2AX/H2BC10/H2BC12/H2BC12L/H2BC14/H2BC15/H2BC18/H2BC26/H2BC3/H2BC4/H2BC5/H2BC8/H2BK1/H3-3B/H3-5/H3C1/H3C11/H3C13/H3C6/H4C1/H4C11/H4C12/H4C13/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/HMGA1/LMNTD2"
"neurotransmitter receptor activity",0.0712583881113214,"CHRM4/CHRM5/CHRNA2/CHRNA4/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNG/DRD1/DRD4/DRD5/GABRA1/GABRA2/GABRA3/GABRA4/GABRA6/GABRB1/GABRB3/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRR1/GLRA1/GLRB/GPR158/GRIA1/GRIA2/GRIA4/GRID2/GRIK1/GRIK2/GRIN2A/GRIN2B/GRIN2D/GRIN3B/GRM1/GRM5/HTR1A/HTR1D/HTR2B/HTR2C/HTR3A/HTR3E/HTR4/KCTD16/P2RY11/TSPO"
"ubiquitin-protein transferase regulator activity",0.0712583881113214,"BMI1/CBX8/CDKN1B/CDKN2A/ENTREP1/FZR1/HTRA2/OTUB1/PARK7/PIN1/RBCK1/RING1/RPL11/RPL23/RPL5/RPS15/RPS20/RPS7/TRIB2/TRIB3/UBE2L3/UBE2N"
"rRNA binding",0.0712583881113214,"CIRBP/DDX28/ERAL1/GTF3A/IMP3/IMP4/KDM2B/MRPL11/MRPL16/MRPL18/MRPL20/MRPS18C/MRPS7/NGRN/NOP53/NPM1/PPAN/RCC1L/RPF1/RPL11/RPL12/RPL23/RPL5/RPL8/RPL9/RPLP0/RPS11/RPS18/RPS3/RPS4X/RPS5/RPS9/RPUSD4/RRS1/SBDS/TACO1/TST"
"membrane insertase activity",0.0865974820321855,"EMC10/EMC3/EMC4/EMC6/EMC7/EMC8/EMC9/GET3/MTCH1/MTCH2/OXA1L/TIMM10/TIMM9"
